trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
3,.000,2,59,8.3,5.1,.273,0,OKC,.273,.000,6,Serge Ibaka,3,0,20141202,1,11,-6.0,2,0.0,112,4.3,0.0,14.2,0,0,1,0,.273,2156.0,4,1,7.5,3,0,.273,0,3.2,-11
6,.450,3,83,22.6,14.0,.200,8,OKC,.325,.250,21,Russell Westbrook,4,.889,20141202,1,20,-3.4,5,36.0,107,9.3,2.9,39.9,7,0,1,1,.438,1982.0,0,7,0.0,6,2,.300,9,3.5,-16
3,.389,2,106,19.2,9.4,.444,6,OKC,.583,.375,27,Kevin Durant,8,.857,20141202,0,18,4.4,3,14.5,115,5.2,0.0,37.5,2,0,1,3,.640,1774.0,0,5,0.0,9,0,.500,7,0.0,-8
5,.500,2,97,0.0,20.9,.000,0,OKC,.500,0,2,Steven Adams,0,.000,20141202,0,2,3.8,5,6.2,103,11.5,2.1,4.7,1,0,1,0,.410,1328.0,2,0,6.1,1,1,.500,1,0.0,-11
9,.000,3,98,0.0,35.7,.000,0,OKC,.000,0,0,Andre Roberson,0,0,20141202,2,1,-0.2,7,0.0,99,25.4,2.6,2.3,0,0,1,0,.000,1086.0,0,0,0.0,0,1,.000,0,12.6,+12
2,.214,4,117,6.1,5.5,.214,3,OKC,.500,.000,17,Reggie Jackson,3,1.000,20141202,0,14,1.5,2,21.1,113,3.0,1.4,20.6,4,0,0,0,.555,2019.0,0,1,0.0,7,1,.500,3,0.0,-9
3,.000,3,200,0.0,8.0,.750,0,OKC,1.000,.667,8,Anthony Morrow,3,0,20141202,1,4,8.0,2,6.8,111,6.6,2.0,7.4,1,0,0,2,1.000,1383.0,0,0,0.0,3,1,.750,0,5.0,-5
8,.000,4,73,37.5,24.9,.000,0,OKC,.400,0,4,Kendrick Perkins,0,0,20141202,3,5,-9.0,5,8.1,108,22.0,0.0,18.3,1,0,0,0,.400,1114.0,0,3,0.0,2,0,.400,0,18.5,0
5,.714,1,165,0.0,31.2,.286,4,OKC,.786,.500,15,Jeremy Lamb,2,.800,20141202,0,7,20.7,5,0.0,101,17.2,3.2,26.4,0,0,0,1,.815,889.0,0,0,0.0,5,1,.714,5,0.0,+6
0,.000,5,103,0.0,0.0,.500,0,OKC,.500,.000,2,Nick Collison,1,0,20141202,0,2,-15.7,0,0.0,114,0.0,0.0,12.9,0,0,0,0,.500,397.0,0,0,0.0,1,0,.500,0,0.0,-2
1,0,3,241,0.0,0.0,0,2,OKC,0,0,2,Lance Thomas,0,1.000,20141202,1,0,0.9,0,0.0,114,12.1,0.0,8.8,0,0,0,0,1.136,254.0,0,0,0.0,0,0,0,2,27.0,+4
0,0,0,0,0,0.0,0,0,OKC,0,0,0,Ish Smith,0,0,20141202,0,0,-5.2,0,0.0,119,0.0,0.0,0.0,0,0,0,0,0,16.0,0,0,0.0,0,0,0,0,0.0,0
0,0,0,0,0,0,0,0,OKC,0,0,0,Grant Jerrett,0,0,20141202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
10,1.067,2,123,4.3,23.5,.000,9,NOP,.533,0,25,Anthony Davis,0,.563,20141202,2,15,15.2,8,16.9,87,13.1,7.3,23.5,4,0,1,0,.567,2336.0,4,1,8.2,8,6,.533,16,4.7,+23
2,.167,0,99,18.9,2.9,.042,2,NOP,.583,.000,30,Tyreke Evans,1,.500,20141202,1,24,0.4,1,28.5,112,2.6,0.0,32.5,5,0,1,0,.582,2329.0,1,6,2.1,14,0,.583,4,2.4,+22
5,.235,1,103,9.6,14.9,.235,4,NOP,.353,.000,16,Jrue Holiday,4,1.000,20141202,0,17,4.8,5,39.7,100,6.7,3.7,21.5,10,0,1,0,.426,2302.0,2,2,4.2,6,3,.353,4,0.0,+19
14,1.200,2,101,11.6,29.6,.000,3,NOP,.200,0,5,Ömer Aşık,0,.500,20141202,7,5,-3.5,7,4.8,103,26.5,0.0,12.7,1,0,1,0,.327,1621.0,2,1,5.9,1,0,.200,6,23.9,+9
2,.000,4,104,16.7,15.0,.800,0,NOP,.600,.500,6,Luke Babbitt,4,0,20141202,0,5,-1.3,2,9.6,107,6.7,0.0,15.6,1,0,1,2,.600,917.0,1,1,5.2,2,0,.400,0,0.0,-4
11,.467,3,148,0.0,16.4,.467,7,NOP,.533,.286,23,Ryan Anderson,7,1.000,20141202,6,15,9.0,5,4.7,105,16.1,2.7,20.6,1,0,0,2,.636,2092.0,0,0,0.0,7,2,.467,7,15.9,+4
5,2.000,3,27,0.0,23.1,.000,0,NOP,.000,0,0,John Salmons,0,.000,20141202,0,1,-3.6,5,5.0,103,10.3,1.9,3.0,1,0,0,0,.000,1485.0,1,0,3.2,0,1,.000,2,0.0,-7
0,1.333,2,73,29.6,0.0,.333,2,NOP,.500,1.000,5,Austin Rivers,1,.500,20141202,0,3,-13.7,0,0.0,114,0.0,0.0,22.6,0,0,0,1,.525,713.0,0,2,0.0,1,0,.333,4,0.0,-13
0,2.000,3,130,0.0,0.0,.000,2,NOP,.000,0,2,Alexis Ajinça,0,1.000,20141202,0,1,-13.8,0,0.0,114,0.0,0.0,12.6,0,0,0,0,.532,356.0,0,0,0.0,0,0,.000,2,0.0,-10
0,.000,1,0,0.0,0.0,.000,0,NOP,.000,0,0,Jimmer Fredette,0,0,20141202,0,2,-13.9,0,0.0,89,0.0,11.3,19.1,0,0,0,0,.000,249.0,0,0,0.0,0,1,.000,0,0.0,-3
0,0,0,0,0,0,0,0,NOP,0,0,0,Russ Smith,0,0,20141202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,NOP,0,0,0,Jeff Withey,0,0,20141202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,OKC,0,0,0,Perry Jones,0,0,20141202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,OKC,0,0,0,Mitch McGary,0,0,20141202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,NOP,0,0,0,Eric Gordon,0,0,20141202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
