stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
0.0,6.5,4,2953.0,1,7,0,.519,1,0,1.000,.071,0,15,14,.500,1,5,0,1,0,.000,.500,Timofey Mozgov,14.2,13.7,1,DEN,116,20141208,-1.8,3.0,7,12,121,13.5,2.2,1,0,13.9
2.2,12.2,5,2951.0,0,8,.250,.508,12,0,.667,.316,8,22,19,.421,6,6,2,1,-1,.421,.474,Ty Lawson,17.0,0.0,4,DEN,112,20141208,3.6,37.6,0,6,115,21.5,0.0,3,2,7.0
3.4,4.5,3,2817.0,0,7,.364,.429,3,0,0,.000,11,18,21,.333,0,6,3,1,+4,.524,.429,Wilson Chandler,17.8,0.0,0,DEN,109,20141208,1.7,9.6,0,6,100,20.1,0.0,1,4,7.3
0.0,16.4,5,2639.0,0,9,.571,.816,2,0,1.000,.214,7,25,14,.643,3,5,0,1,+3,.500,.786,Arron Afflalo,15.9,2.2,3,DEN,117,20141208,5.4,7.5,1,6,139,17.9,0.0,3,4,7.8
0.0,9.7,1,1353.0,0,4,0,.536,0,0,.667,.375,0,10,8,.500,3,3,0,1,0,.000,.500,J.J. Hickson,18.6,8.5,2,DEN,117,20141208,-2.5,0.0,2,5,110,19.6,0.0,1,0,12.6
2.2,10.5,6,1445.0,1,6,.000,.353,2,0,0,.000,3,12,17,.353,0,5,1,0,+5,.176,.353,Darrell Arthur,29.0,32.0,0,DEN,106,20141208,-2.0,14.8,8,13,92,33.8,4.6,2,0,30.8
0.0,17.0,1,836.0,0,1,0,.307,1,0,.500,.500,0,3,4,.250,2,0,0,0,-13,.000,.250,Alonzo Gee,0.0,0.0,1,DEN,120,20141208,-12.3,9.7,0,0,66,18.1,0.0,1,0,0.0
9.4,0.0,1,341.0,0,0,0,.000,0,0,0,.000,0,0,2,.000,0,0,1,0,-9,.000,.000,Gary Harris,0.0,0.0,0,DEN,99,20141208,-11.1,0.0,0,0,0,15.1,0.0,0,0,0.0
0.0,33.3,0,336.0,0,0,.000,.000,0,0,0,.000,1,0,2,.000,0,0,0,0,-10,.500,.000,Danilo Gallinari,0.0,17.2,0,DEN,120,20141208,-25.6,0.0,1,1,19,23.0,0.0,1,0,10.2
0.0,0.0,2,229.0,0,1,0,.333,0,0,0,.000,0,2,3,.333,0,0,0,0,-4,.000,.333,Erick Green,0.0,0.0,0,DEN,118,20141208,-22.3,0.0,0,0,78,33.7,0.0,0,0,0.0
