blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
11.7,.429,20.1,7.1,80,4,18,1.000,22.6,6,8,+13,120,1,6,20141214,2197.0,5,Kawhi Leonard,14,6,0,.143,6,.429,2,0,15.9,11.9,.541,SAS,2,6,.429,1,6.4,3,.000,5.7,16.7
0.0,.286,13.1,2.9,96,3,5,0,12.0,2,6,+6,70,2,6,20141214,2114.0,2,Danny Green,7,0,0,.571,0,.357,0,1,-5.4,9.3,.357,SAS,4,0,.000,1,0.0,2,.250,22.2,17.4
6.7,.357,22.4,1.6,94,4,15,.833,27.1,5,9,+14,101,2,6,20141214,1937.0,1,Tim Duncan,14,5,0,.000,3,.357,3,0,1.3,15.2,.451,SAS,0,6,.429,1,10.9,2,0,10.7,19.0
2.2,.857,18.0,0.0,107,3,13,0,11.7,6,2,+5,156,1,1,20141214,1920.0,0,Cory Joseph,7,0,0,.143,1,.929,1,1,3.5,3.4,.929,SAS,1,0,.000,1,3.7,3,1.000,12.5,3.2
3.6,.714,33.5,0.0,98,3,11,.250,23.2,5,6,+4,120,1,4,20141214,1181.0,0,Tiago Splitter,7,1,0,.000,1,.714,2,0,6.6,16.6,.628,SAS,0,4,.571,1,11.9,2,0,10.2,20.8
0.0,.444,45.5,0.0,110,6,15,.857,31.1,4,1,+8,108,4,0,20141214,1456.0,0,Manu Ginóbili,9,6,0,.333,0,.500,1,1,-1.8,2.2,.621,SAS,3,7,.778,0,4.8,3,.333,24.9,0.0
0.0,.333,0.0,0.0,104,0,10,.625,20.2,2,4,-7,118,0,3,20141214,1324.0,0,Marco Belinelli,6,5,0,.333,0,.417,1,1,-4.0,9.9,.525,SAS,2,8,1.333,0,5.3,1,.500,0.0,13.9
0.0,.000,19.0,3.5,94,2,3,.750,18.1,0,4,-4,78,2,3,20141214,893.0,1,Boris Diaw,2,3,0,1.000,0,.000,1,0,-4.0,14.7,.399,SAS,2,4,2.000,0,7.9,0,.000,34.7,20.6
0.0,.333,11.9,0.0,106,1,3,0,10.6,1,1,-4,113,0,1,20141214,794.0,0,Matt Bonner,3,0,0,.667,0,.500,0,1,-6.0,4.1,.500,SAS,2,0,.000,0,0.0,3,.500,0.0,7.7
0.0,.750,0.0,0.0,98,0,6,0,24.0,3,2,+7,142,0,2,20141214,469.0,0,Aron Baynes,4,0,0,.000,0,.750,0,0,4.9,14.0,.750,SAS,0,0,.000,0,0.0,1,0,0.0,26.1
0.0,0,0.0,0.0,110,0,0,0,49.3,0,0,-1,0,0,0,20141214,57.0,0,Austin Daye,0,0,0,.000,0,.000,0,0,-53.6,0.0,.000,SAS,0,0,.000,0,0.0,0,0,0.0,0.0
0.0,.000,0.0,0.0,110,0,0,0,0.0,0,0,-1,0,0,0,20141214,57.0,0,Kyle Anderson,1,0,0,0,0,0,0,0,-6.5,0.0,0,SAS,0,0,0,0,0.0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141214,0.0,0,Jeff Ayres,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,0,0,0,0,0,0,0
0.0,.600,6.1,0.0,114,1,31,1.000,28.9,12,5,-3,110,6,4,20141214,2407.0,0,Arron Afflalo,20,3,0,.300,0,.700,1,4,4.9,6.8,.727,DEN,6,3,.150,1,2.5,4,.667,22.0,11.7
0.0,.200,39.6,1.3,113,10,6,.500,17.4,2,2,-6,71,4,2,20141214,2310.0,1,Ty Lawson,10,2,0,.100,0,.200,0,0,-8.1,2.8,.255,DEN,1,4,.400,1,0.0,3,.000,25.4,6.1
0.0,.600,15.4,1.4,112,3,14,0,12.9,6,3,-9,136,1,2,20141214,2162.0,1,Wilson Chandler,10,0,0,.200,0,.700,1,2,5.3,4.5,.700,DEN,2,0,.000,1,2.8,5,1.000,9.1,6.5
6.9,.333,0.0,0.0,102,0,11,.750,24.4,4,13,0,105,0,8,20141214,1432.0,0,Timofey Mozgov,12,3,0,.000,2,.333,5,0,2.7,29.7,.400,DEN,0,4,.333,1,21.4,0,0,0.0,39.2
5.1,.500,0.0,0.0,106,0,4,1.000,10.1,1,6,-9,120,1,4,20141214,979.0,0,J.J. Hickson,2,2,0,.000,1,.500,2,0,1.1,20.1,.694,DEN,0,2,1.000,1,12.5,1,0,25.8,28.7
0.0,.429,8.3,7.3,95,1,8,0,14.0,3,4,0,127,0,4,20141214,1273.0,3,Darrell Arthur,7,0,0,.286,0,.571,0,2,11.2,10.3,.571,DEN,2,0,.000,0,0.0,3,1.000,0.0,22.1
4.6,.429,10.2,2.9,98,1,10,.800,28.5,3,8,-11,96,3,5,20141214,1088.0,1,Jusuf Nurkić,7,4,0,.000,1,.429,3,0,0.7,24.1,.543,DEN,0,5,.714,0,16.9,4,0,24.6,32.3
0.0,.333,9.7,3.0,110,1,5,.500,24.2,2,2,-4,65,3,0,20141214,1040.0,1,Alonzo Gee,6,1,0,.000,0,.333,2,0,-12.3,6.3,.363,DEN,0,2,.333,0,11.8,5,0,30.4,0.0
0.0,.143,20.8,0.0,115,2,2,.000,23.9,1,2,-3,47,1,1,20141214,898.0,0,Nate Robinson,7,0,0,.571,0,.143,1,0,-18.2,7.3,.134,DEN,4,1,.143,0,6.8,3,.000,11.8,7.8
0.0,.000,10.4,11.5,92,1,0,0,12.5,0,0,+5,14,2,0,20141214,811.0,3,Gary Harris,2,0,0,.500,0,.000,0,0,-1.1,0.0,.000,DEN,1,0,.000,0,0.0,1,.000,50.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141214,0.0,0,Kenneth Faried,0,0,0,0,0,0,0,0,0,0,0,DEN,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141214,0.0,0,Danilo Gallinari,0,0,0,0,0,0,0,0,0,0,0,DEN,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141214,0.0,0,Erick Green,0,0,0,0,0,0,0,0,0,0,0,DEN,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141214,0.0,0,Patty Mills,0,0,1,0,0,0,0,0,0,0,0,SAS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141214,0.0,0,Tony Parker,0,0,1,0,0,0,0,0,0,0,0,SAS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141214,0.0,0,Randy Foye,0,0,1,0,0,0,0,0,0,0,0,DEN,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141214,0.0,0,JaVale McGee,0,0,1,0,0,0,0,0,0,0,0,DEN,0,0,0,0,0,0,0,0,0
