threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.167,2,3,3,.625,6.7,22,20141226,Andrew Wiggins,1,.472,11.1,5,109,18,0,0.0,0.0,.444,0,8,3,2469.0,.333,6.5,1.9,MIN,8,0,.511,4,1,.444,6,115,3,3.1,6.6,-12,20.8
.000,5,2,0,.667,23.4,14,20141226,Gorgui Dieng,0,.417,7.9,4,92,12,2,0.0,2.7,.417,0,6,3,2134.0,0,7.5,5.6,MIN,5,0,.478,2,1,.500,12,113,9,8.9,15.3,-1,16.4
.286,1,0,4,1.000,8.1,14,20141226,Shabazz Muhammad,2,.429,0.0,2,109,14,0,0.0,0.0,.357,0,2,0,2041.0,.500,0.0,-4.6,MIN,5,0,.470,2,1,.143,3,99,3,1.9,4.0,-3,17.4
.048,0,4,1,.750,11.5,23,20141226,Thaddeus Young,0,.476,23.0,3,102,21,2,0.0,2.9,.476,0,4,2,1926.0,.000,5.5,7.3,MIN,10,0,.505,2,1,.190,6,112,4,0.0,8.5,-7,28.2
.143,0,3,1,0,9.6,8,20141226,Zach LaVine,0,.571,24.0,0,109,7,0,0.0,0.0,.571,0,0,0,1158.0,.000,0.0,-0.4,MIN,4,0,.571,1,1,.000,2,124,2,0.0,4.7,-16,14.4
.222,1,13,2,0,16.1,2,20141226,Mo Williams,0,.111,55.4,0,104,9,0,35.7,0.0,.111,0,0,0,1718.0,.000,0.0,-14.3,MIN,1,5,.111,5,0,.000,5,51,5,2.2,7.9,+12,19.5
.375,0,2,3,0,4.5,4,20141226,Chase Budinger,0,.250,12.7,0,112,8,0,11.1,0.0,.250,0,0,2,1244.0,.000,8.6,-12.6,MIN,2,1,.250,3,0,.000,3,67,1,0.0,6.6,+8,17.3
.000,0,2,0,.667,14.8,6,20141226,Jeff Adrien,0,.400,23.2,2,98,5,1,13.7,3.8,.400,0,3,2,746.0,0,14.3,1.1,MIN,2,1,.475,3,0,.600,4,102,2,0.0,14.6,-3,23.4
.167,0,0,1,1.000,0.0,7,20141226,Robbie Hummel,0,.500,0.0,1,114,6,0,0.0,0.0,.500,0,1,2,629.0,.000,17.0,0.0,MIN,3,0,.543,1,0,.167,2,121,0,0.0,8.6,+5,24.5
.000,0,0,0,0,17.0,2,20141226,Anthony Bennett,0,.333,0.0,0,105,3,0,0.0,0.0,.333,0,0,0,325.0,0,0.0,-13.2,MIN,1,0,.333,1,0,.000,1,70,1,0.0,8.4,-2,22.1
0,0,0,0,0,0.0,0,20141226,Troy Daniels,0,0,0.0,0,114,0,0,0,0.0,0,0,0,0,10.0,0,0.0,-10.3,MIN,0,0,0,0,0,0,0,0,0,0.0,0.0,-1,0.0
0,0,0,0,0,0,0,20141226,Glenn Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0
