stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.4,15.9,5,2087.0,0,4,.300,.409,1,0,1.000,.133,10,13,15,.267,2,0,1,1,-14,.667,.367,C.J. Miles,0.0,0.0,2,IND,120,20150107,-9.9,4.4,0,0,70,24.1,0.0,3,3,0.0
1.4,19.0,4,2067.0,0,6,0,.627,6,0,1.000,.364,0,16,11,.545,4,6,1,1,-14,.000,.545,David West,18.2,4.1,4,IND,116,20150107,3.7,29.2,1,7,114,20.3,0.0,3,0,12.2
0.0,0.0,1,2056.0,0,8,.400,.626,2,0,.750,.267,5,21,15,.533,4,4,0,1,-11,.333,.600,Solomon Hill,12.2,0.0,3,IND,121,20150107,4.3,10.9,0,4,125,21.7,0.0,0,2,7.0
0.0,43.5,3,1669.0,0,0,.000,.481,5,0,1.000,1.667,3,5,3,.000,5,4,0,1,-6,1.000,.000,C.J. Watson,15.0,0.0,5,IND,120,20150107,-9.7,23.3,0,4,77,14.7,0.0,4,0,8.6
0.0,33.3,1,339.0,1,1,0,.500,0,0,0,.000,0,2,2,.500,0,1,0,1,-4,.000,.500,Roy Hibbert,18.5,0.0,0,IND,107,20150107,-8.1,0.0,0,1,59,23.6,13.5,1,0,10.6
0.0,22.5,1,1993.0,0,5,0,.872,3,0,1.000,.333,0,12,6,.833,2,7,0,0,-8,.000,.833,Lavoy Allen,22.0,8.5,2,IND,118,20150107,5.4,14.6,2,9,141,11.9,0.0,2,0,16.3
1.8,0.0,1,1617.0,0,2,.200,.417,2,0,0,.000,5,5,6,.333,0,5,1,0,-5,.833,.417,Chris Copeland,19.4,0.0,0,IND,115,20150107,0.3,10.7,0,5,94,9.9,0.0,0,1,11.1
0.0,12.7,3,1308.0,1,5,0,.509,0,0,1.000,.333,0,14,12,.417,4,5,0,0,-6,.000,.417,Luis Scola,23.9,6.5,4,IND,115,20150107,-5.5,0.0,1,6,91,32.1,3.5,2,0,16.5
2.4,14.4,0,1211.0,0,6,.000,.589,5,0,1.000,.182,3,14,11,.545,2,4,1,0,-9,.273,.545,Donald Sloan,20.7,7.0,2,IND,113,20150107,8.9,52.3,1,5,112,30.5,0.0,2,0,14.9
0.0,0,0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,0,0,Shayne Whittington,0.0,0.0,0,IND,123,20150107,-6.0,0.0,0,0,0,0.0,0.0,0,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,George Hill,0,0,0,IND,0,20150107,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Damjan Rudež,0,0,0,IND,0,20150107,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rodney Stuckey,0,0,0,IND,0,20150107,0,0,0,0,0,0,0,0,0,0
1.2,6.7,1,2402.0,1,14,.545,.724,3,0,1.000,.240,11,40,25,.560,6,4,1,1,+20,.440,.680,Klay Thompson,14.1,0.0,6,GSW,104,20150107,13.5,12.7,0,4,134,32.1,2.2,2,6,6.0
5.5,22.3,5,2087.0,0,8,.500,.602,15,0,1.000,.059,8,21,17,.471,1,3,4,1,+12,.471,.588,Stephen Curry,12.2,0.0,1,GSW,97,20150107,10.7,61.0,0,3,115,27.9,0.0,5,4,5.2
4.8,9.3,5,1793.0,2,2,.200,.359,3,0,.500,.500,5,7,8,.250,4,6,3,1,+23,.625,.313,Draymond Green,28.3,10.5,2,GSW,91,20150107,1.7,11.5,3,9,96,15.6,5.8,1,1,18.1
0.0,7.2,3,1560.0,0,8,0,.699,0,0,1.000,.167,0,18,12,.667,2,2,0,1,+16,.000,.667,Marreese Speights,10.9,4.0,2,GSW,109,20150107,-0.6,0.0,1,3,127,23.1,0.0,1,0,6.9
0.0,0.0,1,1468.0,0,2,0,.500,1,0,0,.000,0,4,4,.500,0,3,0,1,+13,.000,.500,Harrison Barnes,17.3,4.3,0,GSW,108,20150107,-3.2,4.8,1,4,121,7.1,0.0,0,0,9.8
3.0,0.0,1,1913.0,0,1,.000,.370,3,0,.750,.800,3,5,5,.200,4,0,2,0,-5,.600,.200,Andre Iguodala,0.0,6.5,3,GSW,104,20150107,-0.8,10.4,2,2,115,9.2,0.0,0,0,3.8
2.8,15.5,4,1025.0,0,6,0,.597,1,0,.500,.200,0,13,10,.600,2,3,1,0,-4,.000,.600,David Lee,24.8,0.0,1,GSW,101,20150107,-3.2,10.0,0,3,96,32.7,0.0,2,0,10.5
0.0,0.0,1,881.0,0,2,0,.500,0,0,0,.000,0,4,4,.500,0,6,0,0,+2,.000,.500,Andrew Bogut,57.7,14.2,0,GSW,103,20150107,-2.5,0.0,2,8,123,11.8,0.0,0,0,32.7
0.0,0.0,2,793.0,0,1,0,.291,4,0,.000,.333,0,2,3,.333,1,1,0,0,+3,.000,.333,Shaun Livingston,10.7,0.0,0,GSW,109,20150107,-3.6,35.1,0,1,107,11.3,0.0,0,0,4.5
0.0,0.0,0,478.0,0,1,1.000,.500,0,0,0,.000,1,3,3,.333,0,1,0,0,-5,.333,.500,Justin Holiday,17.7,13.1,0,GSW,108,20150107,-0.1,0.0,1,2,116,16.3,0.0,0,1,15.1
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leandro Barbosa,0,0,0,GSW,0,20150107,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ognjen Kuzmić,0,0,0,GSW,0,20150107,0,0,0,0,0,0,0,0,0,0
