stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
4.2,21.0,3,2175.0,1,2,.200,.332,2,0,.714,.583,5,10,12,.167,7,3,3,1,-29,.417,.208,Jimmy Butler,8.5,2.8,5,CHI,105,20150109,-7.6,9.0,1,4,64,23.5,1.9,4,1,5.6
0.0,7.3,1,1926.0,2,5,0,.470,1,0,.500,.364,0,12,11,.455,4,10,0,1,-22,.000,.455,Pau Gasol,31.8,9.5,2,CHI,106,20150109,-0.6,6.1,3,13,101,19.2,4.2,1,0,20.7
0.0,16.8,1,1858.0,1,8,.143,.478,2,0,1.000,.105,7,19,19,.421,2,3,0,1,-21,.368,.447,Derrick Rose,9.9,3.3,2,CHI,114,20150109,-4.0,15.8,1,4,86,34.5,2.2,4,1,6.6
0.0,14.5,2,1606.0,1,1,0,.255,2,0,.500,.400,0,3,5,.200,2,8,0,1,-15,.000,.200,Joakim Noah,30.5,7.6,1,CHI,107,20150109,-6.3,11.9,2,10,73,11.5,2.5,1,0,19.1
0.0,42.9,1,1259.0,0,1,.500,.375,0,0,0,.000,2,3,4,.250,0,0,0,1,-10,.500,.375,Kirk Hinrich,0.0,4.9,0,CHI,119,20150109,-15.0,0.0,1,1,48,14.9,0.0,3,1,2.4
0.0,18.8,4,1401.0,0,6,.571,.615,4,0,0,.000,7,16,13,.462,0,2,0,0,+2,.538,.615,Aaron Brooks,8.7,4.4,0,CHI,115,20150109,3.4,41.8,1,3,108,30.6,0.0,3,4,6.6
2.2,0.0,0,1381.0,2,1,0,.200,2,0,0,.000,0,2,5,.200,0,2,1,0,+1,.000,.200,Taj Gibson,8.9,4.4,0,CHI,107,20150109,-0.7,13.9,1,3,73,9.7,5.9,0,0,6.7
11.0,0.0,2,1110.0,0,3,.500,.654,0,0,.500,.333,4,9,6,.500,2,1,4,0,0,.667,.667,Tony Snell,5.5,0.0,1,CHI,93,20150109,13.9,0.0,0,1,131,16.6,0.0,0,2,2.8
3.6,0.0,1,856.0,1,2,1.000,.615,1,0,.500,.500,1,6,4,.500,2,4,1,0,+5,.250,.625,Nikola Mirotić,28.6,7.2,1,CHI,98,20150109,11.6,13.3,1,5,137,15.3,4.7,0,1,17.9
0.0,0.0,0,804.0,0,3,0,.750,2,0,0,.000,0,6,4,.750,0,2,0,0,+9,.000,.750,E'Twaun Moore,15.2,0.0,0,CHI,114,20150109,6.7,33.7,0,2,161,13.3,0.0,0,0,7.6
0.0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cameron Bairstow,0.0,0.0,0,CHI,119,20150109,-7.1,0.0,0,0,0,0.0,0.0,0,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nazr Mohammed,0,0,0,CHI,0,20150109,0,0,0,0,0,0,0,0,0,0
0.0,9.9,2,2307.0,2,10,0,.577,1,0,.200,.313,0,21,16,.625,5,10,0,1,+18,.000,.625,Marcin Gortat,26.6,8.0,1,WAS,91,20150109,1.7,4.4,3,13,106,23.5,4.4,2,0,17.3
4.0,11.1,1,2305.0,1,7,.750,.531,4,0,0,.000,4,17,16,.438,0,1,3,1,+23,.250,.531,Bradley Beal,2.7,2.7,0,WAS,92,20150109,5.7,15.5,1,2,104,20.9,2.2,2,3,2.7
2.9,15.2,1,2092.0,1,6,.000,.477,12,0,1.000,.267,1,16,15,.400,4,4,2,1,+25,.067,.400,John Wall,11.7,0.0,4,WAS,91,20150109,5.9,50.5,0,4,108,25.3,2.4,3,0,5.9
1.8,12.7,3,1748.0,1,2,.500,.509,2,0,.500,.333,4,7,6,.333,2,4,1,1,+15,.667,.500,Paul Pierce,14.0,0.0,1,WAS,92,20150109,-0.4,8.7,0,4,98,12.1,2.9,1,2,7.0
3.6,0.0,4,1714.0,1,7,0,.631,2,0,.500,.182,0,15,11,.636,2,8,2,1,+25,.000,.636,Nenê Hilário,28.6,10.7,1,WAS,82,20150109,10.6,11.5,3,11,138,18.6,2.9,0,0,19.7
0.0,0.0,1,1264.0,0,5,.600,.813,1,0,0,.000,5,13,8,.625,0,1,0,0,-1,.625,.813,Rasual Butler,4.8,0.0,0,WAS,102,20150109,10.0,7.7,0,1,156,17.0,0.0,0,3,2.4
