drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
6,2644.0,-10.5,22.0,2,3,116,.280,22.8,.235,1,.353,0,.118,0,.500,0,6,.167,5,14.4,TOR,10,+15,20150130,70,2.3,17,2,14.4,.265,0.0,6,1,4,1,8,7.6,0.0,Kyle Lowry
4,2452.0,6.8,24.9,1,1,120,.620,33.0,.529,8,.059,0,.529,0,.889,0,1,.000,3,4.6,TOR,26,+9,20150130,135,1.3,17,9,10.4,.529,0.0,4,0,9,1,9,5.5,0.0,DeMar DeRozan
3,2074.0,5.0,19.8,0,2,122,.940,0.0,.909,4,.000,0,.364,4,1.000,0,0,0,5,13.6,TOR,24,+16,20150130,164,0.0,11,4,9.2,.909,13.6,7,0,10,1,0,11.3,0.0,Amir Johnson
8,1971.0,8.2,9.9,0,0,115,1.000,0.0,1.000,0,.000,2,.000,3,0,0,0,0,1,0.0,TOR,14,+12,20150130,203,0.0,7,0,25.8,1.000,10.8,11,0,7,1,0,18.7,3.9,Jonas Valančiūnas
7,1465.0,-5.5,17.1,0,1,117,.500,0.0,.375,0,.500,0,.000,0,0,0,4,.500,0,11.1,TOR,8,+2,20150130,88,0.0,8,0,30.4,.500,0.0,7,2,3,1,0,16.0,0.0,Greivis Vásquez
3,1940.0,-3.6,20.1,1,1,118,.462,4.4,.462,0,.385,1,.000,2,0,0,5,.000,2,7.1,TOR,12,-12,20150130,98,1.6,13,0,9.8,.462,7.3,5,0,6,0,1,8.6,2.0,Patrick Patterson
4,1763.0,7.9,28.2,0,1,121,.742,15.0,.500,10,.583,0,.917,0,.909,0,7,.429,4,5.6,TOR,25,-4,20150130,149,0.0,12,11,14.4,.625,0.0,4,3,6,0,3,7.6,0.0,Lou Williams
1,1217.0,-6.9,16.0,0,0,124,.357,6.3,.286,0,.429,0,.000,0,0,0,3,.333,0,0.0,TOR,5,-7,20150130,82,0.0,7,0,5.2,.357,0.0,1,1,2,0,1,2.8,0.0,Terrence Ross
0,375.0,9.0,13.1,1,0,108,.852,0.0,0,3,0,0,0,0,.750,0,0,0,1,0.0,TOR,3,-6,20150130,187,8.2,0,4,0.0,0,0.0,0,0,0,0,0,0.0,0.0,Tyler Hansbrough
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,0,0,20150130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bruno Caboclo
