stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
0.0,23.1,4,2252.0,0,7,.250,.638,3,0,.667,.250,4,17,12,.583,3,6,0,1,-4,.333,.625,Rudy Gay,18.3,5.0,2,SAC,118,20150211,-4.0,14.2,2,8,104,19.2,0.0,4,1,11.0
0.0,19.2,4,2219.0,4,9,0,.554,5,0,.833,.600,0,28,20,.450,12,13,0,1,0,.000,.450,DeMarcus Cousins,40.2,15.3,10,SAC,106,20150211,5.3,26.7,6,19,106,35.2,8.0,6,0,26.5
4.9,0.0,5,1798.0,0,5,.500,.621,0,0,1.000,.167,8,16,12,.417,2,2,3,1,+6,.667,.583,Ben McLemore,7.6,0.0,2,SAC,110,20150211,4.6,0.0,0,2,131,17.9,0.0,0,4,3.4
0.0,22.5,4,1780.0,0,0,.000,.145,6,0,1.000,.333,1,2,6,.000,2,2,0,1,+5,.167,.000,Ramon Sessions,7.7,0.0,2,SAC,120,20150211,-13.6,27.0,0,2,61,12.5,0.0,2,0,3.5
0.0,0.0,0,881.0,0,3,.000,.375,0,0,0,.000,1,6,8,.375,0,1,0,1,-6,.125,.375,Omri Casspi,7.8,12.8,0,SAC,121,20150211,-7.7,0.0,2,3,93,22.7,0.0,0,0,10.5
1.6,9.4,4,1848.0,0,3,.250,.571,3,0,.667,.857,4,11,7,.429,6,4,1,0,-2,.571,.500,Derrick Williams,14.8,0.0,4,SAC,115,20150211,-1.1,14.9,0,4,119,14.4,0.0,1,1,6.7
2.3,20.0,1,1270.0,0,4,.667,.625,4,0,0,.000,3,10,8,.500,0,1,1,0,-13,.375,.625,Ray McCallum,5.4,0.0,0,SAC,116,20150211,3.3,33.7,0,1,110,19.7,0.0,2,2,2.4
2.9,36.1,0,1024.0,1,3,0,.658,2,0,.333,.750,0,7,4,.750,3,2,1,0,-7,.000,.750,Jason Thompson,13.4,27.6,1,SAC,109,20150211,5.1,20.4,5,7,102,20.3,4.3,3,0,21.2
0.0,0.0,0,766.0,0,2,0,.333,0,0,0,.000,0,4,6,.333,0,1,0,0,-17,.000,.333,Carl Landry,9.0,7.4,0,SAC,120,20150211,-10.5,0.0,1,2,83,19.6,0.0,0,0,8.1
5.3,0.0,1,562.0,0,0,.000,.532,1,0,1.000,2.000,1,2,1,.000,2,0,1,0,-2,1.000,.000,Nik Stauskas,0.0,0.0,2,SAC,111,20150211,2.4,14.2,0,0,143,8.4,0.0,0,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reggie Evans,0,0,0,SAC,0,20150211,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ryan Hollins,0,0,0,SAC,0,20150211,0,0,0,0,0,0,0,0,0,0
