threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.000,1,0,0,.833,23.5,21,20150228,Greg Monroe,0,.533,0.0,5,106,15,1,25.4,1.6,.533,0,6,3,1991.0,0,10.8,-2.7,DET,8,6,.595,2,1,.400,10,93,7,2.5,17.4,0,32.5
.000,1,0,0,.300,21.5,13,20150228,Andre Drummond,0,.625,0.0,3,109,8,0,7.5,0.0,.625,0,10,3,1865.0,0,11.6,-2.8,DET,5,1,.524,4,1,1.250,9,105,6,2.7,16.7,-17,19.7
.000,0,0,0,.000,9.3,8,20150228,Tayshaun Prince,0,1.000,0.0,0,106,4,2,18.4,4.4,1.000,0,1,0,1444.0,0,0.0,5.9,DET,4,1,.901,0,1,.250,2,131,2,0.0,4.8,-10,10.3
.625,0,0,5,0,4.8,5,20150228,Kentavious Caldwell-Pope,1,.313,0.0,0,112,8,1,20.0,2.2,.250,0,0,0,1406.0,.200,0.0,-11.9,DET,2,2,.313,2,1,.000,1,52,1,0.0,2.5,-10,19.5
.333,0,7,4,0,9.7,9,20150228,Reggie Jackson,1,.375,49.1,0,100,12,3,14.3,6.9,.333,0,0,1,1383.0,.250,5.2,5.5,DET,4,2,.375,3,1,.000,3,93,2,0.0,7.5,-9,27.7
1.000,0,1,8,0,12.6,9,20150228,Anthony Tolliver,3,.563,5.6,0,114,8,0,0.0,0.0,.375,0,0,0,1591.0,.375,0.0,2.6,DET,3,0,.563,0,0,.000,3,120,3,0.0,6.5,+14,13.8
.286,0,8,4,1.000,13.4,20,20150228,Spencer Dinwiddie,1,.607,68.1,3,109,14,1,16.4,2.1,.571,0,3,1,1497.0,.250,4.8,12.4,DET,8,3,.653,4,0,.214,4,127,3,0.0,9.3,+5,33.5
.429,0,0,3,.000,13.6,8,20150228,Jodie Meeks,2,.571,0.0,0,114,7,0,21.2,0.0,.429,0,1,0,1474.0,.667,0.0,-6.2,DET,3,2,.538,1,0,.143,3,81,3,0.0,7.1,+6,17.5
.500,0,1,1,0,18.7,2,20150228,Caron Butler,0,.500,5.6,0,112,2,0,0.0,0.0,.500,0,0,1,1436.0,.000,5.0,-4.2,DET,1,0,.500,4,0,.000,5,134,4,0.0,12.1,+6,3.8
1.000,0,1,1,0,0.0,0,20150228,Shawne Williams,0,.000,24.2,0,117,1,0,0.0,0.0,.000,0,0,0,313.0,.000,0.0,-11.1,DET,0,0,.000,2,0,.000,0,55,0,0.0,0.0,-5,8.7
0,0,0,0,0,0,0,20150228,Joel Anthony,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20150228,John Lucas III,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20150228,Cartier Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
.000,1,2,0,1.000,40.4,16,20150228,Marcin Gortat,0,.583,8.8,2,95,12,3,0.0,4.1,.583,0,2,4,2315.0,0,11.6,7.4,WAS,7,0,.621,2,1,.167,17,144,13,2.3,25.5,+15,15.9
.214,0,6,3,.857,0.0,22,20150228,John Wall,0,.571,28.5,6,108,14,2,22.6,2.8,.571,0,7,1,2263.0,.000,3.0,0.3,WAS,8,5,.644,1,1,.500,1,111,0,0.0,1.5,+15,27.8
