player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Jimmy Butler,2202.0,.808,.750,.400,.400,3.0,12.5,7.7,30.0,2.8,0.0,14.5,16.7,148,113,9.5,CHI,1,0,20150408,6,10,.600,3,4,.750,4,4,1.000,1,4,5,6,2,0,2,1,19,-11
Pau Gasol,2018.0,.537,.400,.000,.900,3.3,27.2,15.1,15.1,1.5,7.3,6.7,19.8,119,106,3.2,CHI,1,0,20150408,4,10,.400,0,0,0,7,9,.778,1,8,9,3,1,3,1,2,15,+2
Joakim Noah,1848.0,.291,.333,.000,.333,18.1,22.3,20.2,20.2,3.4,0.0,30.4,14.3,83,108,-4.7,CHI,1,0,20150408,2,6,.333,0,0,0,0,2,.000,5,6,11,4,2,0,3,2,4,-12
Mike Dunleavy,1294.0,.667,.667,.667,.000,0.0,5.3,2.6,24.4,0.0,0.0,14.3,14.5,123,122,-1.1,CHI,1,0,20150408,3,6,.500,2,4,.500,0,0,0,0,1,1,3,0,0,1,3,8,+1
Derrick Rose,1164.0,.455,.389,.667,.222,0.0,11.8,5.8,18.6,2.7,0.0,28.8,31.9,72,114,-12.4,CHI,1,0,20150408,3,9,.333,1,6,.167,2,2,1.000,0,2,2,2,1,0,4,1,9,-3
Taj Gibson,1743.0,.528,.500,.000,.417,11.5,15.7,13.6,6.9,0.0,2.8,6.6,23.3,112,116,-3.9,CHI,0,0,20150408,6,12,.500,0,0,0,3,5,.600,3,4,7,1,0,1,1,3,15,+6
Nikola Mirotić,1628.0,.533,.409,.455,.636,4.1,4.2,4.2,12.3,1.9,0.0,6.6,24.8,116,118,0.6,CHI,0,0,20150408,3,11,.273,3,5,.600,6,7,.857,1,1,2,2,1,0,1,1,15,+3
Aaron Brooks,1552.0,.547,.545,.364,.182,4.3,8.8,6.5,15.0,4.0,0.0,14.4,23.9,100,112,-0.4,CHI,0,0,20150408,5,11,.455,2,4,.500,1,2,.500,1,2,3,2,2,0,2,2,13,+3
Kirk Hinrich,924.0,.625,.625,.750,.000,0.0,7.4,3.7,22.5,0.0,0.0,0.0,11.6,142,121,-0.3,CHI,0,0,20150408,2,4,.500,1,3,.333,0,0,0,0,1,1,2,0,0,0,1,5,+3
Tony Snell,26.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,124,-8.3,CHI,0,0,20150408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Doug McDermott,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,0,0,20150408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nazr Mohammed,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,0,0,20150408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E'Twaun Moore,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,0,0,20150408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Oladipo,2438.0,.691,.679,.500,.429,0.0,13.7,6.9,20.7,3.8,0.0,19.4,22.7,118,108,6.1,ORL,1,0,20150408,8,14,.571,3,7,.429,4,6,.667,0,5,5,5,3,0,4,2,23,+8
Elfrid Payton,2373.0,.555,.500,.143,.214,11.6,14.1,12.9,35.6,2.6,0.0,16.4,20.7,122,110,6.0,ORL,1,0,20150408,6,14,.429,2,2,1.000,3,3,1.000,4,5,9,9,2,0,3,1,17,+5
Nikola Vučević,2194.0,.619,.563,.000,.250,6.3,15.3,10.8,15.0,1.4,0.0,10.1,24.1,125,112,2.3,ORL,1,0,20150408,9,16,.563,0,0,0,4,4,1.000,2,5,7,3,1,0,2,4,22,-2
Tobias Harris,1769.0,.271,.154,.385,.308,3.9,7.6,5.7,4.7,0.0,0.0,6.3,23.9,69,119,-15.5,ORL,1,0,20150408,2,13,.154,0,5,.000,4,4,1.000,1,2,3,1,0,0,1,1,8,-1
Dewayne Dedmon,1493.0,.600,.600,.000,.000,23.0,26.9,25.0,0.0,0.0,3.6,37.5,14.3,95,109,-7.2,ORL,1,0,20150408,3,5,.600,0,0,0,0,0,0,5,6,11,0,0,1,3,4,6,0
Aaron Gordon,1328.0,.735,.667,.333,1.333,0.0,20.2,10.2,6.4,2.3,0.0,0.0,9.6,162,108,1.5,ORL,0,0,20150408,2,3,.667,0,1,.000,3,4,.750,0,4,4,1,1,0,0,4,7,0
Andrew Nicholson,1308.0,.563,.563,.250,.000,0.0,5.1,2.6,15.1,0.0,4.2,11.1,18.4,110,116,-1.0,ORL,0,0,20150408,4,8,.500,1,2,.500,0,0,0,0,1,1,2,0,1,1,3,9,0
Evan Fournier,1239.0,.661,.571,.714,.429,5.5,5.4,5.5,0.0,0.0,0.0,10.7,20.1,128,119,0.5,ORL,0,0,20150408,3,7,.429,2,5,.400,3,3,1.000,1,1,2,0,0,0,1,0,11,-4
Channing Frye,258.0,.500,.500,.500,.000,0.0,51.9,26.3,0.0,12.1,21.1,0.0,20.8,105,63,23.2,ORL,0,0,20150408,1,2,.500,0,1,.000,0,0,0,0,2,2,0,1,1,0,0,2,+4
Ben Gordon,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ORL,0,0,20150408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
