threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.043,1,4,1,.000,22.3,28,20150422,Tim Duncan,0,.609,19.2,0,101,23,2,4.1,2.4,.609,0,1,1,2641.0,.000,2.5,8.7,SAS,14,1,.597,5,1,.043,11,118,10,1.9,12.9,+9,26.4
.188,1,3,3,.750,17.6,23,20150422,Kawhi Leonard,2,.625,13.7,3,106,16,1,14.5,1.4,.563,0,4,2,2342.0,.667,5.5,7.2,SAS,9,3,.648,2,1,.250,9,114,7,2.2,11.9,+4,25.3
.000,0,5,0,.500,3.3,1,20150422,Tony Parker,0,.000,21.2,1,112,6,1,0.0,1.8,.000,0,2,1,1789.0,0,3.6,-8.6,SAS,0,0,.073,3,1,.333,2,63,1,0.0,3.5,+7,11.0
.667,1,2,4,0,3.3,9,20150422,Danny Green,3,.750,9.8,0,114,6,0,0.0,0.0,.500,0,0,0,1766.0,.750,0.0,4.5,SAS,3,0,.750,3,1,.000,1,149,1,2.9,1.7,+10,9.7
.000,0,2,0,.500,25.6,2,20150422,Tiago Splitter,0,.000,13.1,2,107,1,0,42.0,0.0,.000,0,4,2,1152.0,0,11.3,-4.8,SAS,0,2,.362,1,1,4.000,7,81,5,0.0,18.8,-2,11.8
.143,1,6,2,0,18.5,12,20150422,Boris Diaw,0,.429,25.5,0,102,14,2,0.0,2.8,.429,0,0,2,2233.0,.000,5.8,5.5,SAS,6,0,.429,4,0,.000,9,110,7,2.3,12.4,-7,17.9
.500,1,3,3,.833,8.9,9,20150422,Manu Ginóbili,0,.333,19.4,5,109,6,0,18.8,0.0,.333,0,6,0,1323.0,.000,0.0,-5.9,SAS,2,2,.521,6,0,1.000,2,98,2,3.8,4.7,-2,22.9
.556,0,1,5,1.000,10.3,18,20150422,Patty Mills,2,.667,9.9,6,105,9,1,0.0,2.8,.556,0,6,1,1145.0,.400,5.7,17.4,SAS,5,0,.773,4,0,.667,3,161,2,0.0,8.1,+5,29.0
.750,0,0,6,.667,10.4,9,20150422,Marco Belinelli,1,.438,0.0,2,106,8,1,9.7,2.8,.375,0,3,1,1132.0,.167,5.7,-2.7,SAS,3,1,.483,2,0,.375,3,93,2,0.0,8.2,-8,26.0
.500,0,0,1,0,18.6,0,20150422,Matt Bonner,0,.000,0.0,0,108,2,0,0.0,0.0,.000,0,0,0,317.0,.000,0.0,-23.3,SAS,0,0,.000,1,0,.000,1,0,1,0.0,9.7,+8,18.0
0,1,0,0,0,0.0,0,20150422,Cory Joseph,0,0,0.0,0,69,0,0,0,0.0,0,0,0,0,59.0,0,0.0,54.3,SAS,0,0,0,0,0,0,0,0,0,85.6,0.0,-4,0.0
0,0,0,0,0,0,0,20150422,Jeff Ayres,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,SAS,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20150422,Aron Baynes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,SAS,0,0,0,0,0,0,0,0,0,0,0,0,0
.750,0,2,9,.800,9.1,16,20150422,J.J. Redick,4,.500,6.5,4,114,12,1,6.6,1.1,.333,0,5,0,2844.0,.444,0.0,0.8,LAC,4,1,.563,2,1,.417,4,117,4,0.0,4.3,-5,14.2
.040,1,11,1,.714,16.2,29,20150422,Blake Griffin,0,.480,49.2,5,111,25,1,15.1,1.1,.480,0,7,5,2803.0,.000,10.5,10.4,LAC,12,5,.516,2,1,.280,12,109,7,1.7,13.2,+6,31.5
.000,3,0,0,.353,24.5,20,20150422,DeAndre Jordan,0,.700,0.0,6,108,10,0,5.4,0.0,.700,0,17,5,2652.0,0,11.1,3.1,LAC,7,1,.572,3,1,1.700,15,115,10,5.5,17.5,-10,18.6
.333,1,7,5,1.000,17.5,21,20150422,Chris Paul,3,.633,29.4,2,110,15,1,15.9,1.2,.533,0,2,1,2597.0,.600,2.3,6.3,LAC,8,3,.661,5,1,.133,8,123,7,1.9,9.5,-5,19.4
.600,1,1,6,.250,15.0,4,20150422,Matt Barnes,1,.150,3.9,1,106,10,2,7.8,2.9,.100,0,4,5,2157.0,.167,13.7,-5.8,LAC,1,1,.170,3,1,.400,10,62,5,2.2,14.3,+1,15.8
.538,0,1,7,1.000,20.3,11,20150422,Jamal Crawford,1,.346,8.6,2,113,13,0,0.0,0.0,.308,0,2,0,1276.0,.143,0.0,-4.5,LAC,4,0,.396,2,0,.154,4,93,4,0.0,9.7,-5,29.0
.000,0,1,0,0,9.5,4,20150422,Austin Rivers,0,.500,15.7,0,116,4,0,0.0,0.0,.500,0,0,0,682.0,0,0.0,-1.0,LAC,2,0,.500,1,0,.000,1,114,1,0.0,4.5,+4,15.6
.500,0,0,1,0,10.0,0,20150422,Glen Davis,0,.000,0.0,0,116,2,0,0.0,0.0,.000,0,0,0,647.0,.000,0.0,-13.4,LAC,0,0,.000,1,0,.000,1,0,1,0.0,4.8,+5,8.2
.000,0,0,0,0,0.0,2,20150422,Hedo Türkoğlu,0,1.000,0.0,0,119,1,0,0.0,0.0,1.000,0,0,0,242.0,0,0.0,7.2,LAC,1,0,1.000,0,0,.000,0,200,0,0.0,0.0,-9,11.0
