blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.300,34.1,1.4,88,6,12,1.000,19.7,3,3,+12,99,2,3,20151116,1977.0,1,Deron Williams,10,6,0,.200,0,.300,0,0,-1.2,5.1,.475,DAL,2,6,.600,1,0.0,3,.000,13.7,10.7
2.9,.375,0.0,1.5,84,0,21,1.000,28.4,6,5,-4,107,1,5,20151116,1839.0,1,Dirk Nowitzki,16,6,0,.375,1,.469,0,3,4.6,9.2,.563,DAL,6,6,.375,1,0.0,4,.500,5.1,19.1
0.0,.000,11.0,1.6,86,2,2,.500,7.2,0,6,+2,69,2,5,20151116,1752.0,1,Zaza Pachulia,1,2,0,.000,0,.000,1,0,-3.3,11.6,.362,DAL,0,4,4.000,1,3.7,3,0,42.0,20.0
0.0,.200,6.2,3.3,86,1,7,1.000,19.7,2,2,+9,63,2,1,20151116,1743.0,2,Wesley Matthews,10,2,0,.600,0,.250,1,1,-6.8,3.9,.322,DAL,6,2,.200,1,3.8,4,.167,15.5,4.0
4.3,.727,20.2,2.3,81,1,20,1.000,28.5,8,5,+6,142,1,5,20151116,1243.0,1,Chandler Parsons,11,3,0,.364,1,.773,0,1,21.4,13.6,.812,DAL,4,3,.273,1,0.0,0,.250,7.5,28.3
0.0,.600,0.0,3.7,80,0,7,.333,15.9,3,8,-3,79,3,6,20151116,1558.0,2,Dwight Powell,5,1,0,.000,0,.600,2,0,-3.0,17.4,.554,DAL,0,3,.600,0,8.4,3,0,32.2,27.1
0.0,.200,20.9,0.0,91,3,2,0,14.4,1,3,+10,41,3,3,20151116,1477.0,0,Raymond Felton,5,0,0,.200,0,.200,0,0,-11.1,6.9,.200,DAL,1,0,.000,0,0.0,1,.000,37.5,14.3
0.0,.429,17.9,8.4,73,2,9,.750,23.0,3,3,-3,82,3,3,20151116,1362.0,4,Devin Harris,7,3,0,.143,0,.429,0,0,4.2,7.5,.514,DAL,1,4,.571,0,0.0,2,.000,25.5,15.5
0.0,.500,20.5,0.0,92,1,9,1.000,27.7,3,1,-8,114,1,1,20151116,757.0,0,J.J. Barea,6,2,0,.333,0,.583,0,1,4.1,4.5,.654,DAL,2,2,.333,0,0.0,1,.500,12.7,9.3
0.0,.200,0.0,0.0,90,0,3,0,26.9,1,3,+14,81,0,1,20151116,495.0,0,Charlie Villanueva,5,0,0,.400,0,.300,2,1,-9.1,20.5,.300,DAL,2,0,.000,0,26.4,2,.500,0.0,14.2
0.0,0,0.0,0.0,94,0,0,0,0.0,0,0,-6,0,0,0,20151116,113.0,0,Justin Anderson,0,0,0,0,0,0,0,0,-4.1,0.0,0,DAL,0,0,0,0,0.0,0,0,0,0.0
0.0,0,0.0,0.0,94,0,0,0,31.7,0,0,+1,0,1,0,20151116,84.0,0,Jeremy Evans,0,0,0,0,0,0,0,0,-36.4,0.0,0,DAL,0,0,0,0,0.0,0,0,100.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20151116,0.0,0,Salah Mejri,0,0,0,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
2.4,.417,4.5,2.5,87,1,12,.500,21.0,5,12,-4,70,5,10,20151116,2303.0,2,Nerlens Noel,12,2,0,.000,1,.417,2,0,-3.3,17.7,.436,PHI,0,4,.333,1,6.1,3,0,26.7,28.4
2.7,.667,32.7,2.8,88,6,13,0,16.2,6,7,+5,110,4,6,20151116,2062.0,2,T.J. McConnell,9,0,0,.333,1,.722,1,1,5.7,11.5,.722,PHI,3,0,.000,1,3.4,4,.333,30.8,19.0
5.7,.533,6.6,1.5,86,1,19,1.000,26.8,8,11,-13,97,4,9,20151116,1953.0,1,Jahlil Okafor,15,3,0,.000,2,.533,2,0,2.6,19.1,.582,PHI,0,3,.200,1,7.2,5,0,19.7,30.2
0.0,.500,0.0,1.6,95,0,13,.600,22.2,5,3,-21,87,3,2,20151116,1767.0,1,Jerami Grant,10,3,0,.100,0,.500,1,0,-4.9,5.8,.533,PHI,1,5,.500,1,4.0,5,.000,19.7,7.4
0.0,.000,8.8,0.0,97,1,0,0,13.4,0,2,-14,12,1,2,20151116,961.0,0,Nik Stauskas,4,0,0,.500,0,.000,0,0,-14.9,7.1,.000,PHI,2,0,.000,1,0.0,2,.000,20.0,13.6
0.0,.667,12.2,1.6,94,2,12,1.000,12.6,4,3,+6,136,2,3,20151116,1730.0,1,Hollis Thompson,6,1,0,.667,0,.917,0,3,7.8,5.9,.932,PHI,4,1,.167,0,0.0,3,.750,23.7,11.4
0.0,.111,5.9,1.9,95,1,3,.000,17.7,1,1,-1,37,1,1,20151116,1521.0,1,Isaiah Canaan,9,0,0,.889,0,.167,0,1,-9.5,2.2,.159,PHI,8,1,.111,0,0.0,0,.125,9.6,4.3
0.0,.250,16.2,2.3,91,2,7,.750,29.2,2,5,+9,66,4,3,20151116,1214.0,1,Robert Covington,8,3,0,.500,0,.250,2,0,-9.3,14.0,.359,PHI,4,4,.500,0,11.6,4,.000,29.1,16.2
0.0,1.000,26.7,0.0,97,2,7,.500,19.9,3,2,+3,99,3,2,20151116,889.0,0,JaKarr Sampson,3,1,0,.000,0,1.000,0,0,0.7,7.6,.902,PHI,0,2,.667,0,0.0,3,0,43.6,14.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20151116,0.0,0,Richaun Holmes,0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20151116,0.0,0,Carl Landry,0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20151116,0.0,0,Phil Pressey,0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20151116,0.0,0,Christian Wood,0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20151116,0.0,0,John Jenkins,0,0,1,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20151116,0.0,0,JaVale McGee,0,0,1,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20151116,0.0,0,Joel Embiid,0,0,1,0,0,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20151116,0.0,0,Kendall Marshall,0,0,1,0,0,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20151116,0.0,0,Tony Wroten,0,0,1,0,0,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0
