player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Brandon Knight,2280.0,.567,.533,.267,.133,0.0,9.7,5.1,40.2,1.3,0.0,33.5,28.6,86,109,-3.5,PHO,1,0,20151123,7,15,.467,2,4,.500,2,2,1.000,0,3,3,8,1,0,8,2,18,-12
Markieff Morris,2051.0,.882,.867,.200,.133,3.9,25.2,15.0,32.8,1.5,0.0,27.4,29.1,118,105,11.4,PHO,1,0,20151123,12,15,.800,2,3,.667,2,2,1.000,1,7,8,4,1,0,6,3,28,-5
P.J. Tucker,1778.0,.000,.000,.400,.000,4.5,4.2,4.3,4.8,5.2,0.0,37.5,12.3,15,102,-10.0,PHO,1,0,20151123,0,5,.000,0,2,.000,0,0,0,1,1,2,1,3,0,3,2,0,-16
Devin Booker,1466.0,.400,.400,.400,.000,5.5,15.1,10.5,6.5,2.1,0.0,16.7,11.2,81,106,-4.9,PHO,1,0,20151123,2,5,.400,0,2,.000,0,0,0,1,3,4,1,1,0,1,1,4,-8
Tyson Chandler,1178.0,.266,.000,.000,2.000,6.8,31.3,19.6,0.0,2.6,0.0,34.7,6.7,53,101,-4.2,PHO,1,0,20151123,0,1,.000,0,0,0,1,2,.500,1,5,6,0,1,0,1,0,1,-14
T.J. Warren,1570.0,.504,.467,.067,.133,15.3,0.0,7.3,17.3,0.0,3.0,11.2,31.1,101,112,-1.4,PHO,0,0,20151123,7,15,.467,0,1,.000,2,2,1.000,3,0,3,2,0,1,2,3,16,-13
Mirza Teletović,1350.0,.643,.643,.571,.000,11.9,21.9,17.1,7.7,4.5,3.4,12.5,16.2,118,97,11.5,PHO,0,0,20151123,3,7,.429,3,4,.750,0,0,0,2,4,6,1,2,1,1,0,9,-4
Ronnie Price,1224.0,.250,.250,.500,.000,0.0,0.0,0.0,29.7,5.0,0.0,42.9,15.6,56,103,-7.6,PHO,0,0,20151123,1,4,.250,0,2,.000,0,0,0,0,0,0,4,2,0,3,3,2,+6
Jon Leuer,711.0,.773,.667,.000,.667,0.0,41.5,21.6,0.0,4.3,6.5,34.0,22.6,95,89,2.5,PHO,0,0,20151123,2,3,.667,0,0,0,2,2,1.000,0,4,4,0,1,1,2,2,6,-6
Alex Len,382.0,.000,.000,.000,.000,0.0,19.3,10.1,22.2,0.0,0.0,33.3,21.5,20,109,-19.1,PHO,0,0,20151123,0,2,.000,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,-2
Archie Goodwin,322.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,115,-7.3,PHO,0,0,20151123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+1
Sonny Weems,88.0,.000,.000,1.000,.000,0.0,0.0,0.0,96.3,34.7,0.0,0.0,31.1,56,39,35.1,PHO,0,0,20151123,0,1,.000,0,1,.000,0,0,0,0,0,0,1,1,0,0,0,0,+3
Cory Jefferson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHO,0,0,20151123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kawhi Leonard,2233.0,.651,.639,.111,.056,9.9,35.8,22.4,18.5,5.5,2.4,14.0,26.0,123,80,14.4,SAS,1,0,20151123,11,18,.611,1,2,.500,1,1,1.000,3,10,13,4,4,1,3,1,24,+7
Danny Green,2034.0,.600,.600,.600,.000,3.6,19.7,11.3,17.7,0.0,0.0,6.3,21.3,128,97,6.0,SAS,1,0,20151123,7,15,.467,4,9,.444,0,0,0,1,5,6,4,0,0,1,2,18,+9
Tony Parker,1933.0,.720,.769,.000,.154,0.0,4.1,2.0,44.0,4.7,0.0,22.4,25.0,122,90,9.0,SAS,1,0,20151123,10,13,.769,0,0,0,0,2,.000,0,1,1,8,3,0,4,4,20,+22
Tim Duncan,1908.0,.451,.333,.000,.667,11.6,21.0,16.1,3.9,3.2,2.8,20.5,13.8,95,88,-1.9,SAS,1,0,20151123,2,6,.333,0,0,0,3,4,.750,3,5,8,1,2,1,2,3,7,+20
