player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Paul George,2053.0,.293,.235,.529,.235,0.0,24.0,11.0,13.0,0.0,0.0,21.0,30.1,60,132,-19.9,IND,1,0,20151203,4,17,.235,0,9,.000,3,4,.750,0,7,7,3,0,0,5,2,11,-12
C.J. Miles,1917.0,.907,.929,.786,.143,0.0,22.0,10.1,0.0,1.6,3.1,11.8,22.9,150,127,15.3,IND,1,0,20151203,9,14,.643,8,11,.727,1,2,.500,0,6,6,0,1,1,2,3,27,-1
George Hill,1682.0,.503,.471,.235,.118,3.6,0.0,1.9,19.7,0.0,0.0,10.1,30.8,107,140,-6.3,IND,1,0,20151203,7,17,.412,2,4,.500,2,2,1.000,1,0,1,3,0,0,2,4,18,+2
Ian Mahinmi,1567.0,.563,.500,.000,.250,26.8,17.9,22.7,18.0,0.0,0.0,0.0,14.8,156,134,1.4,IND,1,0,20151203,4,8,.500,0,0,0,2,2,1.000,7,4,11,3,0,0,0,5,10,+2
Monta Ellis,1079.0,1.000,1.000,.000,.000,0.0,0.0,0.0,15.1,0.0,0.0,0.0,2.4,214,140,-4.8,IND,1,0,20151203,1,1,1.000,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,+1
Rodney Stuckey,1870.0,.585,.409,.273,.727,6.4,11.3,8.7,29.0,5.0,0.0,6.4,21.6,140,124,11.0,IND,0,0,20151203,4,11,.364,1,3,.333,8,8,1.000,2,3,5,6,3,0,1,0,17,-17
Chase Budinger,1377.0,.850,.800,.400,.400,0.0,15.3,7.1,0.0,0.0,0.0,0.0,11.1,179,135,3.6,IND,0,0,20151203,3,5,.600,2,2,1.000,2,2,1.000,0,3,3,0,0,0,0,0,10,-10
Jordan Hill,1244.0,.506,.444,.000,.222,4.8,11.3,7.8,8.1,0.0,4.7,9.2,22.8,108,134,-4.9,IND,0,0,20151203,4,9,.444,0,0,0,2,2,1.000,1,2,3,1,0,1,1,2,10,-11
Lavoy Allen,963.0,.773,.667,.000,.667,24.9,7.3,16.8,0.0,0.0,0.0,20.5,13.2,148,138,-0.6,IND,0,0,20151203,2,3,.667,0,0,0,2,2,1.000,4,1,5,0,0,0,1,0,6,-11
Glenn Robinson,510.0,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,11.5,0.0,10.2,0,135,-11.2,IND,0,0,20151203,0,2,.000,0,1,.000,0,0,0,0,0,0,0,0,1,0,0,0,+3
Joe Young,69.0,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,0,141,-44.5,IND,0,0,20151203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Solomon Hill,69.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,141,-7.6,IND,0,0,20151203,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Myles Turner,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IND,0,0,20151203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damian Lillard,2108.0,.686,.567,.600,.600,0.0,8.5,4.6,34.3,1.5,2.4,20.9,30.1,132,124,5.1,POR,1,0,20151203,6,15,.400,5,9,.556,9,9,1.000,0,3,3,9,1,1,5,2,26,+12
CJ McCollum,1974.0,.483,.425,.450,.200,3.6,12.2,8.2,21.6,3.2,0.0,8.4,31.9,116,120,-3.7,POR,1,0,20151203,7,20,.350,3,9,.333,4,4,1.000,1,4,5,5,2,0,2,2,21,+7
Al-Farouq Aminu,1914.0,.658,.611,.778,.222,7.3,12.5,10.1,19.8,1.6,0.0,16.8,16.4,139,123,4.1,POR,1,0,20151203,4,9,.444,3,7,.429,2,2,1.000,2,4,6,5,1,0,2,1,13,+8
Mason Plumlee,1568.0,.732,.833,.000,.833,9.0,30.6,20.6,10.6,0.0,3.2,0.0,13.8,162,117,3.5,POR,1,0,20151203,5,6,.833,0,0,0,2,5,.400,2,8,10,2,0,1,0,3,12,+9
Noah Vonleh,1051.0,1.000,1.000,.000,.000,13.4,11.4,12.3,0.0,0.0,0.0,25.0,10.1,147,127,-1.4,POR,1,0,20151203,3,3,1.000,0,0,0,0,0,0,2,2,4,0,0,0,1,1,6,-6
Allen Crabbe,1491.0,.900,.900,.500,.000,0.0,0.0,0.0,0.0,2.1,0.0,16.7,21.3,135,128,2.8,POR,0,0,20151203,7,10,.700,4,5,.800,0,0,0,0,0,0,0,1,0,2,4,18,+12
Meyers Leonard,1480.0,.600,.600,.400,.000,0.0,8.1,4.4,5.7,2.1,0.0,9.1,19.7,118,124,-4.3,POR,0,0,20151203,5,10,.500,2,4,.500,0,0,0,0,2,2,1,1,0,1,3,12,+12
Ed Davis,1312.0,1.000,1.000,.000,.000,37.5,27.4,32.1,17.6,4.8,3.8,0.0,6.1,223,107,16.2,POR,0,0,20151203,3,3,1.000,0,0,0,0,0,0,7,6,13,3,2,1,0,1,6,+3
Maurice Harkless,966.0,.500,.500,.400,.000,7.3,24.8,16.7,7.8,6.5,0.0,28.6,19.2,88,106,-3.4,POR,0,0,20151203,2,5,.400,1,2,.500,0,0,0,1,4,5,1,2,0,2,2,5,+4
Gerald Henderson,536.0,.500,.500,.000,.000,0.0,0.0,0.0,0.0,5.8,0.0,0.0,19.8,110,119,-5.5,POR,0,0,20151203,2,4,.500,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,-1
Pat Connaughton,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20151203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Kaman,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20151203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Frazier,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20151203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rakeem Christmas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IND,0,1,20151203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shayne Whittington,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IND,0,1,20151203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliff Alexander,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,1,20151203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Montero,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,1,20151203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
