drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
5,2126.0,-6.9,30.3,0,3,110,.411,27.8,.381,1,.333,0,.095,0,.500,0,7,.143,2,12.1,POR,18,+8,20151211,92,0.0,21,2,15.1,.405,0.0,5,1,8,1,7,7.4,0.0,Damian Lillard
2,2045.0,18.1,20.8,3,1,101,.842,18.2,.667,1,.533,0,.067,0,1.000,0,8,.625,2,6.1,POR,26,+18,20151211,163,4.6,15,1,6.3,.833,0.0,2,5,10,1,4,3.1,0.0,CJ McCollum
10,1811.0,5.8,20.7,3,2,90,.523,4.3,.417,1,.417,1,.083,3,1.000,0,5,.400,1,13.9,POR,13,+16,20151211,106,5.2,12,1,35.3,.500,10.4,13,2,5,1,1,22.7,3.3,Al-Farouq Aminu
3,1599.0,1.1,11.4,0,2,110,.800,19.1,.800,0,.000,0,.000,1,0,0,0,0,2,28.6,POR,8,+5,20151211,128,0.0,5,0,12.0,.800,3.9,4,0,4,1,4,7.9,0.0,Mason Plumlee
4,1012.0,1.3,2.6,0,0,107,1.000,6.8,1.000,0,.000,0,.000,1,0,0,0,0,1,0.0,POR,2,+9,20151211,211,0.0,1,0,25.3,1.000,6.2,5,0,1,1,1,15.6,0.0,Noah Vonleh
3,1704.0,5.2,24.3,1,2,103,.643,5.4,.571,0,.429,1,.000,2,0,0,6,.333,2,12.5,POR,18,+3,20151211,118,1.8,14,0,11.3,.643,7.3,5,2,8,0,1,9.3,3.5,Allen Crabbe
3,1452.0,-1.4,17.9,0,0,107,.400,10.2,.300,0,.500,1,.000,1,0,0,5,.400,1,0.0,POR,8,-2,20151211,105,0.0,10,0,13.2,.400,4.3,4,2,3,0,2,8.7,4.1,Gerald Henderson
4,1281.0,-3.4,18.9,0,0,108,.483,0.0,.500,1,.000,0,.375,5,.333,0,0,0,1,0.0,POR,9,+5,20151211,122,0.0,8,3,20.0,.500,24.4,9,0,4,0,0,22.2,0.0,Ed Davis
2,1021.0,-22.0,25.4,0,2,110,.125,13.4,.125,0,.375,0,.000,1,0,0,3,.000,2,20.0,POR,2,-5,20151211,43,0.0,8,0,12.5,.125,6.1,3,0,1,0,2,9.3,0.0,Meyers Leonard
1,349.0,2.8,14.9,0,0,109,.500,22.5,.500,0,.000,0,.000,0,0,0,0,0,0,0.0,POR,2,-7,20151211,126,0.0,2,0,18.3,.500,0.0,1,0,1,0,1,9.1,0.0,Maurice Harkless
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20151211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pat Connaughton
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20151211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tim Frazier
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20151211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Kaman
3,2126.0,10.9,39.6,2,1,114,.550,34.3,.462,3,.385,1,.192,1,.600,0,10,.400,0,3.4,PHO,31,-8,20151211,113,2.9,26,5,8.8,.538,3.0,4,4,12,1,5,6.0,2.2,Eric Bledsoe
5,1969.0,-15.9,22.6,2,3,112,.040,40.6,.000,1,.667,0,.083,0,1.000,0,8,.000,2,19.4,PHO,1,-17,20151211,48,3.2,12,1,15.9,.000,0.0,5,0,0,1,10,8.0,0.0,Brandon Knight
6,1672.0,0.4,15.5,1,1,113,.813,0.0,.750,0,.125,0,.000,2,0,0,1,1.000,2,11.1,PHO,13,-8,20151211,139,1.9,8,0,22.5,.813,7.7,8,1,6,1,0,15.1,0.0,Jon Leuer
4,1652.0,-3.4,23.6,0,0,118,.481,6.0,.400,5,.000,1,.800,4,.625,0,0,0,0,0.0,PHO,13,-12,20151211,116,0.0,10,8,15.2,.400,15.5,8,0,4,1,1,15.3,2.8,Alex Len
3,1338.0,-2.2,6.5,1,0,113,.333,12.7,.333,0,.333,1,.000,1,0,0,1,.000,1,0.0,PHO,2,-15,20151211,110,2.3,3,0,14.0,.333,4.8,4,0,1,1,2,9.5,3.5,P.J. Tucker
6,1496.0,-0.5,28.7,0,2,116,.582,14.6,.417,1,.833,0,.167,0,.500,0,10,.400,1,13.4,PHO,15,+6,20151211,100,0.0,12,2,25.1,.583,0.0,6,4,5,0,2,12.7,0.0,Mirza Teletović
1,1327.0,2.1,8.7,0,0,121,1.000,7.4,.750,0,.500,1,.000,0,0,0,2,1.000,1,0.0,PHO,8,0,20151211,191,0.0,4,0,4.7,1.000,0.0,1,2,3,0,1,2.4,3.5,Devin Booker
1,1279.0,0.8,11.3,2,2,110,1.000,0.0,.667,0,1.000,1,.000,0,0,0,3,.667,1,40.0,PHO,6,+11,20151211,92,4.9,3,0,4.9,1.000,0.0,1,2,2,0,0,2.5,3.6,Ronnie Price
1,882.0,-6.0,9.4,0,0,119,.521,0.0,.500,1,.000,1,1.000,0,.500,0,0,0,0,0.0,PHO,3,-5,20151211,106,0.0,2,2,7.1,.500,0.0,1,0,1,0,0,3.6,5.3,T.J. Warren
2,659.0,-1.6,13.1,0,0,113,.667,0.0,.667,0,.000,1,.000,0,0,0,0,0,1,0.0,PHO,4,-2,20151211,127,0.0,3,0,19.0,.667,0.0,2,0,2,0,0,9.6,7.0,Cory Jefferson
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHO,0,0,20151211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archie Goodwin
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHO,0,0,20151211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Markieff Morris
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHO,0,0,20151211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sonny Weems
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,POR,0,0,20151211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cliff Alexander
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,POR,0,0,20151211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luis Montero
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PHO,0,0,20151211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tyson Chandler
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PHO,0,0,20151211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bryce Cotton
