stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.6,6.3,3,1876.0,1,5,0,.505,1,0,.455,1.100,0,15,10,.500,11,8,1,1,-15,.000,.500,Nerlens Noel,31.5,12.3,5,PHI,107,20151220,3.6,6.9,4,12,109,20.6,2.6,1,0,20.7
0.0,7.3,2,1519.0,0,3,0,.353,0,0,.750,.364,0,9,11,.273,4,4,0,1,-15,.000,.273,Jahlil Okafor,19.4,15.2,3,PHI,115,20151220,-7.7,0.0,4,8,86,22.1,0.0,1,0,17.0
2.3,10.0,3,1272.0,0,2,.333,.333,0,0,0,.000,6,6,9,.222,0,2,1,1,-26,.667,.333,Isaiah Canaan,11.6,0.0,0,PHI,111,20151220,-8.2,0.0,0,2,69,19.2,0.0,1,2,5.1
2.4,10.0,3,1230.0,0,2,.167,.278,0,0,0,.000,6,5,9,.222,0,2,1,1,-12,.667,.278,Robert Covington,12.0,4.7,0,PHI,111,20151220,-10.2,0.0,1,3,62,19.8,0.0,1,1,7.9
0.0,27.6,1,1079.0,0,3,.000,.508,4,0,1.000,.286,2,8,7,.429,2,2,0,1,-18,.286,.429,Kendall Marshall,13.7,0.0,2,PHI,116,20151220,-4.8,48.5,0,2,89,24.6,0.0,3,0,6.0
0.0,10.2,1,1423.0,0,4,0,.571,2,0,.500,.571,0,10,7,.571,4,6,0,0,-2,.000,.571,JaKarr Sampson,31.1,4.0,2,PHI,113,20151220,3.0,18.5,1,7,114,16.7,0.0,1,0,15.9
0.0,0.0,4,1328.0,1,2,.000,.304,1,0,1.000,.222,1,6,9,.222,2,0,0,0,+2,.111,.222,Jerami Grant,0.0,8.7,2,PHI,114,20151220,-7.4,8.5,2,2,85,18.1,3.6,0,0,4.9
0.0,25.0,2,1316.0,0,2,.667,.500,0,0,0,.000,3,6,6,.333,0,1,0,0,-17,.500,.500,Hollis Thompson,5.6,4.4,0,PHI,117,20151220,-7.2,0.0,1,2,80,14.8,0.0,2,2,4.9
3.3,30.4,1,902.0,0,4,0,.727,3,0,1.000,.333,0,10,6,.667,2,4,1,0,+3,.000,.667,T.J. McConnell,32.7,6.4,2,PHI,106,20151220,9.0,55.6,1,5,110,26.7,0.0,3,0,17.9
0.0,25.3,1,899.0,0,2,.000,.338,3,0,1.000,.250,4,6,8,.250,2,3,0,0,-7,.500,.250,Tony Wroten,24.6,0.0,2,PHI,114,20151220,-11.3,40.7,0,3,66,32.2,0.0,3,0,10.8
3.6,27.3,1,836.0,0,1,.000,.470,1,0,1.000,.750,2,5,4,.250,3,1,1,0,-9,.500,.250,Richaun Holmes,8.8,6.9,3,PHI,109,20151220,-3.3,13.0,1,2,84,21.3,0.0,2,0,7.7
4.1,100.0,0,720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,+6,0,0,Nik Stauskas,0.0,8.0,0,PHI,109,20151220,-5.4,0.0,1,1,33,3.4,0.0,1,0,4.5
5.9,9.6,0,1519.0,1,10,.000,.613,4,0,.750,.235,3,23,17,.588,4,5,3,1,+33,.176,.588,LeBron James,19.0,0.0,3,CLE,79,20151220,13.9,36.0,0,5,113,37.8,3.1,2,0,10.7
