stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
0.0,17.6,4,2240.0,0,9,.333,.586,5,0,.750,.235,3,22,17,.529,4,5,0,1,+9,.176,.559,LeBron James,14.3,6.0,3,CLE,110,20160114,4.1,24.3,2,7,109,28.2,0.0,4,1,10.2
0.0,16.7,3,2229.0,0,4,.500,.500,1,0,0,.000,4,10,10,.400,0,12,0,1,+6,.400,.500,Kevin Love,34.5,0.0,0,CLE,104,20160114,-0.4,3.9,0,12,87,14.9,0.0,2,2,17.6
1.5,13.2,3,2124.0,0,7,0,.682,1,0,.800,.455,0,18,11,.636,5,10,1,1,+1,.000,.636,Tristan Thompson,30.1,12.6,4,CLE,102,20160114,7.9,4.8,4,14,130,19.8,0.0,2,0,21.6
0.0,7.1,4,1954.0,1,7,.429,.654,0,0,0,.000,7,17,13,.538,0,1,0,1,+4,.538,.654,J.R. Smith,3.3,0.0,0,CLE,111,20160114,4.7,0.0,0,1,120,19.9,2.2,1,3,1.7
1.6,14.4,1,1946.0,0,6,.400,.447,4,0,1.000,.118,5,16,17,.353,2,2,1,1,-7,.294,.412,Kyrie Irving,6.6,0.0,2,CLE,109,20160114,-0.1,20.3,0,2,89,29.8,0.0,3,2,3.4
0.0,20.0,3,1172.0,0,2,.250,.313,3,0,0,.000,4,5,8,.250,0,1,0,0,-2,.500,.313,Matthew Dellavedova,5.5,5.7,0,CLE,113,20160114,-8.5,22.3,1,2,72,23.7,0.0,2,1,5.6
5.5,40.0,1,1126.0,0,3,1.000,1.167,1,0,0,.000,1,7,3,1.000,0,1,2,0,-13,.333,1.167,Iman Shumpert,5.7,0.0,0,CLE,101,20160114,12.6,8.4,0,1,126,12.3,0.0,2,1,2.9
0.0,100.0,4,915.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-6,0,0,Timofey Mozgov,7.0,7.3,0,CLE,112,20160114,-8.7,0.0,1,2,51,3.0,0.0,1,0,7.2
0.0,0.0,0,676.0,1,0,.000,.000,0,0,0,.000,2,0,3,.000,0,1,0,0,-12,.667,.000,Richard Jefferson,9.5,9.9,0,CLE,106,20160114,-5.3,0.0,1,2,25,12.3,6.5,0,0,9.7
0.0,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jared Cunningham,0.0,0.0,0,CLE,114,20160114,-1.3,0.0,0,0,0,0.0,0.0,0,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Jones,0,0,0,CLE,0,20160114,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sasha Kaun,0,0,0,CLE,0,20160114,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anderson Varejão,0,0,0,CLE,0,20160114,0,0,0,0,0,0,0,0,0,0
1.3,19.4,1,2391.0,2,6,.500,.601,5,0,1.000,.429,4,20,14,.429,6,8,1,1,-5,.286,.500,Kawhi Leonard,22.4,5.4,6,SAS,100,20160114,8.2,19.6,2,10,111,24.0,4.3,4,2,13.7
4.5,4.8,1,2089.0,1,11,.000,.607,2,0,.500,.222,2,24,18,.611,4,4,3,1,+7,.111,.611,Tony Parker,12.8,0.0,2,SAS,96,20160114,11.6,12.1,0,4,120,27.6,2.5,1,0,6.3
1.6,8.4,3,1980.0,2,4,.000,.414,3,0,.500,.200,1,9,10,.400,2,4,1,1,+3,.100,.400,Tim Duncan,13.5,6.5,1,SAS,100,20160114,1.5,13.6,2,6,97,16.7,5.2,1,0,9.9
0.0,11.3,4,1751.0,0,2,0,.381,2,0,1.000,.286,0,6,7,.286,2,6,0,1,-7,.000,.286,LaMarcus Aldridge,23.0,7.3,2,SAS,106,20160114,-4.9,9.5,2,8,93,14.1,0.0,1,0,15.0
0.0,10.7,0,1282.0,0,1,.250,.300,0,0,.667,.429,4,5,7,.143,3,1,0,1,+1,.571,.214,Danny Green,5.2,5.0,2,SAS,110,20160114,-9.8,0.0,1,2,67,20.2,0.0,1,1,5.1
2.0,7.2,3,1572.0,1,4,.000,.388,1,0,1.000,.167,4,10,12,.333,2,3,1,0,+4,.333,.333,Manu Ginóbili,12.8,0.0,2,SAS,101,20160114,-4.9,6.0,0,3,81,24.5,3.3,1,0,6.2
0.0,0.0,1,1080.0,0,5,0,.781,1,0,1.000,.429,0,13,7,.714,3,2,0,0,+16,.000,.714,David West,12.4,17.8,3,SAS,108,20160114,14.2,10.8,3,5,170,21.4,0.0,0,0,15.2
0.0,0.0,1,791.0,0,2,1.000,.750,2,0,0,.000,2,6,4,.500,0,1,0,0,-3,.500,.750,Patty Mills,8.5,0.0,0,SAS,109,20160114,9.7,23.7,0,1,163,14.0,0.0,0,2,4.1
0.0,50.0,0,597.0,1,1,0,.500,0,0,0,.000,0,2,2,.500,0,1,0,0,-6,.000,.500,Boris Diaw,11.2,10.7,0,SAS,102,20160114,-6.3,0.0,1,2,60,18.6,8.6,2,0,11.0
0.0,0.0,2,538.0,0,1,0,1.000,0,0,0,.000,0,2,1,1.000,0,2,0,0,+5,.000,1.000,Jonathon Simmons,24.9,0.0,0,SAS,105,20160114,-2.4,0.0,0,2,200,5.2,0.0,0,0,12.2
0.0,0.0,0,329.0,0,1,0,1.000,1,0,0,.000,0,2,1,1.000,0,2,0,0,+5,.000,1.000,Kyle Anderson,40.7,0.0,0,SAS,102,20160114,14.8,29.9,0,2,203,8.4,0.0,0,0,19.9
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rasual Butler,0,0,0,SAS,0,20160114,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boban Marjanović,0,0,0,SAS,0,20160114,0,0,0,0,0,0,0,0,0,0
