trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
3,.125,0,151,0.0,5.6,.417,2,POR,.646,.500,33,Damian Lillard,10,.667,20160115,1,24,15.2,2,42.3,119,4.4,1.4,30.4,10,0,1,5,.652,2244.0,0,0,0.0,13,1,.542,3,3.1,+10
4,.000,1,95,21.1,5.9,.267,0,POR,.433,.250,13,CJ McCollum,4,0,20160115,2,15,-5.8,2,24.5,115,6.2,3.0,24.2,7,0,1,1,.433,2118.0,0,4,0.0,6,2,.400,0,6.5,+7
3,.286,3,107,20.2,6.7,.857,2,POR,.571,.333,10,Al-Farouq Aminu,6,1.000,20160115,1,7,-0.5,2,0.0,111,5.2,1.7,14.2,0,0,1,2,.635,1871.0,4,2,9.3,3,1,.429,2,3.7,+6
2,.333,2,108,12.7,9.5,.000,1,POR,.500,0,7,Mason Plumlee,0,.500,20160115,0,6,-5.8,2,16.1,119,4.9,0.0,16.0,3,0,1,0,.509,1325.0,0,1,0.0,3,0,.500,2,0.0,-15
4,.000,1,103,0.0,6.7,.125,0,POR,.375,.000,6,Noah Vonleh,1,0,20160115,3,8,-13.4,1,0.0,121,14.0,0.0,23.1,0,0,1,0,.375,932.0,0,0,0.0,3,0,.375,0,22.1,-9
6,.000,3,163,0.0,23.0,.500,0,POR,.792,.833,19,Allen Crabbe,6,0,20160115,0,12,12.9,6,10.2,105,12.0,3.9,19.8,2,0,0,5,.792,1632.0,0,0,0.0,7,2,.583,0,0.0,+23
10,.667,2,166,11.4,25.6,.000,2,POR,1.000,0,14,Ed Davis,0,.500,20160115,4,6,8.4,6,5.6,106,22.3,2.1,16.1,1,0,0,0,.902,1467.0,1,1,3.0,6,1,1.000,4,18.7,+24
7,.000,5,112,12.5,28.2,.857,0,POR,.571,.333,8,Meyers Leonard,6,0,20160115,1,7,-7.0,6,5.3,111,17.2,0.0,16.2,1,0,0,2,.571,1334.0,0,1,0.0,3,0,.429,0,5.1,+9
2,.000,1,127,0.0,13.3,.250,0,POR,.500,.000,4,Maurice Harkless,1,0,20160115,0,4,-3.6,2,15.0,118,7.0,0.0,11.5,2,0,0,0,.500,938.0,0,0,0.0,2,0,.500,0,0.0,+6
0,.000,0,74,0.0,0.0,.333,0,POR,.333,.000,2,Gerald Henderson,1,0,20160115,0,3,-15.1,0,0.0,124,0.0,0.0,17.2,0,0,0,0,.333,469.0,0,0,0.0,1,0,.333,0,0.0,-1
0,.000,0,0,0.0,0.0,.000,0,POR,.000,0,0,Tim Frazier,0,0,20160115,0,1,-87.5,0,0.0,124,0.0,0.0,77.0,0,0,0,0,.000,35.0,0,0,0.0,0,0,.000,0,0.0,0
1,0,0,0,0,100.0,0,0,POR,0,0,0,Pat Connaughton,0,0,20160115,0,0,5.8,1,0.0,46,93.5,0.0,0.0,0,0,0,0,0,35.0,0,0,0.0,0,0,0,0,0.0,0
0,0,0,0,0,0,0,0,POR,0,0,0,Chris Kaman,0,0,20160115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
5,.000,2,107,0.0,16.4,.545,0,BRK,.455,.333,10,Wayne Ellington,6,0,20160115,0,11,-8.4,5,4.2,130,7.8,0.0,13.9,1,0,1,2,.455,2087.0,0,0,0.0,4,0,.364,0,0.0,+1
8,.182,1,104,14.4,13.5,.000,1,BRK,.455,0,11,Thaddeus Young,0,.500,20160115,4,11,-2.1,4,13.8,123,12.9,3.1,18.0,3,0,1,0,.463,2027.0,1,2,2.4,5,2,.455,2,12.4,+3
3,.154,0,125,6.7,3.4,.462,2,BRK,.500,.500,15,Joe Johnson,6,1.000,20160115,2,13,0.8,1,18.6,131,4.9,1.6,19.6,4,0,1,3,.540,2005.0,0,1,0.0,5,1,.385,2,6.2,+9
9,.667,2,151,27.9,24.9,.500,3,BRK,1.000,.667,15,Donald Sloan,3,.750,20160115,2,6,6.7,7,44.0,128,15.3,0.0,14.7,9,0,1,2,.966,1929.0,0,3,0.0,5,0,.833,4,6.5,+5
7,.588,1,119,8.5,16.4,.000,7,BRK,.529,0,25,Brook Lopez,0,.700,20160115,3,17,1.5,4,7.7,128,13.7,0.0,37.0,1,0,1,0,.584,1668.0,1,2,3.0,9,0,.529,10,11.3,+6
10,.571,2,153,0.0,28.3,.000,3,BRK,.571,0,11,Thomas Robinson,0,.750,20160115,5,7,4.6,5,8.3,121,27.0,2.6,19.0,1,0,0,0,.628,1212.0,0,0,0.0,4,1,.571,4,25.8,-18
2,.333,0,56,0.0,14.3,.333,1,BRK,.167,.000,3,Bojan Bogdanović,2,.500,20160115,0,6,-18.8,2,0.0,131,6.8,0.0,18.9,0,0,0,0,.218,960.0,0,0,0.0,1,0,.167,2,0.0,-18
1,.000,2,31,33.3,7.2,.000,0,BRK,.167,0,2,Shane Larkin,0,0,20160115,0,6,-18.0,1,8.7,118,3.4,3.3,24.9,1,0,0,0,.167,951.0,2,3,10.4,1,1,.167,0,0.0,-17
1,.571,0,124,10.2,8.4,.143,3,BRK,.643,1.000,12,Andrea Bargnani,1,.750,20160115,0,7,5.7,1,0.0,124,4.0,3.9,31.5,0,0,0,1,.685,816.0,0,1,0.0,4,1,.571,4,0.0,-15
