stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.2,4.2,6,2470.0,2,13,.500,.663,1,0,.500,.300,2,30,20,.650,6,1,1,1,-3,.100,.675,Andrew Wiggins,3.6,10.9,3,MIN,126,20160202,0.1,3.8,3,4,128,26.0,4.3,1,1,7.3
1.4,13.4,3,2208.0,0,6,.000,.733,5,0,.778,1.000,2,19,9,.667,9,5,1,1,-4,.222,.667,Gorgui Dieng,20.4,4.1,7,MIN,127,20160202,2.1,17.1,1,6,138,18.4,0.0,2,0,12.2
0.0,9.2,3,1918.0,2,6,.500,.709,2,0,.500,.222,2,14,9,.667,2,8,0,1,-2,.222,.722,Karl-Anthony Towns,37.5,9.4,1,MIN,122,20160202,0.5,8.1,2,10,132,15.4,5.6,1,1,23.5
1.7,15.5,1,1741.0,0,4,.000,.460,15,0,1.000,.200,2,10,10,.400,2,2,1,1,-9,.200,.400,Ricky Rubio,10.3,0.0,2,MIN,128,20160202,0.4,63.0,0,2,120,20.1,0.0,2,0,5.2
0.0,20.0,2,1094.0,0,3,0,.750,3,0,0,.000,0,6,4,.750,0,1,0,1,-1,.000,.750,Tayshaun Prince,8.2,0.0,0,MIN,132,20160202,-2.4,20.7,0,1,126,12.4,0.0,1,0,4.1
0.0,25.0,4,1587.0,0,6,.400,.583,7,0,0,.000,5,14,12,.500,0,1,0,0,0,.417,.583,Zach LaVine,5.7,0.0,0,MIN,132,20160202,-7.1,36.2,0,1,98,27.4,0.0,4,2,2.8
4.3,8.5,1,1408.0,0,4,.000,.558,1,0,1.000,.444,2,12,9,.444,4,3,2,0,+2,.222,.444,Shabazz Muhammad,19.2,0.0,4,MIN,120,20160202,-3.6,5.4,0,3,110,22.7,0.0,1,0,9.6
0.0,0.0,1,862.0,0,2,.000,.615,0,0,1.000,.500,2,6,4,.500,2,0,0,0,+6,.500,.500,Damjan Rudež,0.0,20.9,2,MIN,133,20160202,-5.1,0.0,2,2,144,15.4,0.0,0,0,10.4
0.0,50.0,0,391.0,0,1,0,1.000,1,0,0,.000,0,2,1,1.000,0,1,0,0,-10,.000,1.000,Adreian Payne,23.0,0.0,0,MIN,130,20160202,-0.9,19.1,0,1,94,13.9,0.0,1,0,11.5
8.0,0,0,382.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,+2,0,0,Nemanja Bjelica,23.6,0.0,0,MIN,112,20160202,8.1,16.4,0,1,209,0.0,0.0,0,0,11.8
0.0,50.0,0,340.0,0,1,0,.500,0,0,0,.000,0,2,2,.500,0,2,0,0,-1,.000,.500,Andre Miller,52.9,0.0,0,MIN,125,20160202,-27.1,0.0,0,2,42,32.0,0.0,2,0,26.5
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tyus Jones,0,0,0,MIN,0,20160202,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kevin Martin,0,0,0,MIN,0,20160202,0,0,0,0,0,0,0,0,0,0
2.9,6.7,1,2095.0,0,8,.000,.576,2,0,.000,.154,2,16,13,.615,2,3,2,1,-2,.154,.615,Jordan Clarkson,12.9,0.0,0,LAL,120,20160202,-3.4,9.5,0,3,110,19.6,0.0,1,0,6.4
1.5,0.0,1,2046.0,0,4,.500,.694,4,0,.900,1.000,6,20,10,.400,10,0,1,1,+4,.600,.550,Lou Williams,0.0,0.0,9,LAL,125,20160202,3.4,16.4,0,0,156,19.4,0.0,0,3,0.0
3.1,7.1,3,1981.0,0,10,.636,.723,5,0,.917,.571,11,38,21,.476,12,3,2,1,+6,.524,.643,Kobe Bryant,13.6,9.1,11,LAL,119,20160202,16.3,28.5,2,5,145,39.4,0.0,2,7,11.4
0.0,6.3,3,1943.0,0,7,0,.504,2,0,.500,.143,0,15,14,.500,2,9,0,1,+9,.000,.500,Julius Randle,41.7,13.9,1,LAL,122,20160202,-6.4,10.0,3,12,112,22.5,0.0,1,0,27.8
0.0,0.0,4,970.0,0,1,0,1.000,1,0,0,.000,0,2,1,1.000,0,0,0,1,-9,.000,1.000,Roy Hibbert,0.0,9.3,0,LAL,127,20160202,-6.4,8.0,1,1,213,2.8,0.0,0,0,4.6
1.8,12.0,2,1662.0,0,6,.400,.615,3,0,.667,.500,5,18,12,.500,6,3,1,0,+5,.417,.583,D'Angelo Russell,16.2,0.0,4,LAL,122,20160202,-2.1,17.6,0,3,116,27.6,0.0,2,2,8.1
1.8,18.8,3,1647.0,0,2,0,.694,4,0,.667,1.000,0,6,3,.667,3,2,1,0,+4,.000,.667,Brandon Bass,10.9,5.5,2,LAL,122,20160202,-0.8,19.2,1,3,142,8.9,0.0,1,0,8.2
2.5,33.3,5,1200.0,2,1,0,.500,2,0,0,.000,0,2,2,.500,0,4,1,0,+4,.000,.500,Tarik Black,30.0,0.0,0,LAL,112,20160202,-2.2,12.8,0,4,93,6.9,7.6,1,0,15.0
3.6,20.0,2,856.0,0,1,.000,.250,0,0,0,.000,2,2,4,.250,0,0,1,0,-1,.500,.250,Nick Young,0.0,0.0,0,LAL,120,20160202,-17.2,0.0,0,0,42,16.1,0.0,1,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anthony Brown,0,0,0,LAL,0,20160202,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcelo Huertas,0,0,0,LAL,0,20160202,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ryan Kelly,0,0,0,LAL,0,20160202,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Robert Sacre,0,0,0,LAL,0,20160202,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Kevin Garnett,0,0,0,MIN,0,20160202,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Metta World Peace,0,0,0,LAL,0,20160202,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Larry Nance,0,0,0,LAL,0,20160202,0,0,0,0,0,0,0,0,0,0
