drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
2,2214.0,8.0,32.4,0,3,116,.681,16.7,.571,4,.238,2,.190,2,1.000,0,5,.600,3,11.6,MIN,31,+13,20160203,127,0.0,21,4,6.1,.643,7.7,4,3,12,1,3,6.8,6.1,Andrew Wiggins
2,1883.0,-1.3,11.7,0,0,119,.508,4.4,.429,2,.000,0,.286,4,1.000,0,0,0,2,0.0,MIN,8,+19,20160203,136,0.0,7,2,7.1,.429,18.0,6,0,3,1,1,11.9,0.0,Tayshaun Prince
9,1863.0,-0.8,26.7,0,1,109,.504,11.0,.438,2,.188,1,.125,3,1.000,0,3,.333,4,5.6,MIN,17,+1,20160203,114,0.0,16,2,32.4,.469,13.6,12,1,7,1,2,24.1,3.6,Karl-Anthony Towns
9,1850.0,-7.3,19.9,0,5,111,.732,0.0,.667,4,.000,0,.833,1,.800,0,0,0,3,37.9,MIN,12,+6,20160203,89,0.0,6,5,32.6,.667,4.6,10,0,4,1,0,20.2,0.0,Gorgui Dieng
5,1806.0,4.8,17.1,5,2,95,.441,29.8,.167,6,.167,0,1.167,0,.857,0,1,.000,4,18.1,MIN,8,+12,20160203,107,8.8,6,7,18.5,.167,0.0,5,0,1,1,7,10.4,0.0,Ricky Rubio
4,2064.0,-0.8,22.0,1,1,114,.555,14.3,.500,1,.286,0,.214,0,.333,0,4,.500,4,6.1,MIN,17,-4,20160203,114,1.5,14,3,13.0,.571,0.0,4,2,7,0,3,7.2,0.0,Zach LaVine
0,1105.0,6.9,10.1,0,1,121,1.333,8.4,1.000,0,.667,0,.000,0,0,0,2,1.000,2,25.0,MIN,8,-3,20160203,166,0.0,3,0,0.0,1.333,0.0,0,2,3,0,1,0.0,0.0,Damjan Rudež
0,867.0,-0.8,14.3,0,2,121,.615,65.2,.500,1,.500,0,.500,0,1.000,0,1,.000,2,45.0,MIN,3,-6,20160203,117,0.0,2,1,0.0,.500,0.0,0,0,1,0,7,0.0,0.0,Andre Miller
1,748.0,-0.9,10.7,0,0,119,.694,0.0,.500,2,.500,0,1.000,0,1.000,0,1,.000,0,0.0,MIN,4,-8,20160203,155,0.0,2,2,9.0,.500,0.0,1,0,1,0,0,5.0,0.0,Shabazz Muhammad
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,20160203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nemanja Bjelica
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,20160203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tyus Jones
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,20160203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kevin Martin
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,20160203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adreian Payne
12,2180.0,7.5,17.2,2,1,107,.726,0.0,.875,4,.000,3,1.250,3,.400,0,0,0,1,7.5,LAC,18,-8,20160203,134,2.9,8,10,46.6,.875,9.2,15,0,7,1,0,25.7,6.6,DeAndre Jordan
2,2144.0,10.2,24.3,2,2,121,.661,43.1,.429,6,.643,0,.429,2,1.000,0,9,.444,2,10.7,LAC,22,-9,20160203,139,3.0,14,6,7.9,.571,6.2,4,4,6,1,8,7.0,0.0,Chris Paul
2,1970.0,-16.9,16.9,0,2,128,.253,4.6,.111,2,.444,0,.222,0,1.000,0,4,.250,1,16.8,LAC,5,-9,20160203,52,0.0,9,2,8.6,.167,0.0,2,1,1,1,1,3.8,0.0,J.J. Redick
0,1196.0,-6.1,16.1,0,2,130,.717,0.0,.750,0,.250,0,.500,1,.000,0,1,1.000,1,29.1,LAC,7,-13,20160203,89,0.0,4,2,0.0,.875,5.6,1,1,3,1,0,3.1,0.0,Luc Mbah a Moute
2,1007.0,-8.8,22.2,0,3,125,.300,47.4,.200,0,.600,0,.000,0,0,0,3,.333,2,37.5,LAC,3,-4,20160203,68,0.0,5,0,16.8,.300,0.0,2,1,1,1,5,7.4,0.0,Paul Pierce
2,1684.0,4.8,32.2,1,0,123,.541,21.0,.333,10,.267,0,.667,2,1.000,0,4,.250,1,0.0,LAC,21,+7,20160203,131,1.9,15,10,10.1,.367,8.0,4,1,5,0,3,8.9,0.0,Jamal Crawford
2,1608.0,7.9,17.2,3,0,110,.607,6.9,.444,1,.889,2,.222,1,.500,0,8,.375,6,0.0,LAC,12,+3,20160203,130,6.0,9,2,10.5,.611,4.2,3,3,4,0,1,7.0,6.0,Wesley Johnson
0,736.0,-8.3,15.2,1,1,120,.333,26.9,.333,0,.333,0,.000,0,0,0,1,.000,2,25.0,LAC,2,+3,20160203,75,4.3,3,0,0.0,.333,0.0,0,0,1,0,2,0.0,0.0,Pablo Prigioni
2,732.0,-8.7,15.3,0,1,124,.667,0.0,.667,0,.333,0,.000,0,0,0,1,.000,1,25.0,LAC,4,-6,20160203,89,0.0,3,0,23.1,.667,0.0,2,0,2,0,0,10.2,0.0,Lance Stephenson
0,700.0,2.5,7.5,1,0,114,1.064,0.0,1.000,2,.000,1,2.000,2,1.000,0,0,0,4,0.0,LAC,4,+2,20160203,226,4.6,1,2,0.0,1.000,19.1,2,0,1,0,0,10.7,6.9,Cole Aldrich
0,443.0,-16.9,31.6,0,1,129,.500,0.0,.500,0,.250,0,.000,0,0,0,1,.000,1,20.0,LAC,4,+4,20160203,73,0.0,4,0,0.0,.500,0.0,0,0,2,0,0,0.0,0.0,Austin Rivers
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,0,0,20160203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C.J. Wilcox
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,0,0,20160203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeff Ayres
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIN,0,0,20160203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kevin Garnett
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,LAC,0,0,20160203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Branden Dawson
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,LAC,0,0,20160203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blake Griffin
