trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
5,.400,3,119,25.4,13.3,.100,3,SAC,.550,1.000,14,Rajon Rondo,1,.750,20160207,1,10,5.0,4,45.2,111,7.6,6.8,16.5,15,0,1,1,.595,2342.0,0,4,0.0,5,6,.500,4,2.8,-7
4,.000,3,90,5.6,13.8,.471,0,SAC,.471,.250,16,Marco Belinelli,8,0,20160207,0,17,-9.0,4,6.7,124,6.3,1.2,19.5,2,0,1,2,.471,2261.0,0,1,0.0,7,1,.412,0,0.0,-11
7,.320,4,97,14.9,25.2,.240,6,SAC,.500,.500,31,DeMarcus Cousins,6,.750,20160207,0,25,-3.1,7,24.8,124,11.5,0.0,38.1,6,0,1,3,.543,2159.0,0,5,0.0,11,0,.440,8,0.0,-14
4,.111,4,143,9.6,5.6,.000,1,SAC,.778,0,15,Willie Cauley-Stein,0,1.000,20160207,3,9,-0.3,1,0.0,122,10.2,1.9,18.3,0,0,1,0,.794,1400.0,1,1,3.1,7,1,.778,1,14.0,-15
2,.000,0,59,33.3,14.6,.000,0,SAC,.500,0,2,James Anderson,0,0,20160207,0,2,-5.7,2,0.0,121,6.7,0.0,6.9,0,0,1,0,.500,1065.0,2,1,8.1,1,0,.500,0,0.0,-14
4,.000,2,83,5.9,17.7,.375,0,SAC,.406,.167,13,Omri Casspi,6,0,20160207,0,16,-9.0,4,13.2,122,8.1,1.5,23.6,3,0,0,1,.406,1764.0,0,1,0.0,6,1,.375,0,0.0,0
2,.182,0,131,7.8,4.6,.364,2,SAC,.636,.500,16,Darren Collison,4,1.000,20160207,1,11,3.3,1,18.3,121,4.2,3.1,18.5,4,0,0,2,.673,1709.0,0,1,0.0,6,2,.545,2,3.8,+16
3,1.000,1,169,0.0,12.3,.000,3,SAC,.750,0,9,Kosta Koufos,0,.750,20160207,1,4,8.9,2,11.3,110,8.4,6.3,11.1,2,0,0,0,.781,1269.0,1,0,3.4,3,3,.750,4,5.2,+6
0,.000,1,300,0.0,0.0,1.000,0,SAC,1.500,1.000,3,Seth Curry,1,0,20160207,0,1,36.6,0,0.0,91,0.0,11.3,10.4,0,0,0,1,1.500,237.0,1,0,18.1,1,1,1.000,0,0.0,-4
1,0,0,219,0,0.0,0,0,SAC,0,0,0,Quincy Acy,0,0,20160207,1,0,-6.2,0,0.0,129,18.3,0.0,0.0,0,0,0,0,0,194.0,0,0,0.0,0,0,0,0,33.7,-2
0,0,0,0,0,0,0,0,SAC,0,0,0,Caron Butler,0,0,20160207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,SAC,0,0,0,Rudy Gay,0,0,20160207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
