player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Chandler Parsons,2144.0,.333,.333,.333,.000,3.4,13.1,8.4,40.7,2.9,0.0,25.0,16.6,85,106,0.1,DAL,1,0,20160316,3,9,.333,0,3,.000,0,0,0,1,4,5,10,2,0,3,2,6,-2
Dirk Nowitzki,2087.0,.509,.441,.353,.353,0.0,13.5,6.9,15.1,0.0,8.1,4.8,29.3,100,108,2.6,DAL,1,0,20160316,7,17,.412,1,6,.167,5,6,.833,0,4,4,3,0,3,1,1,20,+5
Deron Williams,1488.0,.340,.300,.400,.400,0.0,4.7,2.4,27.6,2.1,3.8,25.4,15.7,75,109,-4.4,DAL,1,0,20160316,1,5,.200,1,2,.500,1,2,.500,0,1,1,5,1,1,2,2,4,-2
Wesley Matthews,1386.0,.470,.250,.500,.750,0.0,15.2,7.8,6.0,0.0,0.0,15.8,13.5,87,112,-7.8,DAL,1,0,20160316,1,4,.250,0,2,.000,3,3,1.000,0,3,3,1,0,0,1,1,5,-6
Raymond Felton,1032.0,.500,.500,.333,.000,7.2,0.0,3.5,0.0,0.0,0.0,0.0,17.2,102,117,-6.4,DAL,1,0,20160316,3,6,.500,0,2,.000,0,0,0,1,0,1,0,0,0,0,1,6,-14
Devin Harris,1687.0,.500,.500,.500,.000,0.0,25.0,12.8,0.0,1.8,6.7,14.3,12.3,77,101,-1.6,DAL,0,0,20160316,2,6,.333,2,3,.667,0,0,0,0,6,6,0,1,2,1,3,6,-1
J.J. Barea,1394.0,.850,.850,.300,.000,0.0,15.1,7.7,36.7,0.0,0.0,16.7,25.5,131,112,8.8,DAL,0,0,20160316,7,10,.700,3,3,1.000,0,0,0,0,3,3,4,0,0,2,3,17,+4
David Lee,1293.0,.784,.727,.000,.364,5.7,10.9,8.4,11.6,0.0,0.0,0.0,29.2,156,113,11.9,DAL,0,0,20160316,8,11,.727,0,0,0,4,4,1.000,1,2,3,1,0,0,0,2,20,+2
Justin Anderson,928.0,.410,.250,.250,.500,8.0,7.6,7.8,0.0,3.4,6.1,0.0,15.6,97,104,-0.6,DAL,0,0,20160316,1,4,.250,0,1,.000,2,2,1.000,1,1,2,0,1,1,0,0,4,+4
Zaza Pachulia,806.0,.581,.500,.000,.333,0.0,34.9,17.9,0.0,3.9,0.0,0.0,25.3,113,96,3.3,DAL,0,0,20160316,3,6,.500,0,0,0,2,2,1.000,0,4,4,0,1,0,0,1,8,+10
Dwight Powell,154.0,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,200,117,-3.5,DAL,0,0,20160316,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-5
Salah Mejri,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAL,0,0,20160316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
