trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
5,.091,4,100,34.4,11.2,.364,1,MIA,.591,.250,14,Joe Johnson,4,1.000,20160401,1,11,-1.5,4,30.9,109,8.3,2.8,21.3,8,0,1,1,.612,2189.0,0,6,0.0,6,2,.545,1,4.1,+8
3,.000,1,132,14.3,3.0,.250,0,MIA,.708,1.000,17,Luol Deng,3,0,20160401,2,12,4.2,1,17.3,119,5.3,0.0,18.2,4,0,1,3,.708,2065.0,0,2,0.0,7,0,.583,0,8.7,+15
3,.158,3,150,0.0,6.2,.474,3,MIA,.711,.556,30,Gerald Green,9,1.000,20160401,1,19,14.1,2,5.6,108,5.5,4.6,27.6,1,0,1,5,.738,1973.0,0,0,0.0,11,3,.579,3,4.6,+5
2,.667,4,111,20.5,6.7,.167,7,MIA,.458,.500,18,Goran Dragić,2,.875,20160401,0,12,-2.2,2,32.5,116,4.0,0.0,28.8,7,0,1,1,.580,1818.0,1,4,2.4,5,0,.417,8,0.0,-2
4,.500,1,133,17.0,23.4,.000,2,MIA,.750,0,8,Amar'e Stoudemire,0,1.000,20160401,0,4,-0.4,4,0.0,110,13.9,0.0,15.1,0,0,1,0,.820,1046.0,0,1,0.0,3,0,.750,2,0.0,+9
13,.500,3,100,29.1,43.6,.000,2,MIA,.500,0,6,Hassan Whiteside,0,1.000,20160401,0,4,0.9,13,8.1,97,25.9,0.0,10.1,2,0,0,0,.615,1829.0,3,2,7.2,2,0,.500,2,0.0,-5
5,.083,2,103,7.4,6.7,.167,1,MIA,.458,.500,12,Justise Winslow,2,1.000,20160401,3,12,-5.4,2,0.0,116,10.0,0.0,19.7,0,0,0,1,.482,1827.0,1,1,2.4,5,0,.417,1,14.8,-6
3,.000,4,75,20.0,11.1,.250,0,MIA,.438,.500,7,Josh Richardson,2,0,20160401,0,8,-9.5,3,4.7,114,6.6,0.0,16.2,1,0,0,1,.438,1653.0,1,2,2.6,3,0,.375,0,0.0,+6
0,0,0,0,0,0,0,0,MIA,0,0,0,Udonis Haslem,0,0,20160401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIA,0,0,0,Tyler Johnson,0,0,20160401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIA,0,0,0,Josh McRoberts,0,0,20160401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIA,0,0,0,Dwyane Wade,0,0,20160401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
13,.095,3,91,15.5,34.2,.143,2,SAC,.429,.000,20,Rudy Gay,3,1.000,20160401,4,21,-5.8,9,4.5,113,20.0,2.5,27.9,1,0,1,0,.457,2370.0,0,4,0.0,9,2,.429,2,10.3,-10
2,.800,0,159,6.9,9.5,.600,7,SAC,.700,.667,21,Seth Curry,6,.875,20160401,0,10,12.4,2,15.0,116,3.8,3.2,19.5,3,0,1,4,.777,1898.0,0,1,0.0,5,2,.500,8,0.0,+1
5,.571,1,84,25.5,26.2,.143,3,SAC,.143,.000,5,Rajon Rondo,1,.750,20160401,0,7,-6.4,5,46.1,116,10.6,1.8,17.5,10,0,1,0,.285,1719.0,0,3,0.0,1,1,.143,4,0.0,-7
4,.333,1,94,0.0,13.6,.000,2,SAC,.167,0,4,Willie Cauley-Stein,0,1.000,20160401,2,6,-5.1,2,6.1,116,11.0,0.0,13.2,1,0,1,0,.291,1328.0,2,0,7.2,1,0,.167,2,9.2,-2
2,.000,2,94,0.0,0.0,.333,0,SAC,.333,.000,4,Quincy Acy,2,0,20160401,2,6,-12.6,0,0.0,124,8.9,0.0,18.7,0,0,1,0,.333,818.0,0,0,0.0,2,0,.333,0,15.0,-10
2,.692,3,148,10.5,4.4,.231,9,SAC,.654,.333,26,Darren Collison,3,1.000,20160401,1,13,4.3,1,10.5,124,3.6,0.0,23.7,2,0,0,1,.767,2044.0,0,2,0.0,8,0,.615,9,3.0,+4
9,.182,4,108,14.4,20.3,.000,0,SAC,.545,0,12,Kosta Koufos,0,.000,20160401,6,11,-1.2,3,17.3,115,24.6,0.0,26.6,2,0,0,0,.505,1333.0,2,2,7.2,6,0,.545,2,27.6,-3
2,.000,1,87,16.7,14.2,.600,0,SAC,.500,.333,5,Ben McLemore,3,0,20160401,0,5,-2.4,2,0.0,112,5.7,4.7,12.0,0,0,0,1,.500,1272.0,0,1,0.0,2,2,.400,0,0.0,-1
1,.000,0,152,0.0,7.8,.600,0,SAC,.700,.333,7,James Anderson,3,0,20160401,0,5,4.6,1,8.2,120,3.2,0.0,11.1,1,0,0,1,.700,1151.0,1,0,4.2,3,0,.600,0,0.0,+14
1,.667,1,70,0.0,0.0,.000,0,SAC,.333,0,2,Omri Casspi,0,.000,20160401,1,3,-16.1,0,0.0,124,7.8,0.0,21.2,0,0,0,0,.258,467.0,0,0,0.0,1,0,.333,2,13.1,-16
0,0,0,0,0,0,0,0,SAC,0,0,0,Caron Butler,0,0,20160401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,SAC,0,0,0,DeMarcus Cousins,0,0,20160401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,SAC,0,0,0,Eric Moreland,0,0,20160401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIA,0,0,0,Chris Bosh,0,0,20160401,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,SAC,0,0,0,Marco Belinelli,0,0,20160401,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,SAC,0,0,0,Duje Dukan,0,0,20160401,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
