player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Jamal Crawford,2925.0,.615,.550,.550,.500,4.7,7.2,6.0,16.0,1.1,2.1,3.9,27.0,130,107,5.7,LAC,1,0,20160408,9,20,.450,4,11,.364,8,10,.800,2,3,5,4,1,1,1,3,30,+6
Pablo Prigioni,2503.0,.630,.556,.556,.333,0.0,19.8,9.8,27.9,0.0,0.0,8.8,14.1,136,108,-0.4,LAC,1,0,20160408,4,9,.444,2,5,.400,3,3,1.000,0,7,7,7,0,0,1,5,13,+22
Cole Aldrich,2384.0,.661,.667,.000,.133,11.6,41.5,26.4,11.3,6.9,2.6,11.2,23.3,127,86,9.9,LAC,1,0,20160408,10,15,.667,0,0,0,1,2,.500,4,14,18,2,5,1,2,4,21,+20
Luc Mbah a Moute,1997.0,.000,.000,.000,.000,0.0,10.6,5.2,4.3,3.3,0.0,0.0,3.1,32,103,-4.3,LAC,1,0,20160408,0,2,.000,0,0,0,0,0,0,0,3,3,1,2,0,0,2,0,+16
Paul Pierce,1951.0,.750,.750,.417,.000,0.0,7.2,3.6,12.7,5.1,0.0,29.4,27.1,100,100,5.8,LAC,1,0,20160408,7,12,.583,4,5,.800,0,0,0,0,2,2,2,3,0,5,0,18,+12
Jeff Green,2154.0,.411,.405,.333,.095,3.2,9.8,6.5,0.0,1.5,2.9,4.4,33.0,82,105,-7.6,LAC,0,0,20160408,7,21,.333,3,7,.429,1,2,.500,1,3,4,0,1,1,1,2,18,-24
C.J. Wilcox,1086.0,.347,.000,.500,1.000,6.4,13.0,9.7,0.0,3.0,0.0,0.0,8.2,98,103,-6.0,LAC,0,0,20160408,0,2,.000,0,1,.000,2,2,1.000,1,2,3,0,1,0,0,2,2,-14
Jeff Ayres,767.0,.000,.000,.000,.000,0.0,18.4,9.1,0.0,0.0,0.0,33.3,12.2,0,108,-20.5,LAC,0,0,20160408,0,2,.000,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,-20
Branden Dawson,133.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,113,-6.9,LAC,0,0,20160408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Blake Griffin,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,0,0,20160408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Jordan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,0,0,20160408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Paul,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,0,0,20160408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Redick,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,0,0,20160408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gordon Hayward,2753.0,.598,.559,.294,.412,2.6,30.1,16.5,21.6,0.0,2.1,25.8,28.4,97,107,1.5,UTA,1,0,20160408,8,17,.471,3,5,.600,5,7,.714,1,12,13,5,0,1,7,0,24,-12
Rodney Hood,2750.0,.327,.316,.526,.105,0.0,12.6,6.4,7.7,0.0,0.0,0.0,20.9,76,113,-8.2,UTA,1,0,20160408,5,19,.263,2,10,.200,1,2,.500,0,5,5,2,0,0,0,1,13,-4
Derrick Favors,2214.0,.506,.500,.000,.200,9.6,25.0,17.4,0.0,3.0,10.6,26.9,19.4,82,94,-0.3,UTA,1,0,20160408,5,10,.500,0,0,0,1,2,.500,3,8,11,0,2,4,4,2,11,-8
Shelvin Mack,1963.0,.558,.389,.667,.667,3.6,3.5,3.6,10.4,0.0,0.0,14.7,20.1,109,115,-5.7,UTA,1,0,20160408,3,9,.333,1,6,.167,6,6,1.000,1,1,2,2,0,0,2,5,13,-20
Rudy Gobert,1468.0,.735,1.000,.000,1.333,19.3,14.1,16.7,7.3,0.0,0.0,17.4,11.3,139,113,2.6,UTA,1,0,20160408,3,3,1.000,0,0,0,1,4,.250,4,3,7,1,0,0,1,0,7,-4
Joe Ingles,1335.0,.500,.500,.800,.000,0.0,10.4,5.2,0.0,7.4,0.0,0.0,10.8,104,96,3.1,UTA,0,0,20160408,2,5,.400,1,4,.250,0,0,0,0,2,2,0,3,0,0,3,5,-1
Trevor Booker,980.0,.625,.625,.250,.000,0.0,7.1,3.6,0.0,0.0,6.0,20.0,14.7,96,109,-1.4,UTA,0,0,20160408,2,4,.500,1,1,1.000,0,0,0,0,1,1,0,0,1,1,1,5,-3
Trey Lyles,853.0,.333,.333,.167,.000,0.0,32.4,16.4,0.0,0.0,0.0,0.0,20.3,71,108,-9.3,UTA,0,0,20160408,2,6,.333,0,1,.000,0,0,0,0,4,4,0,0,0,0,1,4,+11
Raul Neto,804.0,.615,.500,.250,.500,0.0,8.6,4.3,56.3,8.2,0.0,29.1,24.7,109,94,11.2,UTA,0,0,20160408,2,4,.500,0,1,.000,2,2,1.000,0,1,1,4,2,0,2,1,6,+20
Alec Burks,780.0,1.100,1.100,.600,.000,0.0,8.9,4.5,0.0,0.0,0.0,16.7,22.2,158,114,17.5,UTA,0,0,20160408,4,5,.800,3,3,1.000,0,0,0,0,1,1,0,0,0,1,1,11,+6
Trey Burke,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTA,0,0,20160408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Johnson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTA,0,0,20160408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Withey,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTA,0,0,20160408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Johnson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,0,1,20160408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Rivers,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,0,1,20160408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
