trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
4,.571,4,98,31.3,13.0,.571,4,MIA,.500,.250,11,Joe Johnson,4,1.000,20160429,0,7,-6.1,4,11.5,108,6.8,0.0,16.4,3,0,1,1,.628,2212.0,0,4,0.0,3,0,.429,4,0.0,+2
6,.100,0,114,8.7,19.7,.100,1,MIA,.550,1.000,23,Dwyane Wade,2,.500,20160429,0,20,13.1,6,21.1,94,10.2,3.0,29.5,4,0,1,2,.551,2198.0,3,2,6.7,10,2,.500,2,0.0,-2
4,.000,1,147,6.7,13.3,.286,0,MIA,.750,.750,21,Luol Deng,4,0,20160429,0,14,11.8,4,10.2,104,6.9,0.0,19.6,2,0,1,3,.750,2172.0,2,1,4.5,9,0,.643,0,0.0,+2
7,.118,3,94,5.3,18.6,.118,2,MIA,.353,.000,14,Goran Dragić,2,1.000,20160429,2,17,-6.7,5,10.3,108,13.6,0.0,27.7,2,0,1,0,.391,1932.0,0,1,0.0,6,0,.353,2,8.1,-7
7,.429,6,125,19.4,17.2,.000,2,MIA,.714,0,12,Hassan Whiteside,0,.667,20160429,3,7,2.1,4,0.0,96,15.6,0.0,17.5,0,0,1,0,.721,1673.0,4,2,11.7,5,0,.714,3,14.0,+10
4,.000,3,153,0.0,9.4,.600,0,MIA,.600,.667,6,Josh Richardson,3,0,20160429,2,5,7.3,2,11.0,101,9.8,2.1,9.2,2,0,0,2,.600,1534.0,1,0,3.2,2,1,.400,0,10.1,+17
4,.500,2,143,0.0,21.6,.250,2,MIA,.500,.000,6,Justise Winslow,1,1.000,20160429,1,4,0.1,3,0.0,107,15.0,0.0,13.8,0,0,0,0,.615,1000.0,0,0,0.0,2,0,.500,2,7.8,+12
7,1.000,3,84,25.8,40.7,.000,2,MIA,.000,0,2,Udonis Haslem,0,1.000,20160429,2,2,-8.9,5,0.0,104,29.6,0.0,12.4,0,0,0,0,.347,884.0,0,1,0.0,0,0,.000,2,17.6,-2
3,.000,1,17,0.0,30.5,.000,0,MIA,.000,0,0,Gerald Green,0,0,20160429,1,5,-21.7,2,0.0,91,23.8,6.9,30.0,0,0,0,0,.000,472.0,0,0,0.0,0,1,.000,0,16.5,+4
0,.000,1,82,33.3,0.0,.000,0,MIA,.500,0,2,Josh McRoberts,0,0,20160429,0,2,-9.2,0,30.7,110,0.0,0.0,26.3,1,0,0,0,.500,323.0,0,1,0.0,1,0,.500,0,0.0,-1
0,0,0,0,0,0,0,0,MIA,0,0,0,Tyler Johnson,0,0,20160429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIA,0,0,0,Amar'e Stoudemire,0,0,20160429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIA,0,0,0,Dorell Wright,0,0,20160429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
3,.000,2,129,0.0,6.5,.000,0,CHO,.500,0,2,Courtney Lee,0,0,20160429,1,2,-1.0,2,3.9,112,4.7,2.7,2.5,1,0,1,0,.500,2384.0,1,0,1.8,1,2,.500,0,3.0,-2
