trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
10,.233,1,76,13.1,19.0,.133,5,OKC,.350,.250,26,Kevin Durant,4,.714,20160516,1,30,-3.0,9,11.1,98,11.0,3.1,35.1,3,0,1,1,.393,2735.0,1,5,1.7,10,3,.333,7,2.3,+8
6,.667,2,111,9.9,11.9,.190,11,OKC,.381,.500,27,Russell Westbrook,4,.786,20160516,1,21,15.0,5,46.8,90,7.5,8.2,31.6,12,0,1,2,.497,2411.0,0,3,0.0,7,7,.333,14,2.6,+8
12,1.125,2,131,7.7,26.2,.000,6,OKC,.625,0,16,Steven Adams,0,.667,20160516,2,8,2.9,10,0.0,101,16.4,0.0,14.9,0,0,1,0,.669,2195.0,2,1,4.3,5,0,.625,9,5.7,+19
11,.000,0,108,8.3,18.9,.273,0,OKC,.500,.333,11,Serge Ibaka,3,0,20160516,4,11,0.4,7,4.2,105,15.5,0.0,14.2,1,0,1,1,.500,2132.0,1,1,2.2,5,0,.455,0,11.7,0
5,.000,2,232,0.0,23.3,.333,0,OKC,1.167,1.000,7,Andre Roberson,1,0,20160516,0,3,11.2,5,7.3,97,12.2,2.3,6.1,1,0,1,1,1.167,1234.0,1,0,3.8,3,1,1.000,0,0.0,-8
1,.333,3,150,0.0,3.2,.333,0,OKC,.833,1.000,10,Dion Waiters,2,.000,20160516,0,6,3.2,1,19.9,109,1.7,0.0,9.8,4,0,0,2,.727,1779.0,0,0,0.0,4,0,.667,2,0.0,+2
6,.000,2,97,11.1,21.3,.125,0,OKC,.500,.000,8,Enes Kanter,1,0,20160516,2,8,-1.0,4,0.0,96,16.6,2.6,21.0,0,0,0,0,.500,1083.0,1,1,4.4,4,1,.500,0,11.6,+2
1,.000,3,157,0.0,6.9,1.000,0,OKC,.750,.500,3,Randy Foye,2,0,20160516,0,2,-1.9,1,9.8,108,3.6,0.0,6.1,1,0,0,1,.750,831.0,0,0,0.0,1,0,.500,0,0.0,-1
0,0,0,0,0,0,0,0,OKC,0,0,0,Nick Collison,0,0,20160516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,OKC,0,0,0,Nazr Mohammed,0,0,20160516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,OKC,0,0,0,Anthony Morrow,0,0,20160516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,OKC,0,0,0,Cameron Payne,0,0,20160516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,OKC,0,0,0,Kyle Singler,0,0,20160516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
5,.450,3,96,7.7,10.4,.200,5,GSW,.450,.000,23,Draymond Green,4,.556,20160516,1,20,2.5,4,16.4,107,6.2,1.2,27.6,4,0,1,0,.480,2405.0,2,2,3.3,9,1,.450,9,2.4,0
10,.091,3,91,23.4,23.7,.636,2,GSW,.545,.429,26,Stephen Curry,14,1.000,20160516,1,22,6.3,9,29.1,101,12.6,3.6,32.1,7,0,1,6,.568,2380.0,0,7,0.0,9,3,.409,2,2.4,-6
9,.000,4,96,7.4,21.1,.320,0,GSW,.500,.375,25,Klay Thompson,8,0,20160516,1,25,1.2,8,18.2,109,11.4,0.0,29.1,4,0,1,3,.500,2375.0,0,2,0.0,11,0,.440,0,2.4,-3
5,.000,1,127,11.1,15.9,.500,0,GSW,.750,.500,12,Harrison Barnes,4,0,20160516,0,8,3.8,5,9.0,111,7.6,0.0,11.7,2,0,1,2,.750,1964.0,0,1,0.0,5,0,.625,0,0.0,+2
3,0,3,228,0,17.9,0,0,GSW,0,0,0,Andrew Bogut,0,0,20160516,0,0,7.8,3,20.6,97,8.6,2.7,0.0,3,0,1,0,0,1047.0,2,0,7.6,0,1,0,0,0.0,-6
5,.500,1,127,17.0,12.8,.000,2,GSW,.500,0,6,Andre Iguodala,0,1.000,20160516,1,4,5.7,4,15.9,102,7.7,4.3,7.7,4,0,0,0,.615,1952.0,0,1,0.0,2,3,.500,2,3.0,+1
3,.000,1,63,12.5,10.2,.000,0,GSW,.286,0,4,Shaun Livingston,0,0,20160516,1,7,-9.8,2,6.6,112,7.3,0.0,16.6,1,0,0,0,.286,1232.0,0,1,0.0,2,0,.286,0,4.7,-8
3,1.000,4,130,0.0,13.3,.000,1,GSW,.500,0,3,Festus Ezeli,0,.500,20160516,2,2,-8.1,1,0.0,109,19.1,0.0,15.6,0,0,0,0,.521,472.0,0,0,0.0,1,0,.500,2,24.4,-2
