drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
8,2193.0,10.0,29.9,3,1,99,.520,10.4,.409,8,.136,1,.409,5,.889,0,3,.333,5,3.7,LAC,27,-10,20161027,120,3.9,22,9,25.0,.432,12.2,13,1,9,1,2,17.8,2.0,Blake Griffin
5,1995.0,11.1,28.2,1,1,107,.611,30.1,.474,6,.421,0,.368,0,.857,0,8,.375,2,4.3,LAC,27,-4,20161027,133,1.4,19,7,17.2,.553,0.0,5,3,9,1,5,7.5,0.0,Chris Paul
3,1787.0,-7.2,14.8,0,2,111,.450,5.0,.375,1,.625,0,.250,0,.500,0,5,.200,2,18.4,LAC,8,-7,20161027,81,0.0,8,2,11.5,.438,0.0,3,1,3,1,1,5.0,0.0,J.J. Redick
5,1691.0,-10.7,17.9,0,1,107,.263,0.0,.286,2,.000,1,1.429,7,.200,0,0,0,5,8.1,LAC,6,-8,20161027,81,0.0,7,10,20.3,.286,22.1,12,0,2,1,0,21.3,2.5,DeAndre Jordan
2,1020.0,-3.3,6.9,0,0,108,.174,0.0,.000,1,.000,1,1.000,1,.500,0,0,0,0,0.0,LAC,1,-8,20161027,64,0.0,2,2,13.4,.000,5.2,3,0,0,1,0,8.8,4.2,Luc Mbah a Moute
4,1570.0,0.3,12.4,1,0,106,.500,12.4,.500,0,.375,0,.000,0,0,0,3,.000,2,0.0,LAC,8,+4,20161027,116,1.8,8,0,17.5,.500,0.0,4,0,4,0,2,7.6,0.0,Austin Rivers
3,1545.0,6.3,26.0,4,1,96,.483,5.9,.250,8,.500,0,.667,0,1.000,0,6,.167,2,6.1,LAC,15,+18,20161027,106,7.4,12,8,13.3,.292,0.0,3,1,3,0,1,5.8,0.0,Jamal Crawford
1,970.0,-0.9,10.0,1,1,106,.667,9.6,.667,0,.000,0,.000,0,0,0,0,0,2,25.0,LAC,4,+17,20161027,105,2.9,3,0,7.1,.667,0.0,1,0,2,0,1,3.1,0.0,Raymond Felton
0,937.0,9.7,28.8,0,0,113,.677,0.0,.500,5,.375,0,.875,2,.714,0,3,.667,3,0.0,LAC,15,+20,20161027,150,0.0,8,7,0.0,.625,11.4,2,2,4,0,0,6.4,0.0,Marreese Speights
2,691.0,0.6,8.6,0,0,104,.615,0.0,.500,1,.500,1,.500,0,1.000,0,1,.000,2,0.0,LAC,3,+18,20161027,135,0.0,2,1,19.8,.500,0.0,2,0,1,0,0,8.7,6.2,Wesley Johnson
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,0,0,20161027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brandon Bass
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,0,0,20161027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diamond Stone
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,0,0,20161027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alan Anderson
4,2281.0,0.9,19.7,3,3,110,.546,7.7,.417,5,.083,0,.500,0,.833,0,1,1.000,2,17.0,POR,16,-18,20161027,97,3.8,12,6,9.4,.458,0.0,4,1,5,1,2,5.3,0.0,CJ McCollum
9,2171.0,0.1,36.5,0,4,112,.535,16.3,.458,5,.208,0,.292,1,.714,0,5,.400,6,12.9,POR,29,+13,20161027,100,0.0,24,7,22.1,.500,3.2,10,2,11,1,3,13.8,0.0,Damian Lillard
3,1938.0,11.3,20.9,0,0,118,.724,12.3,.667,2,.200,0,.133,5,1.000,0,3,.333,4,0.0,POR,23,+9,20161027,156,0.0,15,2,8.3,.700,17.7,8,1,10,1,2,12.4,0.0,Maurice Harkless
