blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
2.6,.385,18.2,5.0,84,4,12,1.000,26.6,5,3,+11,78,5,3,20161031,1725.0,3,Dwyane Wade,13,1,0,.231,1,.423,0,1,-4.5,4.9,.446,CHI,3,1,.077,1,0.0,3,.333,27.1,8.2
0.0,.600,10.2,0.0,93,2,22,.889,22.7,6,6,+24,159,1,5,20161031,1637.0,0,Jimmy Butler,10,8,0,.300,0,.700,1,2,7.3,10.2,.788,CHI,3,9,.900,1,4.2,3,.667,6.7,14.4
2.9,.625,21.2,3.7,86,4,10,0,17.9,5,4,+22,105,3,3,20161031,1527.0,2,Rajon Rondo,8,0,0,.125,1,.625,1,0,2.4,7.3,.625,CHI,1,0,.000,1,4.5,2,.000,27.3,9.3
3.0,.778,0.0,1.9,79,0,14,0,18.5,7,11,+24,124,2,9,20161031,1479.0,1,Taj Gibson,9,0,0,.000,1,.778,2,0,3.8,20.8,.778,CHI,0,0,.000,1,9.3,3,0,18.2,28.7
7.6,.200,11.6,0.0,89,2,4,1.000,12.5,1,5,+12,114,0,3,20161031,1165.0,0,Robin Lopez,5,2,0,.000,2,.200,2,0,0.4,12.0,.340,CHI,0,2,.400,1,11.8,1,0,0.0,12.2
8.9,.429,17.2,0.0,80,3,16,0,28.2,6,10,+19,105,3,9,20161031,1498.0,0,Nikola Mirotić,14,0,0,.714,3,.571,1,4,7.2,18.7,.571,CHI,10,0,.000,0,4.6,1,.400,17.6,28.4
0.0,.400,16.1,0.0,95,3,12,1.000,21.9,4,3,+21,115,1,3,20161031,1450.0,0,Doug McDermott,10,4,0,.300,0,.400,0,0,-3.8,5.8,.510,CHI,3,4,.400,0,0.0,2,.000,7.8,9.8
0.0,.500,5.2,0.0,91,1,4,0,9.2,2,7,+8,106,1,5,20161031,1353.0,0,Cristiano Felício,4,0,0,.000,0,.500,2,0,-5.0,14.5,.500,CHI,0,0,.000,0,10.1,3,0,20.0,17.4
0.0,.714,38.4,2.2,92,6,15,1.000,14.8,5,3,+8,204,0,2,20161031,1321.0,1,Isaiah Canaan,7,2,0,.571,0,.929,1,3,21.1,6.4,.952,CHI,4,2,.286,0,5.2,2,.750,0.0,7.1
10.5,.333,0.0,0.0,94,0,3,0,17.7,1,0,+5,110,0,0,20161031,421.0,0,Denzel Valentine,3,0,0,1.000,1,.500,0,1,1.2,0.0,.500,CHI,3,0,.000,0,0.0,1,.333,0.0,0.0
