threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.500,0,3,1,.857,17.2,34,20161111,Kyle Lowry,0,.500,24.1,6,112,26,2,0.0,2.8,.538,0,7,0,2134.0,.000,2.9,6.1,TOR,14,1,.548,1,1,.188,3,126,3,2.6,10.6,-12,22.3
.038,1,6,8,1.000,7.4,19,20161111,DeMar DeRozan,2,.538,16.8,3,119,16,2,3.3,2.8,.438,0,3,1,2134.0,.250,0.0,7.3,TOR,7,0,.585,5,1,.269,8,118,7,0.0,4.0,+12,38.8
.286,0,1,2,1.000,15.3,10,20161111,DeMarre Carroll,0,.571,6.1,2,121,7,0,0.0,0.0,.571,0,2,0,1365.0,.000,0.0,-1.3,TOR,4,0,.635,2,1,.286,4,133,4,0.0,8.3,-9,15.9
.000,1,0,0,1.000,25.4,12,20161111,Jonas Valančiūnas,0,.625,0.0,2,101,8,2,0.0,4.9,.625,0,2,2,1237.0,0,9.9,8.2,TOR,5,0,.676,2,1,.250,8,145,6,4.5,18.3,-8,19.8
.000,0,0,0,0,0.0,0,20161111,Pascal Siakam,0,.000,0.0,0,129,4,0,0.0,0.0,.000,0,0,1,643.0,0,9.5,-26.9,TOR,0,0,.000,3,1,.000,1,24,0,0.0,4.4,-11,17.1
.700,0,3,7,0,13.3,6,20161111,Patrick Patterson,2,.300,10.9,0,122,10,0,0.0,0.0,.200,0,0,2,1975.0,.286,6.2,-5.8,TOR,2,0,.300,2,0,.000,7,88,5,0.0,10.0,+11,13.9
.000,2,1,0,1.000,16.1,10,20161111,Lucas Nogueira,0,.667,4.9,2,112,6,1,22.5,1.9,.667,0,2,2,1622.0,0,7.6,0.8,TOR,4,2,.727,4,0,.333,7,122,5,6.8,12.2,+12,15.1
.375,1,2,3,1.000,13.8,12,20161111,Cory Joseph,2,.625,10.8,2,120,8,0,18.4,0.0,.500,0,2,0,1513.0,.667,0.0,-0.2,TOR,4,2,.676,2,0,.250,4,113,4,3.7,7.5,+2,19.8
.250,0,1,1,1.000,0.0,8,20161111,Terrence Ross,0,.750,6.7,2,124,4,1,0.0,2.5,.750,0,2,0,1194.0,.000,0.0,4.5,TOR,3,0,.820,0,0,.500,0,170,0,0.0,0.0,+3,11.2
.000,0,1,0,1.000,26.9,2,20161111,Norman Powell,0,.000,11.5,2,115,1,0,0.0,0.0,.000,0,2,0,583.0,0,0.0,-1.2,TOR,0,0,.532,0,0,2.000,3,132,3,0.0,14.5,+10,8.9
