stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.2,8.3,5,2386.0,2,7,.308,.521,4,0,.714,.368,13,23,19,.368,7,14,1,1,+5,.684,.474,Ersan İlyasova,35.2,7.2,5,PHI,89,20161206,7.4,20.5,3,17,107,26.6,3.5,2,4,20.9
0.0,0.0,2,2289.0,1,3,.125,.417,1,0,.500,1.000,8,12,10,.300,10,4,0,1,-4,.800,.350,Nik Stauskas,10.5,0.0,5,PHI,102,20161206,-4.7,4.5,0,4,91,16.6,1.8,0,1,5.1
1.4,13.0,4,2042.0,3,5,.000,.372,2,0,.000,.077,2,10,13,.385,1,3,1,1,-7,.154,.385,Richaun Holmes,8.8,8.5,0,PHI,96,20161206,-4.2,11.3,3,6,78,19.9,6.1,2,0,8.6
0.0,30.0,3,1401.0,0,2,.250,.357,3,0,0,.000,4,5,7,.286,0,3,0,1,-1,.571,.357,Sergio Rodríguez,12.8,0.0,0,PHI,102,20161206,-13.5,22.1,0,3,62,18.8,0.0,3,1,6.3
0.0,18.4,1,972.0,0,2,1.000,.563,0,0,.000,.250,1,5,4,.500,1,3,0,1,+3,.250,.625,Gerald Henderson,18.5,0.0,0,PHI,100,20161206,-5.6,0.0,0,3,80,14.7,0.0,1,1,9.1
1.9,13.1,4,1505.0,0,6,.500,.638,0,0,.667,.250,6,17,12,.500,3,5,1,0,-11,.500,.625,Dario Šarić,19.9,7.7,2,PHI,95,20161206,3.8,0.0,2,7,106,26.8,0.0,2,3,13.7
3.9,37.5,2,1480.0,0,2,1.000,.500,9,0,0,.000,1,5,5,.400,0,1,2,0,-4,.200,.500,T.J. McConnell,4.1,3.9,0,PHI,97,20161206,2.5,62.3,1,2,104,14.2,0.0,3,1,4.0
0.0,12.7,2,1352.0,1,2,.500,.509,2,0,.500,.333,4,7,6,.333,2,1,0,0,-6,.667,.500,Hollis Thompson,4.4,0.0,1,PHI,103,20161206,-0.4,15.4,0,1,96,15.3,3.1,1,2,2.2
0.0,22.5,4,974.0,0,3,.500,.509,0,0,.000,.333,2,7,6,.500,2,2,0,0,0,.333,.583,Timothé Luwawu-Cabarrot,12.3,0.0,0,PHI,102,20161206,-11.9,0.0,0,2,67,24.0,0.0,2,1,6.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jerryd Bayless,0,0,0,PHI,0,20161206,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Robert Covington,0,0,0,PHI,0,20161206,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joel Embiid,0,0,0,PHI,0,20161206,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jahlil Okafor,0,0,0,PHI,0,20161206,0,0,0,0,0,0,0,0,0,0
2.8,20.8,4,2074.0,1,2,0,.570,3,0,.900,1.429,0,13,7,.286,10,7,2,1,+8,.000,.286,JaMychal Green,19.4,8.7,9,MEM,88,20161206,2.3,13.8,3,10,109,17.5,3.4,3,0,14.2
1.4,15.7,3,2045.0,2,9,.000,.607,3,0,.800,.588,2,26,17,.529,10,11,1,1,+8,.118,.529,Marc Gasol,31.0,2.9,8,MEM,86,20161206,8.7,20.8,1,12,108,31.3,6.9,4,0,17.2
3.1,0.0,4,1882.0,1,4,.000,.667,1,0,0,.000,2,8,6,.667,0,2,2,1,-11,.333,.667,Troy Williams,6.1,3.2,0,MEM,91,20161206,2.8,5.7,1,3,141,8.0,3.7,0,0,4.7
0.0,10.0,2,1665.0,1,1,.000,.111,4,0,0,.000,2,2,9,.111,0,4,0,1,+6,.222,.111,Andrew Harrison,13.8,0.0,0,MEM,96,20161206,-11.1,22.1,0,4,40,15.1,4.2,1,0,7.1
3.7,20.2,2,1594.0,0,4,0,.571,2,0,.500,.286,0,9,7,.571,2,4,2,1,+7,.000,.571,Tony Allen,14.5,0.0,1,MEM,90,20161206,0.8,14.0,0,4,94,15.6,0.0,2,0,7.4
2.0,0.0,5,1481.0,0,4,.125,.346,1,0,1.000,.071,8,10,14,.286,1,1,1,0,+14,.571,.321,Troy Daniels,3.9,0.0,1,MEM,95,20161206,-8.3,7.7,0,1,79,24.5,0.0,0,1,2.0
0.0,24.0,5,1413.0,0,2,.000,.578,2,0,.875,1.333,1,11,6,.333,8,1,0,0,-2,.167,.333,Wade Baldwin,4.1,0.0,7,MEM,100,20161206,-8.5,14.1,0,1,97,22.3,0.0,3,0,2.1
0.0,0.0,0,1314.0,0,5,0,.338,1,0,.500,.250,0,12,16,.313,4,8,0,0,+6,.000,.313,Zach Randolph,35.1,27.4,2,MEM,93,20161206,-1.9,9.9,6,14,90,34.0,0.0,0,0,31.3
0.0,0.0,0,595.0,0,1,1.000,1.500,0,0,0,.000,1,3,1,1.000,0,2,0,0,-3,1.000,1.500,Jarell Martin,19.4,0.0,0,MEM,97,20161206,6.7,0.0,0,2,300,4.2,0.0,0,1,9.9
0.0,0.0,0,337.0,0,1,.000,.333,1,0,0,.000,1,2,3,.333,0,1,0,0,-8,.333,.333,Toney Douglas,17.1,17.8,0,MEM,98,20161206,1.3,34.9,1,2,96,22.4,0.0,0,0,17.4
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vince Carter,0,0,0,MEM,0,20161206,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deyonta Davis,0,0,0,MEM,0,20161206,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Ennis,0,0,0,MEM,0,20161206,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Nerlens Noel,0,0,0,PHI,0,20161206,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Ben Simmons,0,0,0,PHI,0,20161206,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mike Conley,0,0,0,MEM,0,20161206,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Chandler Parsons,0,0,0,MEM,0,20161206,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Brandan Wright,0,0,0,MEM,0,20161206,0,0,0,0,0,0,0,0,0,0
