player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Harrison Barnes,2198.0,.504,.464,.143,.143,0.0,27.8,12.6,4.5,0.0,0.0,11.8,23.4,86,128,-9.2,DAL,1,0,20161226,6,14,.429,1,2,.500,2,2,1.000,0,7,7,1,0,0,2,1,15,-11
Wesley Matthews,2149.0,.604,.500,.636,.636,0.0,8.1,3.7,8.5,3.0,0.0,22.1,25.6,94,123,-4.5,DAL,1,0,20161226,4,11,.364,3,7,.429,6,7,.857,0,2,2,2,2,0,4,2,17,-12
Deron Williams,1939.0,.607,.583,.389,.222,3.7,4.5,4.1,56.6,1.7,0.0,9.2,34.1,123,126,6.1,DAL,1,0,20161226,9,18,.500,3,7,.429,3,4,.750,1,1,2,9,1,0,2,3,24,-2
Dorian Finney-Smith,1048.0,1.000,1.000,.000,.000,13.7,8.3,11.3,16.0,0.0,0.0,0.0,2.9,222,130,-1.1,DAL,1,0,20161226,1,1,1.000,0,0,0,0,0,0,2,1,3,2,0,0,0,4,2,-12
Dirk Nowitzki,1019.0,.556,.556,.444,.000,0.0,17.1,7.7,44.0,0.0,0.0,0.0,26.9,120,129,8.7,DAL,1,0,20161226,4,9,.444,2,4,.500,0,0,0,0,2,2,4,0,0,0,1,10,-5
Seth Curry,1865.0,.714,.667,.667,.556,0.0,4.7,2.1,36.9,0.0,0.0,8.2,19.9,143,130,3.6,DAL,0,0,20161226,5,9,.556,2,6,.333,4,5,.800,0,1,1,7,0,0,1,3,16,-8
Dwight Powell,1272.0,.630,.667,.333,1.333,0.0,34.3,15.5,0.0,0.0,0.0,0.0,11.4,123,127,-6.8,DAL,0,0,20161226,2,3,.667,0,1,.000,2,4,.500,0,5,5,0,0,0,0,3,6,-5
Devin Harris,1108.0,.625,.625,.750,.000,0.0,23.6,10.7,16.3,0.0,0.0,0.0,11.0,131,128,-2.2,DAL,0,0,20161226,2,4,.500,1,3,.333,0,0,0,0,3,3,2,0,0,0,1,5,+1
Salah Mejri,955.0,0,0,0,0,0.0,45.7,20.7,0.0,3.4,0.0,0,0.0,0,117,-5.8,DAL,0,0,20161226,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,4,0,+5
Justin Anderson,806.0,.750,.750,.333,.000,8.9,10.8,9.8,0.0,0.0,7.9,14.3,26.4,115,123,4.1,DAL,0,0,20161226,4,6,.667,1,2,.500,0,0,0,1,1,2,0,0,1,1,0,9,+8
