threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.353,1,2,6,.875,18.0,25,20170202,Ersan İlyasova,2,.529,12.3,7,91,17,4,12.8,4.7,.471,0,8,2,2334.0,.333,4.3,9.2,PHI,8,3,.609,5,1,.471,9,110,7,1.8,10.6,-15,24.4
.412,0,1,7,1.000,14.0,14,20170202,Dario Šarić,2,.353,5.8,2,101,17,1,25.1,1.3,.294,0,2,3,2139.0,.286,7.1,-9.0,PHI,5,6,.391,3,1,.118,8,64,5,0.0,10.3,-17,27.0
.200,1,7,1,0,15.9,4,20170202,T.J. McConnell,0,.400,39.5,0,95,5,2,37.5,2.9,.400,0,0,0,1892.0,.000,0.0,-2.7,PHI,2,3,.400,3,1,.000,5,77,5,2.2,7.2,-14,10.2
.500,1,1,5,1.000,10.6,8,20170202,Nik Stauskas,2,.300,6.4,2,100,10,1,8.4,1.6,.200,0,2,1,1691.0,.400,3.0,-3.0,PHI,2,1,.368,3,1,.200,4,77,3,2.5,6.5,-18,17.0
.000,0,3,0,1.000,23.9,9,20170202,Jahlil Okafor,0,.333,25.6,1,100,12,0,7.4,0.0,.333,0,1,3,1508.0,0,10.1,-2.4,PHI,4,1,.362,3,1,.083,9,85,6,0.0,16.4,-13,21.5
.300,1,1,3,1.000,3.4,9,20170202,Timothé Luwawu-Cabarrot,1,.350,6.4,2,106,10,0,21.6,0.0,.300,0,2,1,1784.0,.333,2.8,-6.5,PHI,3,3,.414,1,0,.200,2,70,1,2.4,3.1,-8,18.8
.000,1,1,0,.333,21.6,4,20170202,Richaun Holmes,0,.250,9.5,2,99,4,0,0.0,0.0,.250,0,6,2,1110.0,0,9.1,-3.0,PHI,1,0,.301,1,0,1.500,6,81,4,3.8,14.8,+4,14.5
.143,0,4,1,.500,11.5,8,20170202,Sergio Rodríguez,1,.500,50.8,1,93,7,2,33.7,5.3,.429,0,2,0,1044.0,1.000,0.0,-0.2,PHI,3,4,.508,2,0,.286,2,75,2,0.0,5.3,0,27.5
.333,0,1,2,0,6.7,5,20170202,Chasson Randle,1,.417,13.6,0,106,6,0,0.0,0.0,.333,0,0,0,898.0,.500,0.0,-5.1,PHI,2,0,.417,2,0,.000,1,90,1,0.0,3.1,+1,16.2
0,0,0,0,0,0,0,20170202,Robert Covington,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20170202,Joel Embiid,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20170202,Gerald Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
