player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Dante Cunningham,2297.0,.676,.688,.625,.250,0.0,10.7,6.5,3.1,0.0,2.3,10.1,11.5,123,113,-0.4,NOP,1,0,20170210,4,8,.500,3,5,.600,1,2,.500,0,4,4,1,0,1,1,2,12,+16
Jrue Holiday,2279.0,.793,.750,.143,.286,8.4,10.8,9.8,46.9,6.5,0.0,36.3,29.0,120,101,8.5,NOP,1,0,20170210,10,14,.714,1,2,.500,4,4,1.000,2,4,6,12,5,0,9,3,25,+15
Solomon Hill,2229.0,.394,.313,.750,.250,4.3,13.7,10.1,21.3,1.3,2.3,18.4,13.0,108,110,-0.1,NOP,1,0,20170210,2,8,.250,1,6,.167,2,2,1.000,1,5,6,7,1,1,2,2,7,+4
Anthony Davis,2175.0,.782,.773,.136,.500,8.8,31.0,22.4,11.1,1.4,2.4,6.9,35.4,149,104,12.6,NOP,1,0,20170210,16,22,.727,2,3,.667,8,11,.727,2,11,13,2,1,1,2,3,42,+13
Buddy Hield,1307.0,.814,.800,.400,.100,0.0,18.8,11.4,7.5,0.0,0.0,8.7,23.4,144,112,3.7,NOP,1,0,20170210,7,10,.700,2,4,.500,1,1,1.000,0,4,4,1,0,0,1,3,17,+14
Langston Galloway,1492.0,1.125,1.125,1.000,.000,0.0,16.4,10.0,9.8,0.0,0.0,0.0,7.2,218,113,7.6,NOP,0,0,20170210,3,4,.750,3,4,.750,0,0,0,0,4,4,2,0,0,0,1,9,+1
Tim Frazier,1204.0,.441,.333,.000,1.167,0.0,5.1,3.1,5.9,0.0,0.0,18.1,24.6,83,116,-16.2,NOP,0,0,20170210,2,6,.333,0,0,0,4,7,.571,0,1,1,1,0,0,2,1,8,+13
Donatas Motiejūnas,1141.0,.333,.333,.333,.000,25.2,5.4,13.1,5.9,2.6,0.0,50.0,14.0,74,110,-11.1,NOP,0,0,20170210,1,3,.333,0,1,.000,0,0,0,3,1,4,1,1,0,3,4,2,+10
Ömer Aşık,277.0,0,0,0,0,0.0,22.1,13.5,0.0,0.0,0.0,100.0,9.6,0,108,-27.2,NOP,0,0,20170210,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,-6
Alexis Ajinça,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOP,0,0,20170210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyreke Evans,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOP,0,0,20170210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrence Jones,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOP,0,0,20170210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E'Twaun Moore,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOP,0,0,20170210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Rubio,2358.0,.593,.550,.300,.600,0.0,4.1,1.6,46.0,5.0,0.0,24.0,18.6,112,121,3.2,MIN,1,0,20170210,5,10,.500,1,3,.333,4,6,.667,0,1,1,12,4,0,4,2,15,-14
Karl-Anthony Towns,2253.0,.693,.614,.227,.409,10.9,17.0,13.3,6.0,0.0,0.0,13.4,35.1,125,130,2.1,MIN,1,0,20170210,13,22,.591,1,5,.200,9,9,1.000,4,4,8,1,0,0,4,5,36,-6
Andrew Wiggins,2244.0,.722,.676,.176,.412,5.5,8.6,6.7,10.7,4.0,0.0,13.0,27.2,129,123,8.1,MIN,1,0,20170210,11,17,.647,1,3,.333,6,7,.857,2,2,4,2,3,0,3,0,29,-2
Gorgui Dieng,2025.0,.450,.438,.125,.250,9.1,23.7,14.8,4.2,4.4,0.0,10.1,12.9,101,119,-3.3,MIN,1,0,20170210,3,8,.375,1,1,1.000,1,2,.500,3,5,8,1,3,0,1,4,8,-14
Brandon Rush,1525.0,.571,.571,.714,.286,0.0,18.9,7.4,5.8,0.0,0.0,0.0,13.6,121,130,-2.9,MIN,1,0,20170210,3,7,.429,2,5,.400,1,2,.500,0,3,3,1,0,0,0,2,9,-5
Shabazz Muhammad,1304.0,.282,.250,.375,.250,4.7,7.4,5.7,0.0,0.0,0.0,0.0,18.0,70,132,-13.8,MIN,0,0,20170210,2,8,.250,0,3,.000,1,2,.500,1,1,2,0,0,0,0,0,5,-14
Nemanja Bjelica,727.0,.000,.000,1.000,.000,8.4,26.4,15.4,10.4,0.0,0.0,33.3,10.9,40,129,-15.7,MIN,0,0,20170210,0,2,.000,0,2,.000,0,0,0,1,2,3,1,0,0,1,2,0,0
Lance Stephenson,711.0,.129,.000,.333,.667,0.0,40.5,15.8,10.7,0.0,0.0,0.0,14.4,45,127,-14.6,MIN,0,0,20170210,0,3,.000,0,1,.000,1,2,.500,0,3,3,1,0,0,0,1,1,-19
Tyus Jones,570.0,.174,.000,1.000,1.000,0.0,0.0,0.0,26.6,0.0,0.0,0.0,13.3,72,133,-11.6,MIN,0,0,20170210,0,2,.000,0,2,.000,1,2,.500,0,0,0,2,0,0,0,0,1,-5
Kris Dunn,522.0,.000,.000,1.000,.000,0.0,0.0,0.0,14.5,5.7,0.0,0.0,10.1,30,118,-15.2,MIN,0,0,20170210,0,2,.000,0,2,.000,0,0,0,0,0,0,1,1,0,0,4,0,-2
Cole Aldrich,161.0,1.000,1.000,.000,.000,38.1,59.6,46.5,0.0,0.0,0.0,0.0,16.4,205,123,8.6,MIN,0,0,20170210,1,1,1.000,0,0,0,0,0,0,1,1,2,0,0,0,0,1,2,+1
Jordan Hill,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,20170210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheick Diallo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOP,0,1,20170210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Pondexter,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOP,0,1,20170210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach LaVine,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,1,20170210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adreian Payne,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,1,20170210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
