drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
6,2337.0,15.0,30.5,5,2,102,.635,15.4,.565,4,.130,0,.217,0,.800,0,3,.667,0,7.4,SAS,32,+17,20170213,125,6.5,23,5,17.2,.609,0.0,6,2,13,1,3,8.6,0.0,Kawhi Leonard
4,2147.0,-9.4,30.8,0,1,114,.393,4.4,.318,5,.000,1,.227,3,1.000,0,0,0,5,4.0,SAS,19,+3,20170213,93,0.0,22,5,12.5,.318,9.4,7,0,7,1,1,10.9,2.3,LaMarcus Aldridge
6,2090.0,-1.3,16.2,0,3,113,.607,12.0,.444,2,.556,1,.222,0,1.000,0,5,.400,4,23.3,SAS,12,+8,20170213,102,0.0,9,2,19.2,.556,0.0,6,2,4,1,3,9.6,2.4,Danny Green
1,1744.0,-0.7,16.2,0,1,118,.615,19.8,.500,4,.000,0,.500,0,1.000,0,0,0,1,9.3,SAS,12,+6,20170213,130,0.0,8,4,3.8,.500,0.0,1,0,4,1,4,1.9,0.0,Tony Parker
7,1693.0,-0.7,9.3,0,1,115,.600,4.9,.600,0,.000,0,.000,5,0,0,0,0,2,16.7,SAS,6,+4,20170213,132,0.0,5,0,27.7,.600,19.8,12,0,3,1,1,23.7,0.0,Dewayne Dedmon
8,1312.0,6.3,18.4,0,2,109,.833,7.0,.800,4,.000,1,1.000,3,.800,0,0,0,3,21.7,SAS,12,+5,20170213,140,0.0,5,5,40.8,.800,15.3,11,0,4,0,1,28.1,3.8,David Lee
0,1109.0,2.3,18.9,0,0,119,.563,16.1,.375,0,.750,0,.000,0,0,0,6,.500,1,0.0,SAS,9,+1,20170213,129,0.0,8,0,0.0,.563,0.0,0,3,3,0,2,0.0,0.0,Patty Mills
3,759.0,9.8,10.4,2,0,96,.667,23.4,.667,0,.000,0,.000,0,0,0,0,0,4,0.0,SAS,4,-5,20170213,153,8.0,3,0,26.5,.667,0.0,3,0,2,0,2,13.2,0.0,Jonathon Simmons
0,633.0,-21.6,20.2,0,1,118,.258,0.0,.000,2,.333,0,.667,0,1.000,0,1,.000,2,20.5,SAS,2,-13,20170213,48,0.0,3,2,0.0,.000,0.0,0,0,0,0,0,0.0,0.0,Manu Ginóbili
2,560.0,5.3,12.9,0,0,107,.362,12.9,.000,2,.000,1,4.000,1,.500,0,0,0,0,0.0,SAS,2,-6,20170213,110,0.0,1,4,23.9,.000,12.0,3,0,0,0,1,17.9,8.9,Kyle Anderson
0,16.0,-6.0,0.0,0,0,119,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,20170213,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,Dāvis Bertāns
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,20170213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joel Anthony
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,20170213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dejounte Murray
6,2248.0,4.9,25.7,0,2,119,.729,13.8,.533,7,.467,0,.533,0,.875,0,7,.571,5,9.7,IND,27,-12,20170213,132,0.0,15,8,17.9,.667,0.0,6,4,8,1,3,8.9,0.0,Paul George
4,2146.0,1.3,24.0,1,0,118,.602,4.5,.462,9,.077,0,.923,2,.750,0,1,1.000,4,0.0,IND,22,-13,20170213,130,1.4,13,12,12.5,.500,6.2,6,1,6,1,1,9.4,0.0,Myles Turner
4,1805.0,5.6,17.7,0,2,119,.805,28.1,.750,2,.125,1,.375,1,.667,0,1,1.000,1,17.7,IND,15,-18,20170213,140,0.0,8,3,14.8,.813,3.7,5,1,6,1,5,9.3,2.2,Jeff Teague
4,1638.0,-4.6,20.4,0,2,118,.607,6.4,.667,0,.111,1,.222,0,.000,0,1,.000,4,16.8,IND,12,-6,20170213,94,0.0,9,2,16.4,.667,0.0,4,0,6,1,1,8.2,2.4,Kevin Séraphin
2,1302.0,-3.9,6.5,2,1,112,.000,5.8,.000,0,.500,0,.000,1,0,0,1,.000,1,33.3,IND,0,+11,20170213,44,4.7,2,0,10.3,.000,5.1,3,0,0,1,1,7.7,0.0,Glenn Robinson
