player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Ish Smith,1607.0,.427,.417,.083,.167,0.0,9.7,4.7,41.8,0.0,0.0,18.9,26.6,100,108,-6.3,DET,1,0,20170409,5,12,.417,0,1,.000,1,2,.500,0,2,2,7,0,0,3,1,11,+9
Andre Drummond,1508.0,.363,.333,.000,.333,29.4,25.8,27.6,10.9,2.2,3.5,22.5,15.8,100,97,-2.5,DET,1,0,20170409,2,6,.333,0,0,0,1,2,.500,6,5,11,2,1,1,2,2,5,+3
Tobias Harris,1507.0,.636,.611,.333,.111,4.9,10.3,7.5,13.0,4.3,0.0,17.5,20.4,119,98,5.7,DET,1,0,20170409,5,9,.556,1,3,.333,1,1,1.000,1,2,3,2,2,0,2,0,12,+3
Reggie Bullock,1354.0,.875,.875,.875,.000,5.5,17.2,11.2,0.0,2.4,0.0,0.0,15.9,183,101,13.7,DET,1,0,20170409,5,8,.625,4,7,.571,0,0,0,1,3,4,0,1,0,0,2,14,+17
Jon Leuer,1223.0,.461,.438,.375,.500,6.0,0.0,3.1,0.0,2.7,0.0,9.3,23.7,98,103,-4.9,DET,1,0,20170409,3,8,.375,1,3,.333,2,4,.500,1,0,1,0,1,0,1,0,9,+1
Henry Ellenson,1657.0,.409,.409,.545,.000,8.9,32.9,20.6,10.3,0.0,0.0,21.4,22.7,87,104,-5.8,DET,0,0,20170409,3,11,.273,3,6,.500,0,0,0,2,7,9,2,0,0,3,1,9,+12
Stanley Johnson,1613.0,.313,.313,.250,.000,0.0,19.3,9.4,15.1,2.0,0.0,11.1,15.0,88,102,-3.5,DET,0,0,20170409,2,8,.250,1,2,.500,0,0,0,0,4,4,3,1,0,1,0,5,+3
Boban Marjanović,1372.0,.771,.667,.000,1.167,21.5,34.0,27.6,0.0,2.4,0.0,9.9,19.8,157,98,6.9,DET,0,0,20170409,4,6,.667,0,0,0,6,7,.857,4,6,10,0,1,0,1,2,14,+10
Darrun Hilliard,1286.0,.929,.929,.714,.000,0.0,0.0,0.0,0.0,2.5,4.1,30.0,20.9,111,99,6.1,DET,0,0,20170409,5,7,.714,3,5,.600,0,0,0,0,0,0,0,1,1,3,3,13,+3
Beno Udrih,1273.0,.786,.786,.143,.000,0.0,12.2,6.0,40.9,0.0,0.0,22.2,19.0,139,107,4.5,DET,0,0,20170409,5,7,.714,1,1,1.000,0,0,0,0,2,2,5,0,0,2,1,11,+4
Marcus Morris,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,0,20170409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentavious Caldwell-Pope,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,0,20170409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aron Baynes,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,0,20170409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Gasol,1460.0,.658,.611,.222,.222,0.0,10.1,5.2,37.7,4.5,3.7,23.3,26.5,110,112,6.7,MEM,1,0,20170409,5,9,.556,1,2,.500,2,2,1.000,0,2,2,5,2,1,3,2,13,+1
JaMychal Green,1444.0,.857,.857,.286,.000,10.8,25.6,18.4,15.3,0.0,0.0,41.7,25.0,95,118,-3.0,MEM,1,0,20170409,5,7,.714,2,2,1.000,0,0,0,2,5,7,2,0,0,5,2,12,+3
Mike Conley,1404.0,.735,.688,.250,.625,0.0,10.5,5.4,23.9,2.3,0.0,16.4,26.1,126,118,1.4,MEM,1,0,20170409,5,8,.625,1,2,.500,4,5,.800,0,2,2,3,1,0,2,3,15,-5
Vince Carter,1346.0,.750,.750,.750,.000,0.0,5.5,2.8,0.0,0.0,0.0,33.3,13.4,82,126,-9.2,MEM,1,0,20170409,2,4,.500,2,3,.667,0,0,0,0,1,1,0,0,0,2,1,6,+2
