stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.3,6.9,1,2206.0,1,2,0,.370,1,0,.750,.800,0,10,10,.200,8,5,1,1,+7,.000,.200,Kelly Oubre,14.5,3.3,6,WAS,104,20170410,-8.3,3.3,1,6,84,17.7,1.9,1,0,9.3
0.0,4.4,2,1992.0,1,13,.375,.758,3,0,1.000,.200,8,33,20,.650,4,2,0,1,+13,.400,.725,Bradley Beal,6.4,0.0,4,WAS,108,20170410,10.9,18.7,0,2,144,30.7,2.1,1,3,3.4
8.7,0.0,0,1698.0,0,1,.000,.167,6,0,0,.000,1,2,6,.167,0,1,5,1,+2,.167,.167,Brandon Jennings,3.8,4.3,0,WAS,92,20170410,3.1,25.2,1,2,91,9.5,0.0,0,0,4.0
0.0,23.8,2,1638.0,0,9,.500,.625,1,0,0,.000,4,20,16,.563,0,7,0,1,+1,.250,.625,Markieff Morris,27.4,4.5,0,WAS,107,20170410,-6.4,6.7,1,8,89,34.5,0.0,5,2,16.7
0.0,11.1,1,1281.0,0,4,0,.500,5,0,0,.000,0,8,8,.500,0,4,0,1,+4,.000,.500,Marcin Gortat,20.0,23.1,0,WAS,109,20170410,3.9,34.1,4,8,124,18.9,0.0,1,0,21.4
0.0,16.7,1,1529.0,1,3,.000,.600,3,0,0,.000,2,6,5,.600,0,5,0,0,+5,.400,.600,Jason Smith,20.9,4.8,0,WAS,105,20170410,0.2,15.5,1,6,118,10.6,2.8,1,0,13.5
4.5,28.6,4,1312.0,2,3,0,.600,3,0,0,.000,0,6,5,.600,0,10,2,0,-2,.000,.600,Ian Mahinmi,48.8,5.6,0,WAS,87,20170410,5.4,18.6,1,11,101,14.4,6.5,2,0,28.7
0.0,30.4,1,1182.0,0,4,.500,.799,3,0,1.000,.333,2,11,6,.667,2,0,0,0,+2,.333,.750,Tomáš Satoranský,0.0,0.0,2,WAS,112,20170410,-1.9,22.7,0,0,112,22.5,0.0,3,1,0.0
0.0,11.3,0,1107.0,0,3,.500,.571,0,0,1.000,.286,2,9,7,.429,2,4,0,0,-7,.286,.500,Bojan Bogdanović,23.1,0.0,2,WAS,108,20170410,-5.8,0.0,0,4,102,21.6,0.0,1,1,12.4
0.0,100.0,1,455.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,-5,0,0,Trey Burke,14.1,0.0,0,WAS,109,20170410,-16.1,30.1,0,1,44,11.8,0.0,2,0,7.5
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daniel Ochefu,0,0,0,WAS,0,20170410,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris McCullough,0,0,0,WAS,0,20170410,0,0,0,0,0,0,0,0,0,0
0.0,11.8,2,1912.0,1,7,.000,.538,9,0,1.000,.143,1,16,14,.500,2,1,0,1,-3,.071,.500,Ish Smith,3.9,3.3,2,DET,113,20170410,2.3,41.8,1,2,115,23.9,2.4,2,0,3.6
0.0,0.0,2,1705.0,0,2,.200,.357,2,0,0,.000,5,5,7,.286,0,2,0,1,-11,.714,.357,Kentavious Caldwell-Pope,8.7,0.0,0,DET,114,20170410,-8.7,8.5,0,2,83,11.1,0.0,0,1,4.0
1.9,6.7,2,1533.0,0,6,.000,.429,0,0,0,.000,2,12,14,.429,0,4,1,1,-12,.143,.429,Marcus Morris,19.3,0.0,0,DET,108,20170410,-8.8,0.0,0,4,77,26.5,0.0,1,0,8.9
4.1,11.1,3,1431.0,1,5,0,.625,1,0,0,.000,0,10,8,.625,0,5,2,1,-1,.000,.625,Andre Drummond,25.8,8.9,0,DET,99,20170410,2.8,6.1,2,7,118,17.1,3.1,1,0,16.8
0.0,20.0,0,1011.0,0,1,.333,.375,0,0,0,.000,3,3,4,.250,0,3,0,1,-3,.750,.375,Henry Ellenson,21.9,0.0,0,DET,111,20170410,-9.7,0.0,0,3,58,13.4,0.0,1,1,10.2
3.2,0.0,0,1869.0,0,8,.500,.600,2,0,1.000,.176,6,22,17,.471,3,5,2,0,-1,.353,.559,Tobias Harris,19.8,0.0,3,DET,105,20170410,9.2,10.0,0,5,122,26.6,0.0,0,3,9.2
2.2,10.0,2,1347.0,0,3,.667,.444,2,0,0,.000,3,8,9,.333,0,0,1,0,+8,.333,.444,Stanley Johnson,0.0,0.0,0,DET,111,20170410,-4.2,11.7,0,0,86,20.1,0.0,1,2,0.0
2.5,20.0,3,1196.0,0,4,0,.500,0,0,0,.000,0,8,8,.500,0,5,1,0,+1,.000,.500,Boban Marjanović,30.9,16.1,0,DET,104,20170410,-8.2,0.0,3,8,91,22.7,0.0,2,0,22.9
2.5,0.0,1,1175.0,0,4,.600,.917,2,0,0,.000,5,11,6,.667,0,4,1,0,+7,.833,.917,Reggie Bullock,25.1,0.0,0,DET,105,20170410,14.0,14.8,0,4,177,13.8,0.0,0,3,11.7
3.1,25.0,2,968.0,0,3,.000,.500,4,0,0,.000,1,6,6,.500,0,1,1,0,-1,.167,.500,Darrun Hilliard,7.6,0.0,0,DET,107,20170410,-2.2,34.9,0,1,91,22.4,0.0,2,0,3.5
0.0,0.0,1,253.0,0,0,0,.000,0,0,0,.000,0,0,1,.000,0,0,0,0,-4,.000,.000,Jon Leuer,0.0,0.0,0,DET,116,20170410,-21.9,0.0,0,0,0,10.7,0.0,0,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Gbinije,0,0,0,DET,0,20170410,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aron Baynes,0,0,0,DET,0,20170410,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheldon Mac,0,0,0,WAS,0,20170410,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Otto Porter,0,0,0,WAS,0,20170410,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,John Wall,0,0,0,WAS,0,20170410,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Reggie Jackson,0,0,0,DET,0,20170410,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Beno Udrih,0,0,0,DET,0,20170410,0,0,0,0,0,0,0,0,0,0
