drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
2,2521.0,-4.5,25.9,2,0,124,.419,13.9,.348,1,.348,0,.087,1,.500,0,8,.375,1,0.0,BOS,20,+4,20170521,99,2.5,23,2,6.0,.413,2.5,3,3,8,1,4,4.1,0.0,Avery Bradley
3,2488.0,14.6,20.5,2,2,121,.811,24.7,.571,4,.714,1,.429,2,.667,0,10,.700,1,10.7,BOS,27,+8,20170521,152,2.6,14,6,9.1,.821,5.0,5,7,8,1,7,6.9,3.7,Marcus Smart
9,2387.0,-0.1,17.2,3,1,112,.500,13.9,.429,0,.571,0,.000,2,0,0,8,.250,4,6.7,BOS,14,+6,20170521,112,4.0,14,0,28.6,.500,5.2,11,2,6,1,4,15.8,0.0,Jae Crowder
2,2159.0,-3.9,24.1,1,1,126,.444,24.5,.389,0,.333,0,.000,0,0,0,6,.333,3,5.3,BOS,16,-10,20170521,102,1.5,18,0,7.0,.444,0.0,2,2,7,1,6,3.2,0.0,Al Horford
0,559.0,-6.6,4.9,0,0,131,1.000,0.0,1.000,0,.000,0,.000,2,0,0,0,0,2,0.0,BOS,2,-15,20170521,220,0.0,1,0,0.0,1.000,22.4,2,0,1,1,0,12.3,0.0,Amir Johnson
2,1383.0,1.8,19.3,0,0,127,.768,6.6,.625,4,.375,0,.500,1,1.000,0,3,.333,4,0.0,BOS,15,+15,20170521,163,0.0,8,4,11.0,.688,4.5,3,1,5,0,1,7.4,0.0,Kelly Olynyk
2,770.0,-15.3,14.2,1,1,110,.000,8.9,.000,0,.333,1,.000,0,0,0,1,.000,3,25.0,BOS,0,-7,20170521,19,4.2,3,0,19.7,.000,0.0,2,0,0,0,1,8.9,12.1,Jaylen Brown
4,752.0,22.8,14.6,0,0,113,1.250,14.4,1.000,0,.500,1,.000,1,0,0,2,1.000,3,0.0,BOS,10,+22,20170521,248,0.0,4,0,40.3,1.250,8.3,5,2,4,0,1,22.8,12.4,Jonas Jerebko
1,493.0,-19.3,27.7,1,3,110,.500,0.0,.500,0,.000,0,.000,1,0,0,0,0,1,60.0,BOS,2,-4,20170521,47,6.5,2,0,15.4,.500,12.7,2,0,1,0,0,13.9,0.0,Terry Rozier
2,444.0,-1.8,30.8,0,1,120,.625,22.3,.500,0,.500,0,.000,0,0,0,2,.500,1,20.0,BOS,5,0,20170521,100,0.0,4,0,34.1,.625,0.0,2,1,2,0,1,15.4,0.0,Gerald Green
0,443.0,13.3,0.0,0,0,132,0,46.4,0,0,0,0,0,1,0,0,0,0,0,0,BOS,0,-4,20170521,242,0.0,0,0,0.0,0,14.1,1,0,0,0,3,7.7,0.0,Tyler Zeller
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20170521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jordan Mickey
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20170521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Young
5,2703.0,-12.5,22.9,1,6,124,.352,23.0,.308,3,.308,1,.462,1,.500,0,4,.000,2,27.7,CLE,11,+1,20170521,74,1.2,13,6,11.6,.308,2.8,6,0,4,1,6,7.6,2.1,LeBron James
6,2529.0,2.9,14.2,0,2,125,.849,4.0,.750,12,.000,1,3.750,7,.800,0,0,0,1,15.9,CLE,18,-5,20170521,165,0.0,4,15,14.9,.750,21.0,13,0,3,1,1,17.6,2.2,Tristan Thompson
2,2407.0,9.6,24.0,1,3,127,.843,41.8,.667,5,.400,0,.333,0,1.000,0,6,.667,1,14.9,CLE,29,0,20170521,153,1.3,15,5,5.2,.800,0.0,2,4,10,1,7,2.8,0.0,Kyrie Irving
9,2150.0,12.8,27.4,0,2,119,.751,18.9,.500,5,.813,2,.375,1,.833,0,13,.538,2,9.7,CLE,28,+4,20170521,141,0.0,16,6,26.2,.719,3.5,10,7,8,1,3,15.9,5.3,Kevin Love
7,1986.0,1.6,12.8,0,0,124,.732,0.0,.500,1,1.000,0,.250,1,.500,0,8,.500,2,0.0,CLE,13,0,20170521,148,0.0,8,2,22.1,.750,3.8,8,4,4,1,0,13.8,0.0,J.R. Smith
4,936.0,1.1,14.9,0,0,123,.615,23.8,.500,2,.500,0,.500,0,1.000,0,2,.000,1,0.0,CLE,6,-10,20170521,150,0.0,4,2,26.8,.500,0.0,4,0,2,0,2,14.7,0.0,Iman Shumpert
1,896.0,-5.4,15.9,2,0,113,.300,0.0,.200,0,1.000,0,.000,0,0,0,5,.200,1,0.0,CLE,3,-8,20170521,69,7.1,5,0,7.0,.300,0.0,1,1,1,0,0,3.8,0.0,Kyle Korver
1,535.0,-16.9,21.4,1,2,114,.000,33.6,.000,0,.000,0,.000,0,0,0,0,0,1,50.0,CLE,0,+1,20170521,35,6.0,2,0,11.7,.000,0.0,1,0,0,0,2,6.4,0.0,Deron Williams
0,258.0,-36.8,33.2,0,0,132,.000,0.0,.000,0,.333,0,.000,1,0,0,1,.000,0,0.0,CLE,0,+2,20170521,31,0.0,3,0,0.0,.000,29.4,1,0,0,0,0,13.3,0.0,Richard Jefferson
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,0,0,20170521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Derrick Williams
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,0,0,20170521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Jones
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,0,0,20170521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Channing Frye
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,0,0,20170521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dahntay Jones
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,BOS,0,0,20170521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Demetrius Jackson
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,BOS,0,0,20170521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Isaiah Thomas
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CLE,0,0,20170521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kay Felder
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CLE,0,0,20170521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Edy Tavares
