drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
4,2245.0,5.3,26.6,1,5,106,.711,32.9,.625,2,.250,1,.125,1,1.000,0,4,.500,2,22.9,CLE,24,+13,20171020,123,1.4,16,2,11.9,.688,4.1,5,2,10,1,8,8.7,2.7,LeBron James
10,1610.0,3.8,32.4,0,4,98,.564,30.6,.417,7,.250,2,.583,2,1.000,0,3,.000,2,21.0,CLE,17,-2,20171020,114,0.0,12,7,41.6,.417,11.5,12,0,5,1,6,29.0,7.6,Kevin Love
2,1575.0,-14.2,17.3,1,3,107,.286,13.6,.286,0,.143,0,.000,0,0,0,1,.000,3,30.0,CLE,4,-2,20171020,61,2.0,7,0,8.5,.286,0.0,2,0,2,1,3,4.9,0.0,Dwyane Wade
4,1498.0,8.9,14.6,1,0,105,.875,5.9,.750,0,.250,0,.000,0,0,0,2,1.000,1,0.0,CLE,14,+4,20171020,176,2.1,8,0,17.9,.875,0.0,4,2,6,1,1,10.4,0.0,Jae Crowder
1,1373.0,8.5,15.2,2,1,102,.904,5.6,.750,6,.000,0,1.500,1,1.000,0,0,0,0,13.1,CLE,12,+9,20171020,169,4.5,4,6,4.9,.750,6.8,2,0,3,1,1,5.7,0.0,Derrick Rose
5,1468.0,-0.6,11.2,0,0,108,.667,0.0,.667,0,.000,0,.000,3,0,0,0,0,0,0.0,CLE,8,+16,20171020,154,0.0,6,0,22.8,.667,19.0,8,0,4,0,0,21.2,0.0,Tristan Thompson
4,1357.0,-17.1,26.2,0,2,109,.318,11.3,.273,0,.545,0,.000,0,0,0,6,.167,1,15.4,CLE,7,+15,20171020,69,0.0,11,0,19.7,.318,0.0,4,1,3,0,2,11.5,0.0,J.R. Smith
3,1155.0,23.6,18.9,1,0,103,1.063,8.6,.750,0,.750,0,.000,0,0,0,6,.833,0,0.0,CLE,17,+14,20171020,204,2.7,8,0,17.4,1.063,0.0,3,5,6,0,1,10.1,0.0,Kyle Korver
0,1059.0,-0.5,22.9,1,1,107,.635,8.2,.571,2,.286,0,.286,1,1.000,0,2,.000,1,11.3,CLE,10,+10,20171020,126,2.9,7,2,0.0,.571,8.8,1,0,4,0,1,3.7,0.0,Jeff Green
1,838.0,-4.6,6.5,1,1,103,.000,7.8,.000,0,1.000,0,.000,1,0,0,1,.000,1,50.0,CLE,0,+3,20171020,62,3.7,1,0,8.0,.000,11.1,2,0,0,0,1,9.3,0.0,Iman Shumpert
1,74.0,122.6,36.9,0,0,93,1.500,100.0,1.000,0,1.000,0,.000,0,0,0,1,1.000,0,0.0,CLE,3,+5,20171020,282,0.0,1,0,90.5,1.500,0.0,1,1,1,0,1,52.6,0.0,Channing Frye
0,74.0,-8.1,0.0,0,0,113,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,0,+5,20171020,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,José Calderón
0,74.0,-6.3,0.0,0,0,113,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,0,+5,20171020,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,Cedi Osman
6,2312.0,17.9,32.8,3,2,118,.690,51.6,.682,4,.045,1,.273,2,.667,0,1,.000,2,7.5,MIL,34,-17,20171020,138,4.0,22,6,24.1,.682,5.8,8,0,15,1,8,13.5,2.3,Giannis Antetokounmpo
3,2119.0,-13.9,18.6,0,3,131,.368,20.0,.300,2,.500,0,.200,0,1.000,0,5,.000,4,21.6,MIL,8,-4,20171020,76,0.0,10,2,13.2,.300,0.0,3,0,3,1,5,5.5,0.0,Khris Middleton
2,2017.0,-0.5,19.7,2,2,124,.667,4.9,.500,0,.750,0,.000,0,0,0,9,.444,2,14.3,MIL,16,-15,20171020,107,3.1,12,0,9.2,.667,0.0,2,4,6,1,1,3.9,0.0,Malcolm Brogdon
2,1897.0,1.2,10.5,1,0,127,.643,13.6,.429,0,1.000,0,.000,0,0,0,7,.429,1,0.0,MIL,9,-5,20171020,137,1.6,7,0,9.8,.643,0.0,2,3,3,1,3,4.1,0.0,Tony Snell
2,1019.0,-1.0,14.0,0,0,126,.700,0.0,.600,0,.200,1,.000,1,0,0,1,1.000,3,0.0,MIL,7,-3,20171020,140,0.0,5,0,18.2,.700,6.6,3,1,3,1,0,11.5,5.1,Thon Maker
2,1454.0,-15.1,15.6,0,3,131,.300,27.5,.200,0,.600,0,.000,0,0,0,3,.333,3,37.5,MIL,3,-5,20171020,66,0.0,5,0,12.8,.300,0.0,2,1,1,0,5,5.4,0.0,Matthew Dellavedova
3,1088.0,-14.8,28.7,0,3,128,.500,0.0,.500,0,.000,0,.000,3,0,0,0,0,1,27.3,MIL,8,-15,20171020,81,0.0,8,0,25.6,.500,18.5,6,0,4,0,0,21.5,0.0,Greg Monroe
2,983.0,-1.8,14.1,3,0,108,.205,7.7,.000,2,.750,0,.500,0,1.000,0,3,.000,0,0.0,MIL,2,-11,20171020,59,9.5,4,2,18.9,.000,0.0,2,0,0,0,1,7.9,0.0,Jason Terry
0,525.0,-11.4,21.7,0,0,133,.375,0.0,.250,0,1.000,0,.000,0,0,0,4,.250,0,0.0,MIL,3,-1,20171020,76,0.0,4,0,0.0,.375,0.0,0,1,1,0,0,0.0,0.0,Mirza Teletović
0,495.0,-3.8,16.5,0,1,133,1.064,0.0,1.000,2,.000,0,2.000,2,1.000,0,0,0,1,34.7,MIL,4,-5,20171020,152,0.0,1,2,0.0,1.000,27.1,2,0,1,0,0,15.7,0.0,John Henson
0,343.0,-5.0,24.9,0,0,133,.500,0.0,.333,0,.333,0,.000,0,0,0,1,1.000,0,0.0,MIL,3,-4,20171020,96,0.0,3,0,0.0,.500,0.0,0,1,1,0,0,0.0,0.0,Sterling Brown
0,74.0,-9.4,0.0,0,0,133,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,MIL,0,-5,20171020,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,D.J. Wilson
0,74.0,-44.0,38.4,0,0,133,.000,0.0,.000,0,1.000,0,.000,0,0,0,1,.000,0,0.0,MIL,0,-5,20171020,0,0.0,1,0,0.0,.000,0.0,0,0,0,0,0,0.0,0.0,Rashad Vaughn
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CLE,0,0,20171020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Holland
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CLE,0,0,20171020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,London Perrantes
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CLE,0,0,20171020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Isaiah Thomas
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIL,0,0,20171020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joel Bolomboy
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIL,0,0,20171020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DeAndre Liggins
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIL,0,0,20171020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jabari Parker
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIL,0,0,20171020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gary Payton
