blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.533,20.5,1.2,116,5,23,1.000,20.4,8,3,-4,125,2,2,20171029,2272.0,1,Evan Fournier,15,5,0,.267,0,.600,1,2,1.6,3.9,.669,ORL,4,5,.333,1,2.3,3,.500,10.4,6.0
3.4,.438,16.8,2.5,107,4,17,.500,22.1,7,9,-11,93,3,7,20171029,2169.0,2,Aaron Gordon,16,1,0,.375,2,.500,2,2,-0.5,12.2,.504,ORL,6,2,.125,1,4.7,4,.333,15.1,22.1
1.8,.400,8.8,1.3,112,2,17,.800,24.1,6,5,-9,89,3,4,20171029,2025.0,1,Terrence Ross,15,4,0,.333,1,.433,1,1,-5.5,7.3,.494,ORL,5,5,.333,1,2.5,2,.200,14.9,13.5
0.0,.353,13.7,1.4,110,3,15,.500,23.2,6,10,-13,89,1,8,20171029,1963.0,1,Nikola Vučević,17,1,0,.471,0,.412,2,2,-4.8,15.0,.419,ORL,8,2,.118,1,5.2,4,.250,5.3,27.9
0.0,.000,25.1,0.0,120,5,0,0,12.1,0,0,-18,39,0,0,20171029,1397.0,0,D.J. Augustin,7,0,0,.429,0,.000,0,0,-16.6,0.0,.000,ORL,3,0,.000,1,0.0,1,.000,0.0,0.0
0.0,.600,16.1,5.5,105,3,27,.667,24.8,9,4,-1,133,1,4,20171029,1940.0,4,Jonathon Simmons,15,6,0,.267,0,.700,0,3,12.9,6.1,.712,ORL,4,9,.600,0,0.0,1,.750,5.0,14.1
0.0,.600,35.3,2.6,114,4,10,1.000,15.1,3,1,+11,173,0,0,20171029,1006.0,1,Shelvin Mack,5,3,0,.200,0,.700,1,1,10.8,2.9,.791,ORL,1,3,.600,0,5.1,1,1.000,0.0,0.0
4.0,.333,0.0,2.9,104,0,2,0,10.5,1,4,+6,63,1,3,20171029,917.0,1,Bismack Biyombo,3,0,0,.000,1,.333,1,0,-9.9,12.8,.333,ORL,0,0,.000,0,5.6,3,0,25.0,22.4
0.0,.250,21.9,0.0,115,2,2,0,13.6,1,3,+4,85,0,2,20171029,711.0,0,Mario Hezonja,4,0,0,.500,0,.250,1,0,-7.5,12.4,.250,ORL,2,0,.000,0,7.2,1,.000,0.0,19.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20171029,0.0,0,Marreese Speights,0,0,0,0,0,0,0,0,0,0,0,ORL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20171029,0.0,0,Wesley Iwundu,0,0,0,0,0,0,0,0,0,0,0,ORL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20171029,0.0,0,Khem Birch,0,0,0,0,0,0,0,0,0,0,0,ORL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20171029,0.0,0,Arron Afflalo,0,0,0,0,0,0,0,0,0,0,0,ORL,0,0,0,0,0,0,0,0,0
