drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
10,2253.0,-3.1,25.2,0,6,97,.555,13.3,.571,1,.000,2,.214,4,.333,0,0,0,4,28.1,DET,17,+2,20171124,90,0.0,14,3,26.6,.571,12.8,14,0,8,1,3,20.3,3.9,Andre Drummond
4,2015.0,-0.6,21.2,1,1,102,.433,14.1,.400,0,.400,0,.000,3,0,0,6,.167,1,6.3,DET,13,+2,20171124,100,1.5,15,0,11.9,.433,10.7,7,1,6,1,3,11.4,0.0,Tobias Harris
3,1846.0,-10.8,27.3,1,5,102,.396,14.3,.308,2,.462,0,.154,0,1.000,0,6,.167,2,26.5,DET,11,-6,20171124,68,1.6,13,2,9.8,.346,0.0,3,1,4,1,3,5.3,0.0,Avery Bradley
4,1798.0,5.7,13.4,1,3,99,.917,9.8,.667,0,.833,1,.000,1,0,0,5,.600,3,33.3,DET,11,-3,20171124,116,1.6,6,0,13.3,.917,4.0,5,3,4,1,2,9.1,2.4,Stanley Johnson
3,1557.0,-0.9,23.6,1,3,101,.558,22.1,.333,4,.667,0,.444,0,1.000,0,6,.333,2,21.8,DET,12,0,20171124,101,1.9,9,4,11.6,.444,0.0,3,2,3,1,4,6.3,0.0,Reggie Jackson
3,1323.0,14.9,22.2,0,0,100,.682,36.6,.636,0,.091,2,.000,0,0,0,1,1.000,1,0.0,DET,15,+1,20171124,146,0.0,11,0,13.6,.682,0.0,3,1,7,0,4,7.4,6.6,Ish Smith
3,1103.0,3.9,16.9,1,0,98,.571,0.0,.429,0,.857,0,.000,0,0,0,6,.333,0,0.0,DET,8,-2,20171124,112,2.7,7,0,16.3,.571,0.0,3,2,3,0,0,8.9,0.0,Anthony Tolliver
3,984.0,13.5,10.8,0,0,103,1.125,9.7,.750,0,1.000,0,.000,0,0,0,4,.750,1,0.0,DET,9,+5,20171124,212,0.0,4,0,18.3,1.125,0.0,3,3,3,0,1,10.0,0.0,Langston Galloway
1,894.0,-1.1,14.9,1,0,99,.300,18.0,.200,0,.600,0,.000,0,0,0,3,.333,1,0.0,DET,3,+7,20171124,85,3.3,5,0,6.7,.300,0.0,1,1,1,0,2,3.7,0.0,Luke Kennard
1,627.0,-16.5,8.5,0,2,105,0,0.0,0,0,0,0,0,0,0,0,0,0,2,100.0,DET,0,-1,20171124,0,0.0,0,0,9.6,0,0.0,1,0,0,0,0,5.2,0.0,Eric Moreland
