stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
0.0,0.0,3,2009.0,2,6,.000,.559,4,0,1.000,.385,1,17,13,.462,5,5,0,1,+20,.077,.462,LaMarcus Aldridge,14.1,8.0,5,SAS,95,20171125,5.6,18.9,2,7,132,21.2,4.9,0,0,11.5
8.3,18.4,0,1878.0,0,6,0,.788,3,0,1.000,.250,0,14,8,.750,2,4,5,1,+20,.000,.750,Kyle Anderson,12.0,4.3,2,SAS,82,20171125,13.7,15.4,1,5,134,16.2,0.0,2,0,8.8
0.0,22.2,0,1810.0,2,3,.333,.500,0,0,0,.000,3,7,7,.429,0,7,0,1,+9,.429,.500,Danny Green,21.8,0.0,0,SAS,92,20171125,-2.9,0.0,0,7,74,13.9,5.4,2,1,12.8
0.0,5.7,3,1478.0,2,5,.286,.511,3,0,.833,.429,7,17,14,.357,6,6,0,1,-1,.500,.429,Pau Gasol,22.9,5.4,5,SAS,90,20171125,5.5,20.0,1,7,111,33.4,6.6,1,2,15.7
0.0,13.7,4,1445.0,0,3,.500,.791,2,0,.667,.600,4,10,5,.600,3,3,0,1,+18,.800,.800,Patty Mills,11.7,5.5,2,SAS,99,20171125,1.3,12.1,1,4,142,14.2,0.0,1,2,9.2
4.4,15.0,1,1428.0,0,6,.000,.663,4,0,1.000,.300,3,15,10,.600,3,6,2,0,+18,.300,.600,Rudy Gay,23.7,5.6,3,SAS,85,20171125,11.9,30.0,1,7,124,26.1,0.0,2,0,16.2
2.2,25.4,2,1411.0,1,2,0,.510,2,0,1.000,.400,0,6,5,.400,2,2,1,0,+2,.000,.400,Dejounte Murray,8.0,5.7,2,SAS,94,20171125,-1.8,11.7,1,3,94,15.6,3.5,2,0,7.0
0.0,0.0,2,1198.0,0,4,.333,.619,1,0,1.000,.250,3,11,8,.500,2,0,0,0,+8,.375,.563,Manu Ginóbili,0.0,6.7,2,SAS,105,20171125,0.9,8.2,1,1,135,20.7,0.0,0,1,2.8
0.0,0.0,1,932.0,0,2,.000,.282,0,0,.500,.250,3,5,8,.250,2,2,0,0,-5,.375,.250,Bryn Forbes,12.1,0.0,1,SAS,99,20171125,-17.2,0.0,0,2,62,26.6,0.0,0,0,7.1
0.0,0.0,1,441.0,0,1,.000,.500,0,0,0,.000,1,2,2,.500,0,1,0,0,+5,.500,.500,Dāvis Bertāns,12.8,0.0,0,SAS,99,20171125,-7.6,0.0,0,1,101,12.7,0.0,0,0,7.5
0.0,0.0,0,185.0,0,1,0,1.000,1,0,0,.000,0,2,1,1.000,0,0,0,0,+3,.000,1.000,Brandon Paul,0.0,0.0,0,SAS,105,20171125,21.2,66.4,0,0,204,15.1,0.0,0,0,0.0
0.0,100.0,2,185.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,+3,0,0,Joffrey Lauvergne,30.5,0.0,0,SAS,89,20171125,0.7,79.8,0,1,71,15.1,0.0,1,0,17.9
0.0,18.9,1,1849.0,1,8,.250,.699,5,0,.500,.167,4,18,12,.667,2,2,0,1,-12,.333,.708,Kemba Walker,8.7,3.1,1,CHO,119,20171125,6.8,42.0,1,3,115,22.6,2.8,3,1,5.4
2.4,7.1,3,1325.0,0,3,0,.382,0,0,.571,.700,0,10,10,.300,7,7,1,1,-15,.000,.300,Dwight Howard,42.3,17.0,4,CHO,109,20171125,-5.0,0.0,4,11,88,28.0,0.0,1,0,27.5
0.0,0.0,1,1325.0,0,1,.000,.300,2,0,1.000,.429,5,5,7,.143,3,2,0,1,-15,.714,.143,Nicolas Batum,12.1,4.3,3,CHO,120,20171125,-7.3,15.1,1,3,85,16.5,0.0,0,0,7.5
0.0,0.0,1,1261.0,1,1,0,.178,1,0,1.000,.125,0,3,8,.125,1,1,0,1,-12,.000,.125,Michael Kidd-Gilchrist,6.3,9.0,1,CHO,118,20171125,-9.3,8.0,2,3,59,17.6,4.1,0,0,7.9
0.0,20.0,2,1039.0,0,1,.500,.375,1,0,0,.000,2,3,4,.250,0,3,0,1,-7,.500,.375,Marvin Williams,23.1,0.0,0,CHO,118,20171125,-8.2,9.8,0,3,68,12.7,0.0,1,1,9.6
1.9,0.0,3,1635.0,0,4,.400,.551,1,0,1.000,.200,5,12,10,.400,2,3,1,0,-10,.500,.500,Frank Kaminsky,14.7,0.0,2,CHO,116,20171125,2.2,7.4,0,3,119,17.5,0.0,0,2,6.1
2.1,19.0,1,1480.0,1,4,.000,.470,4,0,1.000,.364,3,12,11,.364,4,4,1,0,-9,.273,.364,Jeremy Lamb,21.6,3.8,4,CHO,111,20171125,3.1,33.5,1,5,90,28.0,3.5,3,0,11.2
6.9,16.7,3,1349.0,1,4,0,.800,1,0,0,.000,0,8,5,.800,0,0,3,0,-2,.000,.800,Cody Zeller,0.0,8.4,0,CHO,105,20171125,7.3,9.5,2,2,132,11.7,3.8,1,0,4.9
3.0,46.0,3,1031.0,0,0,.000,.170,2,0,1.000,.400,2,2,5,.000,2,2,1,0,-8,.400,.000,Michael Carter-Williams,15.5,5.5,2,CHO,113,20171125,-22.1,18.0,1,3,32,27.8,0.0,5,0,9.6
0.0,0.0,0,1030.0,0,1,.000,.463,2,0,.667,1.000,2,4,3,.333,3,0,0,0,-3,.667,.333,Malik Monk,0.0,0.0,2,CHO,123,20171125,-2.7,19.8,0,0,115,11.0,0.0,0,0,0.0
0.0,0.0,1,664.0,0,1,.000,.250,1,0,0,.000,1,2,4,.250,0,4,0,0,-1,.250,.250,Dwayne Bacon,48.2,0.0,0,CHO,113,20171125,-6.8,16.3,0,4,66,15.9,0.0,0,0,19.9
0.0,0.0,0,206.0,0,2,0,.387,0,0,0,.667,0,4,2,1.000,0,0,0,0,-3,.333,.333,Treveon Graham,0.0,27.4,0,CHO,123,20171125,-0.3,0.0,1,1,93,49.6,0.0,0,0,16.1
0.0,0.0,0,206.0,0,1,.000,1.000,0,0,.500,.000,1,3,3,.333,2,0,0,0,-3,.000,1.000,Johnny O'Bryant,0.0,27.4,1,CHO,123,20171125,28.4,0.0,1,1,202,25.5,0.0,0,0,16.1
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matt Costello,0,0,0,SAS,0,20171125,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Darrun Hilliard,0,0,0,SAS,0,20171125,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Kawhi Leonard,0,0,0,SAS,0,20171125,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Tony Parker,0,0,0,SAS,0,20171125,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Derrick White,0,0,0,SAS,0,20171125,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mangok Mathiang,0,0,0,CHO,0,20171125,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcus Paige,0,0,0,CHO,0,20171125,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Julyan Stone,0,0,0,CHO,0,20171125,0,0,0,0,0,0,0,0,0,0
