trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
17,.364,1,88,13.6,29.6,.152,5,OKC,.333,.400,27,Russell Westbrook,5,.417,20171215,5,33,2.7,12,51.9,98,18.7,2.0,38.4,15,0,1,2,.353,3128.0,0,6,0.0,10,2,.303,12,9.9,-4
12,.125,6,97,10.6,12.6,.000,1,OKC,.250,0,5,Steven Adams,0,1.000,20171215,7,8,-7.0,5,5.6,103,13.5,1.0,8.4,2,0,1,0,.296,3059.0,0,1,0.0,2,1,.250,1,14.2,-3
7,.059,2,134,5.4,13.6,.235,1,OKC,.676,.250,24,Carmelo Anthony,4,1.000,20171215,2,17,3.5,5,4.1,105,8.5,0.0,17.6,1,0,1,1,.688,2834.0,0,1,0.0,11,0,.647,1,4.4,+2
5,.174,5,99,7.5,11.4,.478,3,OKC,.457,.455,24,Paul George,11,.750,20171215,1,23,1.3,4,3.9,97,6.4,3.6,26.9,1,0,1,5,.485,2700.0,0,2,0.0,8,3,.348,4,2.3,0
7,.000,2,90,16.7,22.8,.200,0,OKC,.400,.000,4,Andre Roberson,1,0,20171215,1,5,3.8,6,8.6,88,11.9,4.7,8.0,2,0,1,0,.400,2029.0,2,1,6.9,2,3,.400,0,3.1,-1
4,.333,1,186,0.0,26.3,.333,0,OKC,1.167,1.000,7,Josh Huestis,1,.000,20171215,0,3,7.9,4,0.0,99,11.7,0.0,8.0,0,0,0,1,1.017,1173.0,1,0,6.0,3,0,1.000,1,0.0,+1
2,.000,1,123,16.7,6.8,.500,0,OKC,.700,.800,14,Raymond Felton,5,0,20171215,1,10,15.6,1,33.0,102,6.1,0.0,28.7,3,0,0,4,.700,1133.0,1,2,6.2,5,0,.500,0,5.5,+6
4,.000,1,47,25.0,22.6,.833,0,OKC,.250,.200,3,Álex Abrines,5,0,20171215,1,6,-15.5,3,0.0,104,13.4,0.0,21.2,0,0,0,1,.250,1024.0,0,2,0.0,1,0,.167,0,6.1,-6
1,.000,1,75,25.0,8.7,.333,0,OKC,.333,.000,2,Patrick Patterson,1,0,20171215,0,3,-3.1,1,20.0,100,3.9,0.0,12.3,2,0,0,0,.333,884.0,1,1,7.9,1,0,.333,0,0.0,+9
0,.000,1,112,33.3,0.0,.500,0,OKC,.875,.500,7,Jerami Grant,2,0,20171215,0,4,10.1,0,29.7,98,0.0,4.1,20.8,2,0,0,1,.875,783.0,0,2,0.0,3,1,.750,0,0.0,-4
1,.000,0,200,0.0,50.4,.000,0,OKC,1.000,0,2,Terrance Ferguson,0,0,20171215,0,1,16.9,1,0.0,99,22.5,0.0,17.7,0,0,0,0,1.000,153.0,0,0,0.0,1,0,1.000,0,0.0,+10
0,0,0,0,0,0,0,0,OKC,0,0,0,Dakari Johnson,0,0,20171215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,OKC,0,0,0,Nick Collison,0,0,20171215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
9,.200,5,109,21.6,16.0,.000,0,PHI,.600,0,12,Ben Simmons,0,.000,20171215,1,10,3.0,8,36.6,96,10.0,4.1,13.3,11,0,1,0,.551,3094.0,0,3,0.0,6,4,.600,2,2.5,-3
3,.056,2,110,0.0,6.1,.722,1,PHI,.500,.308,19,J.J. Redick,13,1.000,20171215,0,18,-0.2,3,21.2,110,3.4,0.0,18.0,6,0,1,4,.515,3031.0,0,0,0.0,7,0,.389,1,0.0,-3
8,.000,2,93,11.1,14.7,.563,0,PHI,.500,.222,16,Dario Šarić,9,0,20171215,1,16,-0.4,7,14.6,102,9.3,2.2,18.0,4,0,1,2,.500,2959.0,0,2,0.0,7,2,.438,0,2.6,-4
8,.650,3,107,21.4,17.0,.150,12,PHI,.550,.000,34,Joel Embiid,3,.923,20171215,0,20,4.6,8,26.1,103,9.4,0.0,33.2,6,0,1,0,.661,2919.0,2,7,3.3,11,0,.550,13,0.0,+6
10,.000,3,55,4.5,21.2,.714,0,PHI,.262,.200,11,Robert Covington,15,0,20171215,0,21,-6.2,10,6.7,94,11.8,3.3,22.3,2,0,1,3,.262,2917.0,2,1,3.3,4,3,.190,0,0.0,+5
0,.429,1,128,10.7,0.0,.857,2,PHI,.857,.667,14,Jerryd Bayless,6,.667,20171215,0,7,9.5,0,9.6,113,0.0,0.0,22.2,1,0,0,4,.841,1240.0,0,1,0.0,4,0,.571,3,0.0,-1
2,.500,2,66,45.0,6.7,.000,1,PHI,.000,0,1,T.J. McConnell,0,1.000,20171215,1,2,-3.2,1,27.7,94,7.4,6.9,14.1,3,0,0,0,.205,931.0,0,2,0.0,0,2,.000,1,8.3,-2
3,.000,0,154,0.0,7.9,.000,0,PHI,.750,0,6,Trevor Booker,0,0,20171215,2,4,4.4,1,0.0,110,13.2,0.0,15.1,0,0,0,0,.750,781.0,0,0,0.0,3,0,.750,0,19.8,+1
6,.000,1,140,33.3,39.9,.000,0,PHI,1.000,0,4,Richaun Holmes,0,0,20171215,2,2,11.8,4,19.1,84,33.2,5.2,14.3,1,0,0,0,1.000,621.0,0,1,0.0,2,1,1.000,0,24.8,+2
1,0,1,25,100.0,15.2,0,0,PHI,0,0,0,Amir Johnson,0,0,20171215,0,0,-8.1,1,21.1,88,8.4,7.9,14.5,1,0,0,0,0,407.0,0,2,0.0,0,1,0,0,0.0,-11
0,0,0,0,0,0,0,0,PHI,0,0,0,James Michael McAdoo,0,0,20171215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,PHI,0,0,0,Timothé Luwawu-Cabarrot,0,0,20171215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
