stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.1,2.4,2,2673.0,2,16,.000,.554,2,0,.867,.441,3,45,34,.471,15,8,1,1,+11,.088,.471,Anthony Davis,17.6,17.6,13,NOP,103,20180116,9.6,9.2,8,16,122,39.3,4.7,1,0,17.6
3.4,23.6,5,2556.0,0,7,.167,.420,5,0,.667,.300,6,19,20,.350,6,12,3,1,-6,.300,.375,DeMarcus Cousins,27.6,6.9,4,NOP,96,20180116,-4.9,17.1,3,15,77,29.3,0.0,7,1,17.3
3.5,10.1,1,2476.0,1,9,.600,.648,7,0,.500,.250,5,23,16,.563,4,4,3,1,-3,.313,.656,Jrue Holiday,9.5,0.0,2,NOP,101,20180116,10.1,26.9,0,4,123,20.1,2.5,2,3,4.8
2.5,10.0,1,2253.0,0,2,.000,.222,4,0,0,.000,3,4,9,.222,0,6,2,1,+10,.333,.222,E'Twaun Moore,15.7,0.0,0,NOP,103,20180116,-5.7,13.4,0,6,62,11.2,0.0,1,0,7.8
3.2,25.0,1,1790.0,2,3,.500,.583,8,0,0,.000,2,7,6,.500,0,3,2,1,-7,.333,.583,Rajon Rondo,9.9,0.0,0,NOP,99,20180116,6.1,35.8,0,3,112,11.3,7.0,2,1,4.9
0.0,0.0,1,1909.0,0,7,.333,.750,1,0,0,.000,3,15,10,.700,0,4,0,0,+5,.300,.750,Ian Clark,12.3,0.0,0,NOP,110,20180116,2.7,5.0,0,4,148,13.2,0.0,0,1,6.2
0.0,0,0,1139.0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,-1,0,0,Dante Cunningham,15.5,10.3,0,NOP,106,20180116,2.0,6.2,2,5,214,0.0,5.5,0,0,12.9
0.0,28.6,3,1104.0,0,1,.200,.300,0,0,0,.000,5,3,5,.200,0,2,0,0,+6,1.000,.300,Darius Miller,10.7,0.0,0,NOP,110,20180116,-16.5,0.0,0,2,43,16.0,0.0,2,1,5.3
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jameer Nelson,0,0,0,NOP,0,20180116,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DeAndre Liggins,0,0,0,NOP,0,20180116,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mike James,0,0,0,NOP,0,20180116,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cheick Diallo,0,0,0,NOP,0,20180116,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ömer Aşık,0,0,0,NOP,0,20180116,0,0,0,0,0,0,0,0,0,0
2.4,18.1,2,2439.0,0,8,.417,.499,2,0,.857,.292,12,27,24,.333,7,6,2,1,-8,.500,.438,Kyrie Irving,14.5,2.4,6,BOS,103,20180116,-1.5,8.8,1,7,86,34.2,0.0,6,5,8.5
1.3,18.2,3,2250.0,1,5,.800,.778,6,0,0,.000,5,14,9,.556,0,7,1,1,-2,.556,.778,Al Horford,18.3,5.2,0,BOS,103,20180116,9.1,25.7,2,9,138,12.3,1.9,2,4,11.8
1.5,17.2,2,1915.0,0,7,.286,.554,5,0,.000,.071,7,16,14,.500,1,3,1,1,+7,.500,.571,Jaylen Brown,9.2,3.1,0,BOS,107,20180116,3.0,29.3,1,4,101,23.0,0.0,3,2,6.2
0.0,30.4,1,1609.0,1,3,.500,.727,2,0,1.000,.333,4,10,6,.500,2,5,0,1,-2,.667,.667,Jayson Tatum,18.3,0.0,2,BOS,105,20180116,1.3,11.6,0,5,101,15.5,2.7,3,2,9.1
0.0,0.0,3,1148.0,0,2,0,.333,1,0,0,.000,0,4,6,.333,0,3,0,1,+2,.000,.333,Aron Baynes,15.4,15.4,0,BOS,108,20180116,-6.0,8.0,3,6,100,13.2,0.0,0,0,15.4
1.6,11.5,3,1814.0,1,5,.375,.522,5,0,1.000,.214,8,16,14,.357,3,4,1,0,-19,.571,.464,Marcus Smart,13.0,3.2,3,BOS,103,20180116,4.7,28.1,1,5,108,24.1,2.4,2,3,8.1
1.9,0.0,3,1548.0,0,3,.143,.318,2,0,0,.000,7,7,11,.273,0,5,1,0,+5,.636,.318,Terry Rozier,19.0,0.0,0,BOS,103,20180116,-5.6,12.1,0,5,77,17.9,0.0,0,1,9.5
