stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.5,10.8,2,2080.0,1,11,.364,.606,5,0,1.000,.174,11,30,23,.478,4,5,1,1,+7,.478,.565,Devin Booker,17.3,0.0,4,PHO,106,20180119,4.8,28.0,0,5,108,38.1,3.3,3,4,8.8
3.0,4.8,1,2053.0,1,11,.000,.636,1,0,.500,.353,1,25,17,.647,6,3,2,1,+5,.059,.647,T.J. Warren,10.5,0.0,3,PHO,104,20180119,2.4,5.7,0,3,114,28.7,3.3,1,0,5.3
0.0,25.0,4,1710.0,1,1,.500,.500,3,0,0,.000,2,3,3,.333,0,8,0,1,+1,.667,.500,Dragan Bender,33.7,0.0,0,PHO,106,20180119,-3.6,13.2,0,8,99,6.7,4.0,1,1,17.1
1.9,0.0,2,1593.0,1,1,0,.521,2,0,.500,1.000,0,3,2,.500,2,5,1,1,+3,.000,.500,Tyson Chandler,22.6,18.5,1,PHO,103,20180119,0.3,9.5,4,9,164,5.2,4.3,0,0,20.6
4.6,0.0,2,1314.0,0,0,.000,.222,5,0,.750,.800,3,3,5,.000,4,1,2,1,0,.600,.000,Tyler Ulis,5.5,0.0,3,PHO,103,20180119,-6.5,27.4,0,1,85,14.7,0.0,0,0,2.8
2.0,25.0,2,1540.0,0,6,.667,.667,6,0,0,.000,6,16,12,.500,0,1,1,0,+6,.500,.667,Isaiah Canaan,4.7,0.0,0,PHO,110,20180119,0.5,39.0,0,1,103,29.7,0.0,4,4,2.4
2.4,25.8,2,1283.0,1,1,0,.521,3,0,.500,1.000,0,3,2,.500,2,6,1,0,+5,.000,.500,Alex Len,33.7,0.0,1,PHO,99,20180119,0.5,17.8,0,6,106,8.6,5.3,1,0,17.0
2.6,0.0,2,1170.0,1,1,.250,.250,3,0,0,.000,4,3,6,.167,0,2,1,0,+7,.667,.250,Jared Dudley,12.3,0.0,0,PHO,103,20180119,-4.5,19.7,0,2,76,14.7,5.9,0,1,6.2
0.0,9.2,3,853.0,0,6,.500,.810,0,0,1.000,.222,4,16,9,.667,2,1,0,0,+5,.444,.778,Josh Jackson,8.4,0.0,2,PHO,113,20180119,5.2,0.0,0,1,129,36.4,0.0,1,2,4.3
0.0,0.0,1,804.0,0,2,1.000,1.500,0,0,0,.000,2,6,2,1.000,0,1,0,0,+1,1.000,1.500,Troy Daniels,9.0,0.0,0,PHO,114,20180119,5.7,0.0,0,1,300,7.1,0.0,0,2,4.5
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alec Peters,0,0,0,PHO,0,20180119,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greg Monroe,0,0,0,PHO,0,20180119,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Danuel House,0,0,0,PHO,0,20180119,0,0,0,0,0,0,0,0,0,0
4.3,11.1,0,2126.0,0,6,.364,.500,4,0,0,.000,11,16,16,.375,0,4,3,1,+5,.688,.500,Gary Harris,13.9,3.4,0,DEN,110,20180119,1.2,20.2,1,5,98,23.6,0.0,2,4,8.6
1.4,5.0,6,2120.0,2,10,.625,.781,2,0,1.000,.294,8,30,17,.588,5,3,1,1,-8,.471,.735,Jamal Murray,10.4,6.8,5,DEN,111,20180119,12.2,12.7,2,5,148,26.6,5.7,1,5,8.6
0.0,31.8,4,2077.0,0,5,.667,.543,5,0,1.000,.167,3,14,12,.417,2,14,0,1,-1,.250,.500,Nikola Jokić,49.8,10.4,2,DEN,116,20180119,-6.1,24.7,3,17,90,25.4,0.0,6,2,29.8
0.0,25.0,1,1960.0,1,1,.000,.333,3,0,0,.000,2,2,3,.333,0,1,0,1,-4,.667,.333,Wilson Chandler,3.8,0.0,0,DEN,118,20180119,-6.1,13.1,0,1,84,5.7,3.1,1,0,1.9
0.0,17.0,4,1704.0,0,5,.333,.768,2,0,1.000,.500,3,15,8,.625,4,7,0,1,0,.375,.688,Trey Lyles,30.3,0.0,4,DEN,118,20180119,-0.7,12.7,0,7,128,19.3,0.0,2,1,15.0
2.2,14.5,2,1384.0,1,3,.000,.340,4,0,.500,.400,4,8,10,.300,4,3,1,0,-10,.400,.300,Will Barton,16.0,0.0,2,DEN,110,20180119,-8.8,28.9,0,3,75,27.7,4.3,2,0,7.9
0.0,0.0,1,854.0,0,2,1.000,.833,1,0,0,.000,1,5,3,.667,0,1,0,0,-9,.333,.833,Richard Jefferson,8.6,0.0,0,DEN,120,20180119,1.0,11.9,0,1,164,9.8,0.0,0,1,4.3
3.9,0.0,0,779.0,0,1,.500,.750,0,0,0,.000,2,3,2,.500,0,0,1,0,-13,1.000,.750,Malik Beasley,0.0,0.0,0,DEN,112,20180119,1.4,0.0,0,0,137,7.2,0.0,0,1,0.0
3.9,26.6,2,775.0,1,0,0,.181,1,0,.250,4.000,0,1,1,.000,4,1,1,0,-5,.000,.000,Mason Plumlee,9.5,9.3,1,DEN,104,20180119,-9.1,10.6,1,2,59,13.5,7.7,1,0,9.4
0.0,12.7,0,513.0,0,2,.000,.436,1,0,1.000,.333,2,6,6,.333,2,1,0,0,+5,.333,.333,Emmanuel Mudiay,14.4,0.0,2,DEN,120,20180119,-13.1,23.6,0,1,84,42.9,0.0,1,0,7.1
0.0,0,0,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Torrey Craig,0.0,0.0,0,DEN,121,20180119,-7.7,0.0,0,0,0,0.0,0.0,0,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kenneth Faried,0,0,0,DEN,0,20180119,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Darrell Arthur,0,0,0,DEN,0,20180119,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Marquese Chriss,0,0,0,PHO,0,20180119,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Brandon Knight,0,0,0,PHO,0,20180119,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Davon Reed,0,0,0,PHO,0,20180119,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Alan Williams,0,0,0,PHO,0,20180119,0,0,0,0,0,0,0,0,0,0
