drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
0,2190.0,10.1,20.9,1,1,113,.819,13.2,.667,0,.667,0,.133,0,.000,0,10,.600,0,5.9,MIA,26,-2,20180120,143,1.4,15,2,0.0,.867,0.0,0,6,10,1,3,0.0,0.0,Wayne Ellington
3,2175.0,-7.3,29.8,1,3,107,.407,19.6,.350,2,.150,2,.100,0,1.000,0,3,.333,3,12.6,MIA,17,+9,20180120,83,1.4,20,2,8.5,.375,0.0,3,1,7,1,5,4.4,4.2,Josh Richardson
5,1742.0,9.1,26.1,0,3,112,.799,41.2,.750,3,.167,0,.333,1,.750,0,2,.500,3,17.9,MIA,22,+10,20180120,139,0.0,12,4,17.6,.792,3.8,6,1,9,1,7,11.0,0.0,James Johnson
13,1467.0,-1.1,20.3,0,1,105,.500,17.7,.500,0,.000,0,.000,1,0,0,0,0,3,9.1,MIA,10,-7,20180120,104,0.0,10,0,54.3,.500,4.6,14,0,5,1,3,30.5,0.0,Hassan Whiteside
2,1209.0,-4.8,10.9,0,2,107,.521,5.9,.500,1,.500,2,1.000,2,.500,0,1,.000,2,41.0,MIA,3,0,20180120,88,0.0,2,2,10.1,.500,11.1,4,0,1,1,1,10.6,7.6,Derrick Jones
3,1526.0,-10.2,10.7,1,2,106,.375,0.0,.250,0,.250,1,.000,0,0,0,1,1.000,3,33.3,MIA,3,-13,20180120,47,2.0,4,0,12.0,.375,0.0,3,1,1,0,0,6.3,3.0,Justise Winslow
9,1448.0,-1.4,35.3,0,1,108,.447,19.2,.353,1,.471,0,.118,1,.500,0,8,.375,1,5.3,MIA,16,+1,20180120,94,0.0,17,2,38.1,.441,4.6,10,3,6,0,3,22.1,0.0,Kelly Olynyk
3,1413.0,10.6,9.6,2,1,101,.750,27.6,.750,0,.000,1,.000,2,0,0,0,0,1,20.0,MIA,6,+8,20180120,151,4.2,4,0,13.0,.750,9.5,5,0,3,0,5,11.3,3.2,Bam Adebayo
1,1230.0,-5.6,6.6,0,0,115,.500,5.8,.333,0,1.000,0,.000,1,0,0,3,.333,1,0.0,MIA,3,-1,20180120,125,0.0,3,0,5.0,.500,5.4,2,1,1,0,1,5.2,0.0,Derrick Walton
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20180120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jordan Mickey
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20180120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Udonis Haslem
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20180120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goran Dragić
3,2190.0,-0.6,33.3,3,1,108,.425,33.1,.400,1,.320,0,.080,0,.500,0,8,.125,3,3.7,CHO,22,+1,20180120,93,4.1,25,2,9.2,.420,0.0,3,1,10,1,7,4.4,0.0,Kemba Walker
12,2119.0,4.3,13.0,1,0,103,.686,4.1,.750,2,.000,3,.625,3,.400,0,0,0,2,0.0,CHO,14,-2,20180120,146,1.4,8,5,37.9,.750,8.7,15,0,6,1,1,22.7,6.9,Dwight Howard
2,1998.0,11.6,27.7,3,4,108,.793,29.3,.667,9,.167,0,.833,1,.900,0,2,.500,1,19.6,CHO,26,+3,20180120,134,4.5,12,10,6.7,.708,3.1,3,1,8,1,6,4.8,0.0,Nicolas Batum
1,1666.0,-1.1,17.7,0,0,116,.643,0.0,.600,2,.000,1,.200,0,1.000,0,0,0,0,0.0,CHO,14,-8,20180120,128,0.0,10,2,4.0,.600,0.0,1,0,6,1,0,1.9,2.9,Michael Kidd-Gilchrist
2,1664.0,-12.5,8.1,1,0,113,.000,8.4,.000,0,.800,0,.000,0,0,0,4,.000,2,0.0,CHO,0,-10,20180120,23,1.8,5,0,8.1,.000,0.0,2,0,0,1,2,3.8,0.0,Marvin Williams
2,1216.0,11.7,22.0,1,1,105,.676,15.0,.500,2,.625,2,.250,1,1.000,0,5,.400,0,10.1,CHO,12,+9,20180120,127,2.4,8,2,11.0,.625,5.0,3,2,4,0,2,7.9,8.0,Frank Kaminsky
8,1214.0,-3.0,31.3,0,1,108,.346,22.6,.308,0,.308,1,.000,2,0,0,4,.250,0,7.1,CHO,9,+7,20180120,82,0.0,13,0,44.1,.346,10.1,10,1,4,0,3,26.4,4.0,Jeremy Lamb
0,882.0,-7.5,9.2,0,0,120,.500,0.0,.333,0,.333,0,.000,0,0,0,1,1.000,0,0.0,CHO,3,-4,20180120,99,0.0,3,0,0.0,.500,0.0,0,1,1,0,0,0.0,0.0,Treveon Graham
3,761.0,0.1,14.2,0,0,108,.625,0.0,.500,0,.500,1,.000,1,0,0,2,.500,2,0.0,CHO,5,+1,20180120,130,0.0,4,0,26.4,.625,8.1,4,1,2,0,0,16.8,6.4,Johnny O'Bryant
2,690.0,-15.8,7.9,0,0,115,.000,10.2,.000,0,.500,0,.000,0,0,0,1,.000,2,0.0,CHO,0,-2,20180120,28,0.0,2,0,19.4,.000,0.0,2,0,0,0,1,9.3,0.0,Michael Carter-Williams
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHO,0,0,20180120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Julyan Stone
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHO,0,0,20180120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malik Monk
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHO,0,0,20180120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dwayne Bacon
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIA,0,0,20180120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A.J. Hammons
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIA,0,0,20180120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tyler Johnson
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIA,0,0,20180120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rodney McGruder
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIA,0,0,20180120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dion Waiters
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIA,0,0,20180120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Okaro White
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CHO,0,0,20180120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mangok Mathiang
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CHO,0,0,20180120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcus Paige
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CHO,0,0,20180120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cody Zeller
