blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.722,27.1,1.4,118,4,37,.750,29.8,13,2,0,152,3,2,20180127,2161.0,1,Kyrie Irving,18,6,0,.333,0,.861,0,5,19.2,3.0,.860,BOS,6,8,.444,1,0.0,3,.833,12.2,6.1
0.0,.667,0.0,0.0,121,0,20,.833,17.3,6,2,-8,144,2,2,20180127,2072.0,0,Jaylen Brown,9,5,0,.444,0,.833,0,3,4.5,3.2,.859,BOS,4,6,.667,1,0.0,3,.750,14.7,6.3
4.9,.400,14.7,1.5,107,3,15,.500,24.2,6,13,+7,97,3,10,20180127,2051.0,1,Al Horford,15,1,0,.200,2,.467,3,2,3.6,20.7,.472,BOS,3,2,.133,1,9.6,2,.667,15.9,31.9
0.0,.222,0.0,1.8,113,0,4,0,15.5,2,5,+7,45,1,5,20180127,1701.0,1,Jayson Tatum,9,0,0,.333,0,.222,0,0,-10.4,9.6,.222,BOS,3,0,.000,1,0.0,1,.000,10.0,19.2
0.0,.000,0.0,0.0,111,0,1,.500,7.9,0,7,-5,57,1,6,20180127,963.0,0,Aron Baynes,1,1,0,.000,0,.000,1,0,-7.6,23.8,.266,BOS,0,2,2.000,1,6.8,2,0,34.7,40.8
0.0,.333,9.9,1.5,115,2,12,1.000,22.0,5,8,+3,94,1,5,20180127,1960.0,1,Marcus Morris,15,1,0,.333,0,.367,3,1,-3.5,13.4,.389,BOS,5,1,.067,0,10.0,4,.200,6.1,16.7
0.0,.333,17.9,2.1,115,3,9,.750,15.8,2,5,-19,132,1,2,20180127,1457.0,1,Terry Rozier,6,3,0,.500,0,.500,3,2,5.2,11.2,.580,BOS,3,4,.667,0,13.5,4,.667,11.4,9.0
0.0,.250,19.4,3.2,114,2,4,0,24.7,2,1,+1,62,1,1,20180127,958.0,1,Shane Larkin,8,0,0,.250,0,.250,0,0,-9.9,3.4,.250,BOS,2,0,.000,0,0.0,1,.000,11.1,6.8
0.0,1.000,35.5,0.0,120,3,3,.000,8.7,1,2,-5,147,1,1,20180127,735.0,0,Daniel Theis,1,0,0,1.000,0,1.500,1,1,8.3,8.9,1.042,BOS,1,1,1.000,0,8.9,3,1.000,41.0,8.9
0.0,.000,0.0,0.0,123,0,0,0,23.1,0,0,-1,0,0,0,20180127,342.0,0,Semi Ojeleye,3,0,0,.333,0,.000,0,0,-25.8,0.0,.000,BOS,1,0,.000,0,0.0,0,.000,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20180127,0.0,0,Abdel Nader,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20180127,0.0,0,Jarell Eddie,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,0,0
6.6,.364,19.0,1.3,109,5,15,1.000,20.8,4,11,-1,111,4,6,20180127,2299.0,1,Draymond Green,11,6,0,.364,3,.409,5,1,2.7,15.7,.550,GSW,4,6,.545,1,14.2,4,.250,22.7,17.1
0.0,.667,38.1,2.7,112,5,49,.900,36.0,16,4,+6,169,1,4,20180127,2208.0,2,Stephen Curry,24,9,0,.542,0,.833,0,8,30.7,5.9,.863,GSW,13,10,.417,1,0.0,2,.615,3.4,11.9
4.6,.250,11.6,1.4,112,3,7,1.000,16.7,3,4,+6,69,1,4,20180127,2184.0,1,Klay Thompson,12,1,0,.333,2,.250,0,0,-6.8,6.0,.281,GSW,4,1,.083,1,0.0,1,.000,7.4,12.0
2.4,.389,9.4,1.4,109,2,20,.714,29.2,7,9,+9,97,2,8,20180127,2139.0,1,Kevin Durant,18,5,0,.278,1,.417,1,1,-3.0,13.8,.474,GSW,5,7,.389,1,3.1,3,.200,8.7,24.5
0.0,1.000,18.3,0.0,115,2,2,0,6.0,1,4,0,130,1,3,20180127,904.0,0,Zaza Pachulia,1,0,0,.000,0,1.000,1,0,1.2,14.5,1.000,GSW,0,0,.000,1,7.2,0,0,50.0,21.7
0.0,1.000,4.7,1.8,114,1,4,1.000,4.6,1,3,+6,141,1,3,20180127,1702.0,1,Andre Iguodala,1,2,0,.000,0,1.000,0,0,-3.1,5.8,1.064,GSW,0,2,2.000,0,0.0,3,0,34.7,11.5
10.8,.500,0.0,3.2,100,0,6,0,17.4,3,3,-6,102,0,3,20180127,935.0,1,David West,6,0,0,.000,2,.500,0,0,2.8,10.5,.500,GSW,0,0,.000,0,0.0,1,0,0.0,21.0
5.9,.500,0.0,0.0,117,0,4,0,15.8,2,1,+1,89,1,0,20180127,858.0,0,Shaun Livingston,4,0,0,.000,1,.500,1,0,-7.3,3.8,.500,GSW,0,0,.000,0,7.6,2,0,20.0,0.0
0.0,.333,16.5,0.0,115,1,2,0,15.1,1,4,+1,115,0,2,20180127,536.0,0,Kevon Looney,3,0,0,.000,0,.333,2,0,-1.0,24.4,.333,GSW,0,0,.000,0,24.4,0,0,0.0,24.4
0.0,.000,0.0,7.7,105,0,0,0,20.7,0,0,-5,0,0,0,20180127,392.0,1,Nick Young,3,0,0,.333,0,.000,0,0,-17.0,0.0,.000,GSW,1,0,.000,0,0.0,0,.000,0.0,0.0
0.0,.000,0.0,12.5,93,0,0,0,11.1,0,0,+3,0,0,0,20180127,243.0,1,Omri Casspi,1,0,0,.000,0,.000,0,0,-8.7,0.0,.000,GSW,0,0,.000,0,0.0,1,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20180127,0.0,0,JaVale McGee,0,0,0,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20180127,0.0,0,Damian Jones,0,0,0,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20180127,0.0,0,Kadeem Allen,0,0,1,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20180127,0.0,0,Jabari Bird,0,0,1,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20180127,0.0,0,Gordon Hayward,0,0,1,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20180127,0.0,0,Marcus Smart,0,0,1,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20180127,0.0,0,Guerschon Yabusele,0,0,1,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20180127,0.0,0,Jordan Bell,0,0,1,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20180127,0.0,0,Chris Boucher,0,0,1,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20180127,0.0,0,Quinn Cook,0,0,1,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20180127,0.0,0,Patrick McCaw,0,0,1,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0
