player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Kevin Durant,2490.0,.777,.750,.125,.563,0.0,14.8,7.7,27.8,0.0,3.7,4.8,22.2,157,121,12.0,GSW,1,0,20180203,12,16,.750,0,2,.000,7,9,.778,0,6,6,7,0,2,1,1,31,+1
Klay Thompson,2186.0,.533,.533,.467,.000,0.0,2.8,1.5,19.5,2.7,0.0,0.0,18.1,121,123,2.5,GSW,1,0,20180203,7,15,.467,2,7,.286,0,0,0,0,1,1,5,2,0,0,0,16,-7
Stephen Curry,2137.0,.676,.656,.750,.250,3.1,14.3,9.0,16.7,2.8,0.0,22.0,28.1,107,117,3.0,GSW,1,0,20180203,8,16,.500,5,12,.417,3,4,.750,1,5,6,4,2,0,5,2,24,+4
Draymond Green,2134.0,.311,.333,.333,.167,0.0,17.2,9.0,28.7,1.4,4.4,18.9,19.6,76,117,-5.3,GSW,1,0,20180203,4,12,.333,0,4,.000,0,2,.000,0,6,6,8,1,2,3,3,8,-11
Zaza Pachulia,1148.0,.635,.571,.000,.286,17.5,26.7,22.3,15.2,2.6,0.0,20.2,22.7,118,112,0.7,GSW,1,0,20180203,4,7,.571,0,0,0,2,2,1.000,3,5,8,2,1,0,2,3,10,+12
Andre Iguodala,1257.0,.625,.625,.500,.000,0.0,4.9,2.5,6.0,0.0,0.0,0.0,8.4,132,128,-3.3,GSW,0,0,20180203,2,4,.500,1,2,.500,0,0,0,0,1,1,1,0,0,0,0,5,-7
Nick Young,1030.0,.400,.400,.600,.000,6.5,17.8,12.4,0.0,2.9,0.0,16.7,15.4,76,115,-9.3,GSW,0,0,20180203,2,5,.400,0,3,.000,0,0,0,1,3,4,0,1,0,1,2,4,-11
Shaun Livingston,856.0,.508,.429,.143,.286,0.0,7.2,3.7,0.0,6.9,0.0,0.0,24.3,108,111,-1.0,GSW,0,0,20180203,3,7,.429,0,1,.000,2,2,1.000,0,1,1,0,2,0,0,2,8,-15
Kevon Looney,494.0,.174,.250,.000,1.000,67.8,12.4,38.9,15.7,0.0,9.4,0.0,30.8,89,119,-12.3,GSW,0,0,20180203,1,4,.250,0,0,0,0,4,.000,5,1,6,1,0,1,0,2,2,0
JaVale McGee,375.0,0,0,0,0,17.9,32.7,25.6,0.0,0.0,49.5,0,0.0,213,88,2.6,GSW,0,0,20180203,0,0,0,0,0,0,0,0,0,1,2,3,0,0,4,0,5,0,-2
Damian Jones,269.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.3,100.0,9.8,0,120,-21.2,GSW,0,0,20180203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,+1
Patrick McCaw,24.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,130,-7.9,GSW,0,0,20180203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omri Casspi,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GSW,0,0,20180203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Harris,2322.0,.498,.385,.462,.538,5.3,11.5,8.3,14.6,1.3,0.0,15.7,19.9,105,112,-2.1,DEN,1,0,20180203,4,13,.308,2,6,.333,6,7,.857,2,4,6,4,1,0,3,1,16,+3
Will Barton,2113.0,.666,.618,.294,.235,5.8,9.5,7.6,20.4,1.4,0.0,9.6,23.8,133,113,8.9,DEN,1,0,20180203,9,17,.529,3,5,.600,4,4,1.000,2,3,5,4,1,0,2,1,25,+1
Nikola Jokić,1996.0,.548,.500,.188,.188,9.2,20.1,14.4,25.0,3.0,0.0,18.8,25.9,107,106,4.6,DEN,1,0,20180203,7,16,.438,2,3,.667,3,3,1.000,3,6,9,5,2,0,4,2,19,0
Jamal Murray,1676.0,.621,.444,.222,.778,7.3,8.0,7.6,10.7,1.8,0.0,7.6,18.9,137,112,3.5,DEN,1,0,20180203,4,9,.444,0,2,.000,7,7,1.000,2,2,4,2,1,0,1,1,15,0
Wilson Chandler,1412.0,.500,.500,.400,.000,0.0,9.5,4.5,17.5,2.1,0.0,0.0,8.6,131,109,-0.7,DEN,1,0,20180203,2,5,.400,1,2,.500,0,0,0,0,2,2,3,1,0,0,6,5,+16
Trey Lyles,1526.0,.593,.550,.400,.600,8.0,35.1,21.0,19.2,0.0,0.0,0.0,20.1,141,109,7.5,DEN,0,0,20180203,5,10,.500,1,4,.250,4,6,.667,2,8,10,3,0,0,0,2,15,+8
Emmanuel Mudiay,1239.0,.389,.389,.333,.000,4.9,27.0,15.5,21.8,2.4,0.0,10.0,19.6,95,106,-2.2,DEN,0,0,20180203,3,9,.333,1,3,.333,0,0,0,1,5,6,3,1,0,1,2,7,+7
Torrey Craig,1237.0,.581,.583,.167,.333,14.9,10.8,12.9,7.3,0.0,0.0,12.7,15.4,120,115,0.4,DEN,0,0,20180203,3,6,.500,1,1,1.000,1,2,.500,3,2,5,1,0,0,1,1,8,-5
Darrell Arthur,856.0,.417,.417,.500,.000,7.2,0.0,3.7,31.3,0.0,0.0,33.3,25.5,76,118,-8.3,DEN,0,0,20180203,2,6,.333,1,3,.333,0,0,0,1,0,1,3,0,0,3,1,5,+8
Malik Beasley,23.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,118,-5.4,DEN,0,0,20180203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Richard Jefferson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEN,0,0,20180203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Hernangómez,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEN,0,0,20180203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Faried,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEN,0,0,20180203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Bell,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GSW,0,1,20180203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Boucher,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GSW,0,1,20180203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quinn Cook,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GSW,0,1,20180203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David West,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GSW,0,1,20180203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
