drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
4,2129.0,-5.3,21.2,3,2,100,.367,11.9,.333,0,.400,0,.000,0,0,0,6,.167,1,11.8,NYK,11,0,20180325,74,4.3,15,0,11.3,.367,0.0,4,1,5,1,3,6.0,0.0,Tim Hardaway
7,1896.0,-6.1,23.8,0,4,102,.462,14.3,.462,0,.000,2,.000,2,0,0,0,0,3,23.5,NYK,12,+9,20180325,81,0.0,13,0,22.2,.462,7.2,9,0,6,1,3,15.2,4.5,Michael Beasley
1,1642.0,3.9,30.3,3,2,100,.567,19.5,.533,3,.133,0,.267,1,.750,0,2,.000,4,10.7,NYK,19,-5,20180325,109,5.5,15,4,3.7,.533,4.2,2,0,8,1,3,3.9,0.0,Trey Burke
7,1621.0,-1.1,17.6,0,1,101,.512,10.0,.375,4,.000,1,.500,4,1.000,0,0,0,2,9.3,NYK,10,-5,20180325,119,0.0,8,4,25.9,.375,16.9,11,0,3,1,2,21.7,2.6,Enes Kanter
1,1258.0,-16.0,14.8,0,1,111,.167,5.9,.167,0,.500,0,.000,1,0,0,3,.000,1,14.3,NYK,2,-3,20180325,48,0.0,6,0,4.8,.167,5.5,2,0,1,1,1,5.1,0.0,Frank Ntilikina
3,1622.0,7.9,16.9,2,2,99,.781,16.6,.714,3,.286,1,.429,0,1.000,0,2,.000,0,19.4,NYK,13,+7,20180325,129,3.7,7,3,11.1,.714,0.0,3,0,5,0,3,5.9,2.6,Courtney Lee
6,1234.0,13.5,19.1,1,0,97,.619,51.6,.500,2,.250,0,.250,0,1.000,0,2,.500,1,0.0,NYK,11,+8,20180325,148,2.4,8,2,29.2,.563,0.0,6,1,4,0,7,15.6,0.0,Emmanuel Mudiay
3,1125.0,-16.7,16.2,0,2,107,.307,0.0,.250,1,.000,0,.500,1,.500,0,0,0,3,29.1,NYK,3,-5,20180325,54,0.0,4,2,16.0,.250,6.1,4,0,1,0,0,11.4,0.0,Lance Thomas
2,1122.0,14.3,16.5,0,0,106,.714,33.4,.571,0,.571,1,.000,1,0,0,4,.500,2,0.0,NYK,10,+10,20180325,156,0.0,7,0,10.7,.714,6.1,3,2,4,0,4,8.6,3.8,Luke Kornet
0,751.0,19.8,17.7,1,0,100,1.000,0.0,.800,0,.600,1,.000,0,0,0,3,.667,2,0.0,NYK,10,+4,20180325,182,4.0,5,0,0.0,1.000,0.0,0,2,4,0,0,0.0,5.6,Troy Williams
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jarrett Jack
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Isaiah Hicks
3,2342.0,-7.8,21.9,2,1,108,.373,8.0,.294,3,.353,0,.235,0,.750,0,6,.167,2,5.1,WAS,14,-1,20180325,83,2.6,17,4,8.8,.324,0.0,3,1,5,1,2,4.1,0.0,Bradley Beal
4,2148.0,6.5,9.5,3,3,102,.922,40.7,.750,2,.250,1,.500,0,1.000,0,1,1.000,4,38.1,WAS,9,+6,20180325,131,4.2,4,2,12.8,.875,0.0,4,1,3,1,10,6.0,2.0,Tomáš Satoranský
3,2043.0,-2.6,17.8,0,2,108,.542,4.9,.500,0,.167,3,.000,1,0,0,2,.500,2,14.3,WAS,13,+1,20180325,96,0.0,12,0,10.1,.542,2.9,4,1,6,1,1,6.3,6.4,Markieff Morris
8,1710.0,-0.3,26.9,2,3,99,.440,17.7,.385,2,.077,1,.308,2,.500,0,1,1.000,2,16.9,WAS,13,+4,20180325,86,3.5,13,4,32.1,.423,7.0,10,1,5,1,3,18.7,2.6,Otto Porter
3,909.0,-7.9,29.8,0,1,103,.212,31.0,.222,0,.000,2,.111,4,.000,0,0,0,3,9.6,WAS,4,-2,20180325,74,0.0,9,1,22.6,.222,26.4,7,0,2,1,3,24.6,9.6,Marcin Gortat
2,1608.0,-5.6,24.7,1,0,110,.424,0.0,.429,1,.429,0,.214,3,.333,0,6,.000,2,0.0,WAS,13,-8,20180325,97,1.9,14,3,8.5,.429,11.2,5,0,6,0,0,10.0,0.0,Kelly Oubre
3,1533.0,1.6,10.1,0,0,113,.667,12.0,.500,0,.333,0,.000,1,0,0,2,1.000,0,0.0,WAS,8,-2,20180325,146,0.0,6,0,13.4,.667,3.9,4,2,3,0,2,8.3,0.0,Mike Scott
1,976.0,9.0,24.1,1,2,108,.777,28.5,.500,7,.250,0,1.750,1,1.000,0,1,.000,0,22.0,WAS,11,-7,20180325,137,3.1,4,7,7.0,.500,6.1,2,0,2,0,3,6.6,0.0,Ramon Sessions
2,448.0,11.4,28.9,1,1,94,.750,0.0,.750,0,.000,0,.000,2,0,0,0,0,0,20.0,WAS,6,-4,20180325,117,6.7,4,0,30.6,.750,26.8,4,0,3,0,0,28.6,0.0,Ian Mahinmi
2,389.0,-1.0,13.3,0,1,107,1.000,25.0,1.000,0,.000,0,.000,0,0,0,0,0,1,50.0,WAS,2,-1,20180325,94,0.0,1,0,35.3,1.000,0.0,2,0,1,0,1,16.5,0.0,Jason Smith
1,294.0,-1.3,34.2,0,0,110,.515,0.0,.333,2,.000,0,.667,0,1.000,0,0,0,0,0.0,WAS,4,-6,20180325,118,0.0,3,2,23.3,.333,0.0,1,0,1,0,0,10.9,0.0,Jodie Meeks
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,0,0,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tim Frazier
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NYK,0,0,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ron Baker
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NYK,0,0,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Damyean Dotson
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NYK,0,0,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joakim Noah
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NYK,0,0,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyle O'Quinn
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NYK,0,0,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kristaps Porziņģis
