drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
5,2426.0,7.8,41.6,3,9,118,.572,55.9,.417,8,.500,0,.375,2,.889,0,12,.333,4,24.4,HOU,32,-19,20180526,102,3.8,24,9,13.5,.500,5.8,7,4,10,1,9,9.8,0.0,James Harden
4,2364.0,-6.0,21.9,1,1,124,.389,0.0,.333,0,.500,0,.000,0,0,0,9,.222,2,5.3,HOU,14,-16,20180526,75,1.3,18,0,11.1,.389,0.0,4,2,6,1,0,5.7,0.0,Trevor Ariza
8,2238.0,0.0,8.5,1,1,120,.500,9.1,.333,0,.833,0,.000,0,0,0,5,.400,3,14.3,HOU,6,-14,20180526,98,1.4,6,0,23.4,.500,0.0,8,2,2,1,2,12.1,0.0,P.J. Tucker
2,2023.0,-3.4,25.3,0,5,129,.690,0.0,.583,1,.500,0,.333,0,.250,0,6,.667,4,26.7,HOU,19,-27,20180526,92,0.0,12,4,6.5,.750,0.0,2,4,7,1,0,3.3,0.0,Eric Gordon
11,1765.0,-3.1,9.1,1,2,112,.258,5.6,.333,0,.000,1,.667,4,.000,0,0,0,1,34.0,HOU,2,-32,20180526,72,1.7,3,2,40.8,.333,15.9,15,0,1,1,1,28.8,3.3,Clint Capela
0,1587.0,1.7,15.5,0,3,129,.917,0.0,.667,0,.667,1,.000,0,0,0,4,.750,1,33.3,HOU,11,-9,20180526,106,0.0,6,0,0.0,.917,0.0,0,3,4,0,0,0.0,3.7,Gerald Green
0,873.0,-4.3,9.0,2,0,115,.000,0.0,.000,0,.500,0,1.000,1,.000,0,1,.000,1,0.0,HOU,0,-1,20180526,22,7.0,2,2,0.0,.000,8.0,1,0,0,0,0,3.9,0.0,Luc Mbah a Moute
0,457.0,-13.7,23.9,0,0,131,.250,0.0,.250,0,.250,0,.000,0,0,0,1,.000,0,0.0,HOU,2,-14,20180526,53,0.0,4,0,0.0,.250,0.0,0,0,1,0,0,0.0,0.0,Joe Johnson
0,399.0,-16.8,13.7,0,0,131,.000,0.0,.000,0,.500,0,.000,0,0,0,1,.000,0,0.0,HOU,0,-9,20180526,0,0.0,2,0,0.0,.000,0.0,0,0,0,0,0,0.0,0.0,Ryan Anderson
1,268.0,3.7,0.0,0,0,123,0,34.7,0,0,0,0,0,0,0,0,0,0,0,0,HOU,0,-4,20180526,248,0.0,0,0,24.4,0,0.0,1,0,0,0,1,12.6,0.0,Aaron Jackson
