trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
5,.261,4,94,7.2,17.6,.087,4,IND,.457,.500,25,Victor Oladipo,2,.667,20181019,0,23,-0.3,5,6.6,114,8.3,0.0,36.1,1,0,1,1,.488,1901.0,1,2,3.2,10,0,.435,6,0.0,-24
4,.083,2,84,13.9,8.2,.333,1,IND,.417,.000,11,Myles Turner,4,1.000,20181019,2,12,-5.7,2,0.0,117,7.7,0.0,21.8,0,0,1,0,.442,1643.0,1,2,3.7,5,0,.417,1,7.3,-15
5,.571,3,35,10.2,20.4,.286,3,IND,.000,.000,3,Bojan Bogdanović,2,.750,20181019,0,7,-13.7,5,0.0,115,9.7,0.0,14.8,0,0,1,0,.171,1639.0,0,1,0.0,0,0,.000,4,0.0,-11
1,.400,4,86,25.4,4.1,.000,1,IND,.600,0,7,Thaddeus Young,0,.500,20181019,0,5,-5.1,1,0.0,115,2.0,1.7,12.1,0,0,1,0,.595,1616.0,0,2,0.0,3,1,.600,2,0.0,-18
2,.333,0,107,30.4,8.3,.000,2,IND,.667,0,10,Darren Collison,0,1.000,20181019,0,6,0.5,2,17.4,115,3.9,1.7,15.3,3,0,1,0,.727,1608.0,0,3,0.0,4,1,.667,2,0.0,-15
5,.200,3,87,21.6,19.7,.200,1,IND,.450,.500,10,Tyreke Evans,2,.500,20181019,1,10,4.8,4,28.7,103,11.7,4.0,25.4,4,0,0,1,.460,1358.0,1,3,4.5,4,2,.400,2,4.4,-11
13,.667,3,131,27.9,35.3,.000,4,IND,.667,0,12,Domantas Sabonis,0,1.000,20181019,6,6,7.4,7,14.8,106,30.9,2.1,20.1,2,0,0,0,.773,1330.0,0,3,0.0,4,1,.667,4,27.1,-16
0,.000,2,173,0.0,0.0,.750,0,IND,.875,.667,14,Doug McDermott,6,0,20181019,0,8,15.7,0,9.0,115,0.0,2.2,16.3,1,0,0,4,.875,1221.0,0,0,0.0,5,1,.625,0,0.0,+7
1,.500,2,54,17.0,6.3,.250,1,IND,.250,.000,3,Cory Joseph,1,.500,20181019,0,4,-8.1,1,0.0,113,3.0,2.6,13.7,0,0,0,0,.307,1068.0,0,1,0.0,1,1,.250,2,0.0,-10
1,.000,0,101,0.0,79.1,.000,2,IND,.500,0,4,Alize Johnson,0,1.000,20181019,0,2,0.5,1,0.0,99,37.4,0.0,19.6,1,0,0,0,.500,254.0,0,0,0.0,1,0,.500,2,0.0,+7
3,.000,1,27,0.0,26.4,.500,0,IND,.000,0,2,Aaron Holiday,0,0,20181019,0,2,-11.3,3,29.8,114,12.5,0.0,19.6,0,0,0,0,.000,254.0,0,0,0.0,1,0,.500,0,0.0,+7
0,0,1,47,0.0,0.0,0,0,IND,0,0,0,Edmond Sumner,0,.000,20181019,0,0,-6.5,0,29.8,120,0.0,0.0,8.6,1,0,0,0,.000,254.0,0,0,0.0,0,0,0,2,0.0,+7
1,1.000,0,156,0.0,26.4,.000,0,IND,.500,.000,0,Kyle O'Quinn,1,0,20181019,0,2,23.6,1,42.5,114,12.5,0.0,28.2,1,0,0,0,.694,254.0,0,0,0.0,0,0,.000,0,0.0,+7
15,.130,4,98,19.8,37.5,.261,2,MIL,.522,.000,26,Giannis Antetokounmpo,6,.667,20181019,3,23,3.4,12,28.9,89,24.7,2.9,38.2,5,0,1,0,.535,1919.0,1,6,2.2,12,2,.522,3,10.5,+14
4,.400,2,120,14.5,9.8,.600,4,MIL,.633,.556,23,Khris Middleton,9,.667,20181019,1,15,6.9,3,19.0,100,6.9,1.5,27.2,4,0,1,5,.652,1834.0,0,3,0.0,7,1,.467,6,3.7,+24
4,.111,2,145,17.5,14.6,.444,1,MIL,.778,.500,15,Malcolm Brogdon,4,1.000,20181019,0,9,12.4,4,36.6,95,7.7,3.3,16.8,7,0,1,2,.794,1646.0,0,2,0.0,6,2,.667,1,0.0,+14
6,.000,2,166,0.0,11.5,.556,0,MIL,.667,.400,12,Eric Bledsoe,5,0,20181019,3,9,18.4,3,37.1,91,12.2,3.5,13.9,7,0,1,2,.667,1562.0,2,0,5.3,5,2,.556,0,12.9,+17
3,.000,4,102,0.0,9.0,.800,0,MIL,.400,.250,8,Brook Lopez,8,0,20181019,1,10,-3.1,2,11.5,101,7.1,0.0,18.1,2,0,1,2,.400,1336.0,1,0,3.1,3,0,.300,0,5.0,+18
3,.000,3,72,25.0,12.6,.333,0,MIL,.500,1.000,3,Ersan İlyasova,1,0,20181019,0,3,-3.1,3,0.0,96,6.7,1.9,6.8,0,0,0,1,.500,1423.0,1,1,2.9,1,1,.333,0,0.0,+13
9,.571,2,131,0.0,26.7,.429,2,MIL,.571,.667,10,John Henson,3,.500,20181019,3,7,4.8,6,0.0,92,21.2,0.0,15.7,0,0,0,2,.571,1346.0,3,0,9.3,3,0,.429,4,14.9,-5
2,.800,4,72,37.2,9.9,.800,3,MIL,.500,.250,8,Donte DiVincenzo,4,.750,20181019,0,5,-10.3,2,0.0,98,5.2,2.3,21.4,0,0,0,1,.592,1214.0,0,4,0.0,2,1,.400,4,0.0,+15
2,.143,2,135,0.0,11.2,.714,0,MIL,.714,.400,10,Tony Snell,5,.000,20181019,0,7,3.4,2,8.1,103,5.9,0.0,16.8,1,0,0,2,.672,1070.0,0,0,0.0,4,0,.571,1,0.0,+1
1,2.000,1,38,34.7,17.2,.000,1,MIL,.000,0,1,Christian Wood,0,.500,20181019,0,1,-20.3,1,0.0,101,9.1,0.0,20.0,0,0,0,0,.266,348.0,0,1,0.0,0,0,.000,2,0.0,-1
1,.000,0,0,0.0,23.6,.000,0,MIL,.000,0,0,Matthew Dellavedova,0,0,20181019,0,1,-15.0,1,0.0,101,12.5,0.0,9.5,0,0,0,0,.000,254.0,0,0,0.0,0,0,.000,0,0.0,-7
0,.000,0,37,0.0,0.0,.500,0,MIL,.000,0,2,Pat Connaughton,0,0,20181019,0,1,-16.1,0,29.2,106,0.0,0.0,21.6,0,0,0,0,.000,224.0,0,0,0.0,1,0,1.000,0,0.0,-9
0,.000,0,200,0.0,0.0,.000,0,MIL,1.000,.000,0,Sterling Brown,1,0,20181019,0,2,5.3,0,0.0,106,0.0,0.0,10.8,1,0,0,0,1.000,224.0,0,0,0.0,0,0,.000,0,0.0,-9
0,0,0,0,0,0,0,0,IND,0,0,0,Ike Anigbogu,0,0,20181019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,IND,0,0,0,T.J. Leaf,0,0,20181019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,IND,0,0,0,Ben Moore,0,0,20181019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,IND,0,0,0,Davon Reed,0,0,20181019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIL,0,0,0,Trevon Duval,0,0,20181019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIL,0,0,0,Thon Maker,0,0,20181019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIL,0,0,0,Jodie Meeks,0,0,20181019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIL,0,0,0,Jaylen Morris,0,0,20181019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIL,0,0,0,D.J. Wilson,0,0,20181019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
