drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
9,2207.0,-6.2,24.3,1,5,111,.474,8.1,.375,2,.375,1,.125,0,1.000,0,6,.333,5,22.9,BOS,16,-14,20181019,77,1.3,16,2,26.1,.438,0.0,9,2,6,1,2,12.0,2.3,Jayson Tatum
2,2156.0,4.2,23.9,0,1,120,.525,30.1,.500,0,.150,1,.000,2,0,0,3,.333,3,4.8,BOS,21,-16,20181019,117,0.0,20,0,5.9,.525,5.0,4,1,10,1,6,5.5,2.3,Kyrie Irving
5,2006.0,10.5,18.9,1,3,114,.563,39.4,.417,1,.583,1,.083,5,1.000,0,7,.429,3,19.4,BOS,14,-10,20181019,120,1.5,12,1,16.0,.542,13.5,10,3,5,1,9,14.6,2.5,Al Horford
5,1457.0,5.1,24.3,1,1,113,.521,14.0,.462,1,.231,0,.077,2,1.000,0,3,.333,0,6.9,BOS,14,-11,20181019,110,2.0,13,1,22.0,.500,7.5,7,1,6,1,2,14.1,0.0,Gordon Hayward
3,1450.0,-1.5,20.1,0,1,119,.597,0.0,.500,0,.600,0,.200,1,.000,0,6,.500,4,8.4,BOS,13,0,20181019,104,0.0,10,2,13.2,.650,3.7,4,3,5,1,0,8.1,0.0,Jaylen Brown
2,1545.0,-5.3,14.3,0,2,119,.571,5.4,.429,0,.571,1,.000,0,0,0,4,.500,4,22.2,BOS,8,-1,20181019,88,0.0,7,0,8.3,.571,0.0,2,2,3,0,1,3.8,3.3,Marcus Morris
3,1393.0,3.3,13.9,1,0,114,.508,17.3,.286,2,.429,0,.286,2,1.000,0,3,.667,4,0.0,BOS,8,-4,20181019,134,2.1,7,2,13.8,.429,7.8,5,2,2,0,3,10.5,0.0,Terry Rozier
2,1312.0,-5.1,11.2,0,0,118,.167,34.8,.167,0,.333,1,.000,0,0,0,2,.000,3,0.0,BOS,2,-2,20181019,88,0.0,6,0,9.8,.167,0.0,2,0,1,0,6,4.5,3.9,Marcus Smart
2,874.0,-12.7,27.7,0,1,115,.282,0.0,.250,1,.250,1,.250,4,.500,0,2,.000,1,10.1,BOS,5,-2,20181019,75,0.0,8,2,14.6,.250,24.9,6,0,2,0,0,20.2,5.8,Aron Baynes
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20181019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guerschon Yabusele
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20181019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Semi Ojeleye
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20181019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brad Wanamaker
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20181019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daniel Theis
8,2152.0,5.8,38.1,1,3,100,.535,13.6,.400,9,.200,0,.360,2,1.000,0,5,.400,1,9.4,TOR,31,+17,20181019,111,1.4,25,9,20.2,.440,5.9,10,2,10,1,3,13.7,0.0,Kawhi Leonard
6,2059.0,7.4,12.1,0,0,105,.768,23.3,.625,2,.625,0,.500,0,.500,0,5,.600,3,0.0,TOR,15,+18,20181019,168,0.0,8,4,15.8,.813,0.0,6,3,5,1,6,8.6,0.0,Kyle Lowry
2,2012.0,8.7,19.7,0,1,109,.727,10.0,.714,0,.143,1,.071,4,.000,0,2,.500,2,6.5,TOR,21,+16,20181019,144,0.0,14,1,5.4,.750,12.7,6,1,10,1,2,8.8,2.3,Serge Ibaka
4,1948.0,13.0,11.8,1,1,102,.875,12.5,.625,0,.875,1,.000,1,0,0,7,.571,1,11.1,TOR,14,+25,20181019,158,1.5,8,0,11.2,.875,3.3,5,4,5,1,3,7.5,2.3,Danny Green
