trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
5,.333,3,77,16.2,8.0,.222,3,BOS,.222,.000,7,Jaylen Brown,2,1.000,20181020,2,9,-7.6,3,8.2,105,6.7,1.3,13.8,2,0,1,0,.339,2307.0,0,2,0.0,2,1,.222,3,5.4,+1
14,.400,2,109,18.5,37.7,.200,6,BOS,.600,.667,24,Jayson Tatum,3,1.000,20181020,1,15,4.5,13,0.0,93,20.5,2.7,26.5,0,0,1,2,.680,2111.0,0,4,0.0,8,2,.533,6,3.0,+19
1,.438,3,92,9.5,3.2,.188,6,BOS,.313,.000,16,Kyrie Irving,3,.857,20181020,0,16,-3.2,1,29.3,103,1.6,3.0,28.3,5,0,1,0,.419,1926.0,0,2,0.0,5,2,.313,7,0.0,-13
10,.286,4,96,20.2,34.2,.429,0,BOS,.571,.667,8,Al Horford,3,.000,20181020,2,7,2.6,8,22.3,93,21.6,2.0,17.8,3,0,1,2,.508,1435.0,1,2,3.9,3,1,.429,2,8.7,+1
5,.600,1,170,0.0,17.5,.400,3,BOS,.700,.500,10,Aron Baynes,2,1.000,20181020,3,5,13.0,2,0.0,105,22.2,0.0,23.3,0,0,1,1,.791,699.0,0,0,0.0,3,0,.600,3,26.9,+15
4,1.200,4,100,28.2,7.3,.400,4,BOS,.400,.000,8,Marcus Smart,2,.667,20181020,2,5,-0.8,2,29.0,100,7.4,3.4,16.3,5,0,0,0,.524,1681.0,0,3,0.0,2,2,.400,6,7.4,+7
6,.500,2,114,6.4,23.9,.417,6,BOS,.417,.400,16,Marcus Morris,5,1.000,20181020,0,12,1.8,6,14.7,103,12.1,0.0,26.2,2,0,0,2,.546,1539.0,0,1,0.0,4,0,.333,6,0.0,-17
1,.000,3,113,11.1,4.5,.500,0,BOS,.625,.500,10,Terry Rozier,4,0,20181020,0,8,-0.9,1,17.0,109,2.3,0.0,16.9,2,0,0,2,.625,1374.0,0,1,0.0,4,0,.500,0,0.0,0
1,.000,3,88,0.0,0.0,.250,0,BOS,.250,.000,2,Daniel Theis,1,0,20181020,1,4,-5.0,0,23.1,106,3.7,0.0,12.3,2,0,0,0,.250,843.0,1,0,6.6,1,0,.250,0,7.4,-5
0,.000,1,200,0.0,0.0,.000,0,BOS,1.000,0,2,Guerschon Yabusele,0,0,20181020,0,1,-1.3,0,0.0,110,0.0,0.0,7.4,0,0,0,0,1.000,347.0,0,0,0.0,1,0,1.000,0,0.0,+1
