player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Blake Griffin,2500.0,.593,.556,.444,.389,5.0,15.1,10.4,17.7,2.3,2.0,22.2,27.3,103,107,2.5,DET,1,0,20181031,8,18,.444,4,8,.500,5,7,.714,2,7,9,4,2,1,6,5,25,-14
Andre Drummond,2274.0,.652,.571,.071,.714,27.4,30.8,29.2,5.0,1.3,4.4,17.9,24.8,126,101,5.8,DET,1,0,20181031,8,14,.571,0,1,.000,8,10,.800,10,13,23,1,1,2,4,2,24,-11
Reggie Jackson,2125.0,.432,.391,.304,.130,2.9,7.6,5.4,11.1,1.4,2.4,3.9,30.0,97,112,-2.1,DET,1,0,20181031,8,23,.348,2,7,.286,3,3,1.000,1,3,4,2,1,1,1,3,21,-5
Stanley Johnson,1995.0,.521,.375,.750,1.000,3.1,29.7,17.4,8.5,1.5,0.0,25.8,9.8,97,103,-2.6,DET,1,0,20181031,1,4,.250,1,3,.333,3,4,.750,1,11,12,2,1,0,2,5,6,-2
Reggie Bullock,525.0,.000,.000,.250,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0,119,-27.8,DET,1,0,20181031,0,4,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,2,0,-11
Ish Smith,1872.0,.410,.375,.750,.500,0.0,8.6,4.6,18.2,1.6,0.0,17.0,7.9,99,112,-5.0,DET,0,0,20181031,1,4,.250,1,3,.333,1,2,.500,0,3,3,4,1,0,1,5,4,+2
Bruce Brown,1719.0,.436,.389,.444,.333,0.0,3.1,1.7,0.0,0.0,0.0,8.8,16.6,87,118,-9.4,DET,0,0,20181031,3,9,.333,1,4,.250,2,3,.667,0,1,1,0,0,0,1,4,9,+3
José Calderón,931.0,.680,.600,.800,.400,0.0,11.6,6.2,0.0,3.1,5.4,14.5,18.6,121,105,7.3,DET,0,0,20181031,2,5,.400,2,4,.500,2,2,1.000,0,2,2,0,1,1,1,1,8,+4
Glenn Robinson,862.0,.712,.600,.400,.600,0.0,6.3,3.4,0.0,3.4,0.0,0.0,18.5,153,110,8.1,DET,0,0,20181031,3,5,.600,0,2,.000,3,3,1.000,0,1,1,0,1,0,0,0,9,+11
Zaza Pachulia,765.0,.865,1.000,.000,1.667,0.0,0.0,0.0,47.0,0.0,6.6,0.0,17.1,185,116,17.7,DET,0,0,20181031,3,3,1.000,0,0,0,3,5,.600,0,0,0,3,0,1,0,3,9,+14
Langston Galloway,332.0,.500,.500,.250,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,103,120,-3.5,DET,0,0,20181031,2,4,.500,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,4,+4
Jon Leuer,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,0,20181031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry Ellenson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,0,20181031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Harris,2439.0,.751,.714,.500,.214,4.4,7.7,5.9,4.0,0.0,0.0,6.1,16.3,147,114,4.6,BRK,1,0,20181031,8,14,.571,4,7,.571,3,3,1.000,2,3,5,1,0,0,1,4,23,+2
Caris LeVert,2377.0,.510,.469,.313,.375,0.0,15.7,7.3,23.9,2.4,0.0,5.1,20.2,116,106,2.9,BRK,1,0,20181031,7,16,.438,1,5,.200,4,6,.667,0,6,6,6,2,0,1,4,19,+13
Jared Dudley,2252.0,.473,.278,.667,.667,4.8,11.1,7.7,10.5,0.0,0.0,0.0,12.6,127,113,-1.1,BRK,1,0,20181031,2,9,.222,1,6,.167,6,6,1.000,2,4,6,3,0,0,0,3,11,+9
D'Angelo Russell,1502.0,.194,.200,.400,.067,0.0,8.3,3.8,34.7,5.8,3.6,11.5,28.4,59,99,-6.1,BRK,1,0,20181031,3,15,.200,0,6,.000,0,1,.000,0,2,2,6,3,1,2,2,6,-2
Jarrett Allen,1294.0,.686,.750,.000,.625,16.7,24.1,20.1,8.7,0.0,0.0,16.4,23.0,120,108,0.3,BRK,1,0,20181031,6,8,.750,0,0,0,2,5,.400,4,5,9,1,0,0,2,6,14,+3
Spencer Dinwiddie,1895.0,.746,.700,.600,.267,5.7,6.6,6.1,22.7,0.0,0.0,10.7,24.2,142,114,10.3,BRK,0,0,20181031,8,15,.533,5,9,.556,4,4,1.000,2,2,4,4,0,0,2,5,25,+7
Rondae Hollis-Jefferson,1492.0,.444,.444,.000,.000,3.6,25.1,13.6,18.5,0.0,3.6,10.0,16.4,100,106,0.3,BRK,0,0,20181031,4,9,.444,0,0,0,0,0,0,1,6,7,3,0,1,1,2,8,+2
Allen Crabbe,1210.0,.250,.250,.667,.000,8.9,20.6,14.3,13.0,0.0,4.5,33.3,18.2,58,107,-7.7,BRK,0,0,20181031,1,6,.167,1,4,.250,0,0,0,2,4,6,2,0,1,3,1,3,-8
Ed Davis,1096.0,.683,.667,.000,.500,24.6,28.4,26.4,0.0,0.0,0.0,29.1,23.0,107,106,-5.7,BRK,0,0,20181031,4,6,.667,0,0,0,2,3,.667,5,5,10,0,0,0,3,5,10,-8
Shabazz Napier,343.0,.129,.000,.333,.667,0.0,0.0,0.0,0.0,0.0,0.0,20.5,34.7,24,117,-34.8,BRK,0,0,20181031,0,3,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,1,1,1,-13
Kenneth Faried,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRK,0,0,20181031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Džanan Musa,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRK,0,0,20181031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keenan Evans,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,1,20181031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Kennard,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,1,20181031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Lofton,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,1,20181031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khyri Thomas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,1,20181031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeMarre Carroll,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRK,0,1,20181031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treveon Graham,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRK,0,1,20181031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodions Kurucs,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRK,0,1,20181031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theo Pinson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRK,0,1,20181031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Williams,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRK,0,1,20181031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
