drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
1,2178.0,-4.7,21.2,1,1,98,.361,18.9,.214,6,.143,0,.429,0,1.000,0,2,.000,3,5.7,UTA,12,+15,20181112,89,1.4,14,6,3.0,.214,0.0,1,0,3,1,4,1.5,0.0,Donovan Mitchell
4,2160.0,7.7,21.3,1,3,96,.649,27.8,.500,4,.500,0,.500,2,.667,0,6,.500,2,17.0,UTA,19,+6,20181112,119,1.4,12,6,12.1,.625,5.7,6,3,6,1,5,8.8,0.0,Joe Ingles
13,1921.0,7.8,17.8,0,3,85,.744,12.2,.714,5,.000,3,1.000,3,.714,0,0,0,4,22.9,UTA,15,+15,20181112,122,0.0,7,7,44.3,.714,9.6,16,0,5,1,2,26.4,8.2,Rudy Gobert
5,1665.0,14.9,12.4,2,2,87,1.020,20.7,.800,2,.400,1,.400,3,1.000,0,2,1.000,3,25.4,UTA,12,0,20181112,154,3.7,5,2,19.7,1.000,11.0,8,2,4,1,3,15.2,3.1,Derrick Favors
2,1459.0,-9.2,23.3,1,2,95,.318,15.1,.273,0,.455,0,.000,2,0,0,5,.200,6,15.4,UTA,7,+5,20181112,72,2.1,11,0,9.0,.318,8.4,4,1,3,1,2,8.7,0.0,Ricky Rubio
5,1647.0,-6.3,17.3,0,1,95,.304,0.0,.222,1,.778,1,.222,1,.500,0,7,.143,1,9.2,UTA,6,+10,20181112,66,0.0,9,2,19.9,.278,3.7,6,1,2,0,0,11.5,3.2,Jae Crowder
3,1369.0,0.8,25.4,1,0,94,.375,16.4,.250,3,.333,0,.250,1,1.000,0,4,.250,1,0.0,UTA,10,-1,20181112,96,2.2,12,3,14.3,.292,4.5,4,1,3,0,2,9.2,0.0,Alec Burks
0,1231.0,-3.5,20.7,0,1,101,.514,9.4,.429,2,.571,0,.571,0,.500,0,4,.250,2,10.2,UTA,9,+2,20181112,98,0.0,7,4,0.0,.500,0.0,0,1,3,0,1,0.0,0.0,Dante Exum
2,451.0,-10.2,17.4,0,1,95,.500,0.0,.500,0,.500,0,.000,0,0,0,1,.000,1,33.3,UTA,2,-10,20181112,61,0.0,2,0,29.0,.500,0.0,2,0,1,0,0,14.0,0.0,Georges Niang
1,243.0,-6.0,32.3,1,1,68,.500,0.0,.500,0,.500,0,.000,0,0,0,1,.000,2,33.3,UTA,2,-3,20181112,59,12.5,2,0,26.9,.500,0.0,1,0,1,0,0,13.0,0.0,Royce O'Neale
0,76.0,71.0,34.4,0,0,50,1.000,0.0,1.000,0,.000,1,.000,1,0,0,0,0,0,0.0,UTA,2,+1,20181112,205,0.0,1,0,0.0,1.000,80.6,1,0,1,0,0,41.6,68.9,Ekpe Udoh
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTA,0,0,20181112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grayson Allen
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTA,0,0,20181112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thabo Sefolosha
11,2252.0,-2.5,15.7,1,1,97,.295,21.9,.273,1,.091,0,.182,2,.500,0,1,.000,4,7.8,MEM,7,-6,20181112,79,1.4,11,2,29.9,.273,5.8,13,0,3,1,5,18.3,0.0,Kyle Anderson
4,2143.0,3.7,26.9,0,2,108,.629,17.1,.438,7,.500,0,.438,0,1.000,0,8,.375,4,9.5,MEM,24,0,20181112,118,0.0,16,7,11.4,.531,0.0,4,3,7,1,3,5.9,0.0,Mike Conley
5,2113.0,2.5,21.7,1,2,101,.542,17.4,.538,2,.308,2,.308,0,.500,0,4,.000,4,11.9,MEM,16,-4,20181112,99,1.4,13,4,14.5,.538,0.0,5,0,7,1,3,7.5,5.5,Marc Gasol
2,2047.0,-11.6,13.2,0,1,110,.338,0.0,.250,2,.500,0,.250,0,1.000,0,4,.000,5,10.1,MEM,6,-22,20181112,64,0.0,8,2,6.0,.250,0.0,2,0,2,1,0,3.1,0.0,Garrett Temple
6,1649.0,6.6,23.1,1,4,90,.506,20.1,.444,2,.111,5,.222,5,1.000,0,1,.000,3,28.8,MEM,10,-6,20181112,92,1.8,9,2,22.3,.444,19.8,11,0,4,1,3,21.1,17.5,Jaren Jackson
3,1745.0,0.1,17.1,2,1,99,.455,12.5,.444,1,.333,1,.222,0,.500,0,3,.000,3,9.2,MEM,9,+4,20181112,88,3.5,9,2,10.5,.444,0.0,3,0,4,0,2,5.4,3.3,Shelvin Mack
2,1355.0,-3.2,24.0,0,2,107,.506,8.7,.444,1,.222,1,.222,0,.500,0,2,.500,2,16.8,MEM,10,-6,20181112,83,0.0,9,2,9.0,.500,0.0,2,1,4,0,1,4.7,4.3,MarShon Brooks
1,1096.0,-0.2,19.7,2,3,98,.615,18.9,.500,2,.250,0,.500,1,1.000,0,1,.000,3,38.1,MEM,6,0,20181112,86,5.5,4,2,5.6,.500,6.0,2,0,2,0,2,5.8,0.0,Wayne Selden
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,0,0,20181112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chandler Parsons
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,0,0,20181112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yuta Watanabe
