threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.267,0,3,4,.800,40.4,35,20181112,Joel Embiid,3,.633,14.3,16,116,15,0,7.8,0.0,.533,0,20,6,2140.0,.750,19.2,13.6,PHI,8,2,.735,1,1,1.333,18,152,12,0.0,29.5,+12,31.8
.000,0,7,0,.750,17.0,13,20181112,Ben Simmons,0,.714,29.6,3,117,7,1,31.3,1.4,.714,0,4,2,2113.0,0,6.5,2.7,PHI,5,4,.742,0,1,.571,7,124,5,0.0,11.6,+20,15.9
.450,0,3,9,0,3.9,25,20181112,J.J. Redick,3,.625,21.1,0,123,20,0,4.8,0.0,.550,0,0,0,1860.0,.333,0.0,0.6,PHI,11,1,.625,4,1,.000,1,121,1,0.0,1.9,+11,29.8
.000,0,5,0,.333,9.6,5,20181112,Markelle Fultz,0,.250,27.3,1,122,8,0,0.0,0.0,.250,0,3,0,1499.0,0,0.0,-8.5,PHI,2,0,.268,2,1,.375,2,88,2,0.0,4.7,-7,16.4
.333,0,3,1,0,0.0,5,20181112,Wilson Chandler,1,.833,17.6,0,119,3,1,40.0,2.1,.667,0,0,1,1406.0,1.000,4.9,1.4,PHI,2,2,.833,2,1,.000,1,118,0,0.0,2.5,+6,9.4
.909,0,1,10,.800,35.2,13,20181112,Mike Muscala,3,.409,5.2,4,116,11,0,0.0,0.0,.273,0,5,0,1636.0,.300,0.0,-4.4,PHI,3,0,.492,4,0,.455,8,110,8,0.0,17.2,+4,21.3
.800,0,1,4,1.000,0.0,10,20181112,Landry Shamet,2,.800,6.2,2,123,5,0,0.0,0.0,.600,0,2,0,1422.0,.500,0.0,0.3,PHI,3,0,.850,4,0,.400,0,174,0,0.0,0.0,+10,10.9
.667,0,0,6,1.000,16.1,16,20181112,Furkan Korkmaz,3,.722,0.0,3,115,9,1,0.0,2.2,.556,0,3,1,1345.0,.500,5.1,6.4,PHI,5,0,.775,5,0,.333,4,158,3,0.0,10.4,+7,20.2
.500,0,0,2,1.000,8.4,2,20181112,T.J. McConnell,0,.000,0.0,2,106,4,2,0.0,6.9,.000,0,2,0,859.0,.000,0.0,-8.4,PHI,0,0,.205,1,0,.500,1,50,1,0.0,4.1,-15,15.0
.000,0,1,0,0,0.0,0,20181112,Amir Johnson,0,.000,61.5,0,123,1,0,0.0,0.0,.000,0,0,0,120.0,0,0.0,-14.9,PHI,0,0,.000,1,0,.000,0,62,0,0.0,0.0,+2,22.0
0,0,0,0,0,0,0,20181112,Jonah Bolden,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20181112,Demetrius Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20181112,Shake Milton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
.625,1,0,5,1.000,3.1,17,20181112,Josh Richardson,4,.750,0.0,5,131,8,1,22.7,1.3,.500,0,5,0,2235.0,.800,0.0,-0.5,MIA,4,3,.833,3,1,.625,1,123,1,2.7,1.6,0,16.0
.267,1,5,4,.714,11.9,22,20181112,Goran Dragić,1,.567,35.2,5,123,15,2,10.0,3.5,.533,0,7,0,1728.0,.250,0.0,5.0,MIA,8,2,.608,4,1,.467,3,121,3,3.5,6.1,-14,31.4
.000,0,2,0,1.000,4.4,6,20181112,Rodney McGruder,0,.500,11.0,2,131,4,1,17.0,1.9,.500,0,2,1,1566.0,0,4.6,-2.1,MIA,2,1,.615,2,1,.500,2,124,1,0.0,4.5,-11,10.2
.250,1,0,2,.500,52.3,13,20181112,Hassan Whiteside,1,.688,0.0,2,120,8,0,9.3,0.0,.625,0,4,1,1311.0,.500,5.5,-1.1,MIA,5,1,.666,5,1,.500,11,121,10,4.7,29.5,-15,22.2
.200,0,3,1,0,16.4,5,20181112,Justise Winslow,1,.500,21.3,0,132,5,0,0.0,0.0,.400,0,0,0,1252.0,1.000,0.0,-2.7,MIA,2,0,.500,2,1,.000,3,126,3,0.0,8.4,-18,10.8
.364,1,2,4,1.000,8.3,12,20181112,Tyler Johnson,1,.409,11.7,3,132,11,0,7.5,0.0,.364,0,3,2,1647.0,.250,8.7,-5.7,MIA,4,1,.487,4,0,.273,4,109,2,3.7,8.5,+1,21.9
.909,0,1,10,1.000,8.8,14,20181112,Wayne Ellington,4,.545,6.2,2,134,11,0,7.8,0.0,.364,0,2,1,1566.0,.400,4.6,-1.7,MIA,4,1,.589,1,0,.182,3,116,2,0.0,6.7,+6,22.2
.600,0,2,3,1.000,30.9,13,20181112,Kelly Olynyk,1,.700,14.2,6,123,5,1,34.4,2.2,.600,0,6,1,1331.0,.333,5.4,-0.3,MIA,3,4,.851,5,0,1.200,7,119,6,0.0,18.5,+8,23.6
.000,1,2,0,.500,17.7,8,20181112,Bam Adebayo,0,.500,16.8,2,129,6,0,20.5,0.0,.500,0,4,1,1161.0,0,6.2,-6.4,MIA,3,2,.515,3,0,.667,4,97,3,5.3,12.1,+1,22.7
.500,1,2,2,0,11.4,4,20181112,Derrick Jones,0,.500,34.8,0,127,4,0,0.0,0.0,.500,0,0,1,603.0,.000,11.9,6.0,MIA,2,0,.500,1,0,.000,2,132,1,10.2,11.6,-8,17.9
