threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.688,1,1,11,0,9.5,27,20181121,Allen Crabbe,7,.844,6.2,0,118,16,2,11.1,3.3,.625,0,0,1,1789.0,.636,3.0,17.4,BRK,10,2,.844,3,1,.000,3,143,2,3.2,5.6,-9,24.7
.636,0,4,7,.500,5.0,8,20181121,Joe Harris,1,.318,18.3,1,124,11,1,14.4,1.7,.273,0,2,2,1708.0,.143,6.4,-9.4,BRK,3,2,.337,6,1,.182,3,85,1,0.0,5.8,-5,20.0
.250,1,1,2,0,16.2,6,20181121,Jarrett Allen,0,.375,5.0,0,119,8,1,0.0,1.9,.375,0,0,3,1572.0,.000,10.4,-4.7,BRK,3,0,.375,3,1,.000,6,106,3,3.6,12.6,-5,12.5
.611,0,4,11,1.000,27.0,17,20181121,D'Angelo Russell,3,.417,23.7,2,124,18,0,9.6,0.0,.333,0,2,0,1568.0,.273,0.0,-5.1,BRK,6,2,.450,3,1,.111,5,98,5,0.0,10.6,-15,32.7
.333,0,1,1,.000,23.1,2,20181121,Jared Dudley,0,.333,6.7,0,124,3,0,22.5,0.0,.333,0,1,1,1098.0,.000,4.9,-9.9,BRK,1,1,.291,2,1,.333,4,69,3,0.0,12.1,-17,9.9
.455,0,7,5,.800,10.0,19,20181121,Spencer Dinwiddie,1,.500,35.5,8,123,11,1,6.1,1.7,.455,0,10,0,1696.0,.200,0.0,8.5,BRK,5,1,.617,1,0,.909,2,140,2,0.0,3.9,+11,23.8
.000,0,3,0,.600,26.5,9,20181121,Rondae Hollis-Jefferson,0,.429,14.8,3,119,7,1,24.6,1.8,.429,0,5,3,1596.0,0,10.2,-4.8,BRK,3,3,.489,5,0,.714,8,97,5,0.0,16.6,+14,18.8
.000,0,1,0,1.000,28.1,17,20181121,Ed Davis,0,1.000,10.5,1,118,8,1,10.6,2.4,1.000,0,1,5,1204.0,0,22.6,15.9,BRK,8,1,1.007,3,0,.125,9,182,4,0.0,24.7,-2,19.3
.429,0,0,3,0,7.2,0,20181121,DeMarre Carroll,0,.000,0.0,0,121,7,1,12.5,2.5,.000,0,0,0,1176.0,.000,0.0,-23.9,BRK,0,1,.000,4,0,.000,1,0,1,0.0,2.8,-1,16.7
.400,0,1,2,0,0.0,8,20181121,Shabazz Napier,2,.800,8.7,0,129,5,0,16.7,0.0,.600,0,0,1,993.0,1.000,5.5,1.8,BRK,3,1,.800,1,0,.000,1,136,0,0.0,3.3,-1,14.8
