drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
4,2236.0,5.8,24.8,1,0,119,.571,11.3,.524,4,.286,0,.190,2,1.000,0,6,.000,1,0.0,TOR,26,-21,20181222,121,1.2,21,4,13.9,.524,4.5,6,0,11,1,2,8.2,0.0,Pascal Siakam
6,1857.0,5.6,27.0,1,2,115,.536,28.0,.375,6,.563,1,.375,0,1.000,0,9,.222,2,9.7,TOR,20,-8,20181222,106,1.4,16,6,25.1,.438,0.0,6,2,6,1,5,9.9,2.5,Kyle Lowry
5,1589.0,-6.5,9.2,0,2,120,.625,5.4,.500,0,.500,0,.000,0,0,0,2,.500,5,33.3,TOR,5,-2,20181222,81,0.0,4,0,24.5,.625,0.0,5,1,2,1,1,9.6,0.0,OG Anunoby
3,1477.0,-14.7,26.2,0,3,121,.349,0.0,.250,2,.417,0,.167,0,1.000,0,5,.200,3,18.9,TOR,9,-7,20181222,57,0.0,12,2,15.8,.292,0.0,3,1,3,1,0,6.2,0.0,Danny Green
4,1313.0,-5.6,14.8,0,1,120,.429,7.2,.429,0,.000,0,.000,4,0,0,0,0,4,12.5,TOR,6,-16,20181222,99,0.0,7,0,23.7,.429,15.4,8,0,3,1,1,18.7,0.0,Greg Monroe
2,1674.0,-2.4,21.8,1,1,118,.429,18.2,.357,0,.429,0,.000,0,0,0,6,.333,2,6.7,TOR,12,-18,20181222,86,1.6,14,0,9.3,.429,0.0,2,2,5,0,3,3.7,0.0,Fred VanVleet
3,1514.0,4.4,16.6,1,1,117,.697,6.5,.500,3,.500,0,.375,0,1.000,0,4,.500,1,9.7,TOR,13,-13,20181222,126,1.8,8,3,15.4,.625,0.0,3,2,4,0,1,6.1,0.0,Norman Powell
2,1032.0,-2.3,18.3,1,1,116,.296,24.5,.200,2,.200,0,.800,1,.500,0,1,.000,0,12.9,TOR,4,-18,20181222,75,2.6,5,4,15.1,.200,4.9,3,0,1,0,3,8.9,0.0,Delon Wright
1,738.0,-11.2,16.5,0,1,121,.375,0.0,.250,0,1.000,0,.000,0,0,0,4,.250,2,20.0,TOR,3,-9,20181222,58,0.0,4,0,10.5,.375,0.0,1,1,1,0,0,4.2,0.0,C.J. Miles
1,369.0,-14.2,19.8,0,1,121,.000,21.1,.000,0,.500,0,.000,1,0,0,1,.000,0,33.3,TOR,0,-5,20181222,36,0.0,2,0,21.1,.000,13.7,2,0,0,0,1,16.6,0.0,Lorenzo Brown
