blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.385,18.4,0.0,131,4,13,.750,25.1,5,2,-24,91,3,1,20190107,1750.0,0,Jamal Murray,13,3,0,.231,0,.385,1,0,-10.5,4.1,.440,DEN,3,4,.308,1,3.7,3,.000,16.9,4.6
5.9,.550,27.0,3.4,117,4,24,1.000,41.7,11,13,-22,94,8,8,20190107,1688.0,2,Nikola Jokić,20,1,0,.050,1,.575,5,1,3.5,27.7,.587,DEN,1,1,.050,1,19.4,2,1.000,28.1,37.9
0.0,.364,9.6,0.0,131,2,14,1.000,19.4,4,4,-12,132,0,3,20190107,1629.0,0,Gary Harris,11,4,0,.455,0,.455,1,2,-1.0,8.8,.549,DEN,5,4,.364,1,4.0,2,.400,0.0,14.7
0.0,.167,0.0,0.0,132,0,5,.750,12.5,1,6,-17,108,0,1,20190107,1537.0,0,Torrey Craig,6,3,0,.500,0,.167,5,0,-9.3,14.1,.322,DEN,3,4,.667,1,21.3,2,.000,0.0,5.2
7.6,.333,11.1,0.0,127,2,6,1.000,13.0,2,3,-14,122,0,1,20190107,1313.0,0,Paul Millsap,6,2,0,.000,1,.333,2,0,-3.1,8.2,.436,DEN,0,2,.333,1,10.0,2,0,0.0,6.1
0.0,.545,5.5,1.8,126,1,14,0,17.3,6,3,+2,135,0,3,20190107,1577.0,1,Malik Beasley,11,0,0,.636,0,.636,0,2,2.0,6.8,.636,DEN,7,0,.000,0,0.0,2,.286,0.0,15.2
0.0,.692,37.4,4.0,121,5,21,1.000,23.5,9,3,+2,164,0,3,20190107,1464.0,2,Monte Morris,13,2,0,.231,0,.731,0,1,16.8,7.4,.756,DEN,3,2,.154,0,0.0,2,.333,0.0,16.4
8.3,.200,17.4,0.0,124,3,3,0,10.4,1,5,+7,97,0,5,20190107,1194.0,0,Juan Hernangómez,5,0,0,1.000,1,.300,0,1,-0.5,15.1,.300,DEN,5,0,.000,0,0.0,1,.200,0.0,33.5
0.0,.400,14.2,0.0,130,2,4,0,11.7,2,2,+8,105,0,2,20190107,1056.0,0,Trey Lyles,5,0,0,.400,0,.400,0,0,-5.9,6.8,.400,DEN,2,0,.000,0,0.0,2,.000,0.0,15.2
0.0,1.000,8.3,6.3,114,1,6,.667,14.3,2,3,+5,106,2,3,20190107,920.0,2,Mason Plumlee,2,2,0,.000,0,1.000,0,0,2.0,11.7,.904,DEN,0,3,1.500,0,0.0,2,0,37.6,26.1
