threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.421,0,2,8,1.000,12.5,33,20190116,Kawhi Leonard,2,.579,9.5,11,116,19,4,4.0,5.6,.526,0,11,0,2186.0,.250,0.0,16.8,TOR,10,1,.692,0,1,.579,4,144,4,0.0,5.8,-3,29.4
.000,0,7,0,0,9.6,6,20190116,Pascal Siakam,0,.500,25.4,0,126,6,1,33.3,1.4,.500,0,0,1,2147.0,0,2.7,-2.7,TOR,3,3,.500,4,1,.000,4,96,3,0.0,5.9,+1,10.9
.143,0,0,3,.667,17.0,22,20190116,Serge Ibaka,0,.476,0.0,2,127,21,0,4.3,0.0,.476,0,3,5,2020.0,.000,14.5,-5.0,TOR,10,1,.493,3,1,.143,10,109,5,0.0,15.7,-6,29.9
.500,1,7,5,1.000,17.0,10,20190116,Kyle Lowry,1,.350,27.3,3,122,10,1,8.1,1.5,.300,0,3,1,2012.0,.200,2.9,1.1,TOR,3,1,.442,2,1,.300,6,113,5,2.3,9.4,-7,15.9
.533,1,1,8,0,14.8,15,20190116,Danny Green,3,.500,4.9,0,126,15,0,11.8,0.0,.400,0,0,2,1849.0,.375,6.4,-2.4,TOR,6,2,.500,2,1,.000,6,99,4,2.5,10.3,-7,23.8
.222,0,1,2,0,4.8,11,20190116,Norman Powell,1,.611,6.5,0,122,9,2,0.0,4.2,.556,0,0,0,1438.0,.500,0.0,4.7,TOR,5,0,.611,1,0,.000,1,130,1,0.0,2.2,-8,16.2
.667,0,2,2,0,6.3,0,20190116,Fred VanVleet,0,.000,12.9,0,124,3,1,25.0,2.8,.000,0,0,1,1087.0,.000,5.4,-10.0,TOR,0,1,.000,1,0,.000,2,43,1,0.0,5.8,-3,9.5
.000,0,0,0,.750,37.1,11,20190116,Greg Monroe,0,.667,0.0,3,120,6,0,11.4,0.0,.667,0,4,4,924.0,0,25.4,5.0,TOR,4,1,.709,1,0,.667,9,140,5,0.0,30.8,-5,24.5
.333,0,0,1,0,0.0,0,20190116,Delon Wright,0,.000,0.0,0,133,3,0,0.0,0.0,.000,0,0,0,735.0,.000,0.0,-17.6,TOR,0,0,.000,0,0,.000,0,0,0,0.0,0.0,-7,10.6
0,0,0,0,0,0,0,20190116,C.J. Miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190116,Jordan Loyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190116,Patrick McCaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190116,Malachi Richardson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0
.316,1,18,6,1.000,7.7,27,20190116,Kyrie Irving,3,.658,70.9,2,117,19,1,26.0,1.3,.579,0,2,2,2278.0,.500,6.0,12.5,BOS,11,7,.679,4,1,.105,5,127,3,2.0,6.9,+4,30.4
.333,2,1,4,1.000,17.4,24,20190116,Al Horford,3,.875,4.3,3,114,12,0,13.1,0.0,.750,0,3,1,2031.0,.750,3.4,9.9,BOS,9,2,.901,2,1,.250,7,151,6,4.5,10.9,+2,19.4
.400,0,3,2,0,9.3,5,20190116,Marcus Smart,1,.500,10.6,0,110,5,3,0.0,4.8,.400,0,0,1,1889.0,.500,3.6,1.1,BOS,2,0,.500,4,1,.000,4,139,3,0.0,6.7,+6,6.8
.188,1,2,3,1.000,21.9,16,20190116,Jayson Tatum,1,.406,8.4,3,114,16,0,5.5,0.0,.375,0,3,3,1875.0,.333,11.0,-3.4,BOS,6,1,.462,2,1,.188,10,111,7,2.4,16.9,+4,25.2
.333,0,0,3,1.000,23.6,6,20190116,Marcus Morris,1,.278,0.0,1,115,9,0,9.6,0.0,.222,0,1,2,1495.0,.333,9.2,-14.9,BOS,2,1,.318,5,1,.111,8,78,6,0.0,16.9,-6,18.0
.385,1,5,5,0,8.0,18,20190116,Gordon Hayward,2,.692,32.6,0,110,13,2,7.1,4.2,.615,0,0,0,1462.0,.400,0.0,14.8,BOS,8,1,.692,3,0,.000,2,140,2,3.1,4.3,+10,24.7
