trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
5,.438,4,125,9.5,20.3,.250,7,DAL,.531,.250,24,Luka Dončić,4,1.000,20190320,0,16,3.0,5,33.7,128,10.0,0.0,32.2,6,0,1,1,.629,1730.0,0,2,0.0,8,0,.500,7,0.0,-7
2,.400,3,145,0.0,9.0,.100,4,DAL,.600,.000,16,Jalen Brunson,1,1.000,20190320,0,10,4.5,2,17.2,123,4.4,3.6,19.8,3,0,1,0,.680,1569.0,0,0,0.0,6,2,.600,4,0.0,-19
9,.000,2,96,33.3,31.8,.750,0,DAL,.625,.333,5,Dwight Powell,3,0,20190320,2,4,-5.1,7,0.0,119,20.2,1.8,10.3,0,0,1,1,.625,1545.0,1,2,3.4,2,1,.500,0,8.9,-15
0,.300,1,132,0.0,0.0,.500,2,DAL,.600,.400,14,Tim Hardaway,5,.667,20190320,0,10,1.3,0,18.5,134,0.0,0.0,21.0,3,0,1,2,.618,1422.0,0,0,0.0,5,0,.500,3,0.0,-18
2,.333,1,68,22.5,16.4,.333,1,DAL,.333,.000,3,Dirk Nowitzki,1,1.000,20190320,0,3,-9.2,2,0.0,126,8.1,0.0,13.7,0,0,1,0,.436,855.0,1,1,6.1,1,0,.333,1,0.0,-6
4,.133,1,137,0.0,6.9,.533,2,DAL,.633,.375,21,Justin Jackson,8,1.000,20190320,2,15,1.6,2,4.5,132,6.9,0.0,20.7,1,0,0,3,.661,2025.0,0,0,0.0,8,0,.533,2,6.8,-2
1,.667,1,116,14.7,0.0,.111,5,DAL,.556,.000,15,Trey Burke,1,.833,20190320,1,9,-2.3,0,6.9,132,2.6,0.0,27.5,1,0,0,0,.644,1311.0,1,2,4.0,5,0,.556,6,5.2,+11
3,.000,4,100,50.0,19.1,.333,0,DAL,1.167,1.000,7,Salah Mejri,1,0,20190320,0,3,-1.0,3,7.4,120,9.5,2.6,14.4,1,0,0,1,1.167,1101.0,1,3,4.8,3,1,1.000,0,0.0,-5
2,.000,0,63,0.0,15.2,.200,0,DAL,.200,.000,2,Courtney Lee,1,0,20190320,0,5,-3.3,2,15.6,116,7.5,6.2,14.3,2,0,0,0,.200,923.0,0,0,0.0,1,2,.200,0,0.0,+11
2,.000,1,65,0.0,20.7,.250,0,DAL,.250,.000,2,Dorian Finney-Smith,1,0,20190320,0,4,-3.7,2,10.9,119,10.2,0.0,15.6,1,0,0,0,.250,679.0,2,0,15.4,1,0,.250,0,0.0,-9
1,.000,2,138,0.0,12.2,.500,0,DAL,.625,.500,5,Devin Harris,2,0,20190320,0,4,1.5,1,30.3,131,6.0,0.0,18.3,2,0,0,1,.625,576.0,0,0,0.0,2,0,.500,0,0.0,+3
1,1.000,0,27,25.8,19.9,.000,1,DAL,.000,0,1,Kostas Antetokounmpo,0,.500,20190320,0,2,-9.2,1,0.0,91,9.8,16.2,29.0,0,0,0,0,.174,353.0,0,1,0.0,0,2,.000,2,0.0,+8
3,.000,2,157,0.0,45.2,1.000,0,DAL,.750,.500,3,Ryan Broekhoff,2,0,20190320,1,2,2.9,2,0.0,121,33.5,0.0,17.0,0,0,0,1,.750,311.0,0,0,0.0,1,0,.500,0,22.0,+8
5,.556,1,168,4.3,11.4,.667,9,POR,.667,.500,33,Damian Lillard,12,.900,20190320,2,18,26.8,3,62.2,115,9.6,3.2,32.1,12,0,1,6,.737,1811.0,0,1,0.0,9,2,.500,10,7.8,+24
3,.000,0,125,25.0,9.0,.333,0,POR,.833,1.000,10,Maurice Harkless,2,0,20190320,1,6,8.4,2,5.1,108,6.9,3.8,13.1,1,0,1,2,.833,1519.0,2,2,6.7,4,2,.667,0,4.6,+19
3,.200,4,130,0.0,13.9,.600,2,POR,.550,.500,13,Jake Layman,6,1.000,20190320,0,10,-1.9,3,0.0,118,7.0,0.0,18.2,0,0,1,3,.597,1483.0,1,0,3.4,4,0,.400,2,0.0,-8
