threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.000,1,1,0,.667,35.3,16,20190321,Andre Drummond,0,.389,5.4,2,95,18,3,4.9,4.8,.389,0,3,11,1922.0,0,35.1,-2.1,DET,7,1,.414,4,1,.167,19,117,8,3.2,35.1,+12,25.8
.909,1,0,10,.600,4.5,23,20190321,Wayne Ellington,6,.909,0.0,3,108,11,1,7.0,1.6,.636,0,5,0,1874.0,.600,0.0,12.4,DET,7,1,.871,0,1,.455,1,159,1,3.3,1.9,+6,18.5
.647,1,8,11,.700,27.5,17,20190321,Blake Griffin,2,.294,39.2,7,103,17,1,8.5,1.7,.235,0,10,1,1849.0,.182,3.3,0.7,DET,4,2,.397,4,1,.588,7,109,6,3.3,13.5,+6,30.9
.636,0,3,7,1.000,11.9,14,20190321,Reggie Jackson,3,.591,21.8,1,103,11,2,25.9,4.3,.455,0,1,0,1422.0,.429,0.0,0.8,DET,5,4,.612,1,1,.091,2,101,2,0.0,5.0,+6,26.5
.500,0,2,1,0,0.0,3,20190321,Bruce Brown,1,.750,15.2,0,114,2,0,33.3,0.0,.500,0,0,1,1072.0,1.000,5.7,-5.8,DET,1,1,.750,5,1,.000,1,129,0,0.0,3.3,0,6.8
.500,3,0,2,.833,29.8,10,20190321,Thon Maker,1,.625,0.0,5,98,4,1,13.1,1.8,.500,0,6,0,1707.0,.500,0.0,4.1,DET,2,1,.753,1,0,1.500,6,141,6,10.8,12.5,+20,10.9
.636,0,2,7,1.000,0.0,16,20190321,Luke Kennard,2,.545,13.5,4,109,11,1,13.6,2.0,.455,0,4,0,1500.0,.286,0.0,-1.2,DET,5,2,.627,4,0,.364,0,125,0,0.0,0.0,+20,24.0
.000,0,4,0,.500,11.6,11,20190321,Ish Smith,0,.556,28.1,1,108,9,1,9.2,2.1,.556,0,2,3,1458.0,0,12.6,3.4,DET,5,1,.557,1,0,.222,5,133,2,0.0,12.2,+14,18.2
.667,0,2,4,.667,12.9,8,20190321,Langston Galloway,2,.500,13.0,2,106,6,1,0.0,2.3,.333,0,3,3,1314.0,.500,14.0,1.4,DET,2,0,.546,5,0,.500,5,152,2,0.0,13.5,+14,13.6
.000,0,1,0,0,0.0,0,20190321,Zaza Pachulia,0,.000,31.7,0,114,1,0,0.0,0.0,.000,0,0,0,239.0,0,0.0,-11.3,DET,0,0,.000,1,0,.000,0,72,0,0.0,0.0,+2,10.2
0,0,0,0,0,0.0,0,20190321,Glenn Robinson,0,0,0.0,0,114,0,0,0,0.0,0,0,0,0,43.0,0,0.0,-7.3,DET,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
0,0,0,0,0,0,0,20190321,José Calderón,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190321,Khyri Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
.667,0,7,8,1.000,7.8,13,20190321,Mikal Bridges,2,.500,29.6,1,129,12,1,13.9,1.3,.417,0,1,0,2355.0,.250,0.0,-0.1,PHO,5,2,.523,1,1,.083,3,107,3,0.0,4.5,-13,17.1
.294,0,2,5,.800,15.8,26,20190321,Devin Booker,2,.529,12.8,8,116,17,3,18.9,4.7,.471,0,10,0,1940.0,.400,0.0,1.0,PHO,8,5,.607,3,1,.588,5,100,5,0.0,9.2,-15,37.9
.500,1,4,2,0,6.3,2,20190321,Dragan Bender,0,.250,17.8,0,131,4,0,33.3,0.0,.250,0,0,0,1933.0,.000,0.0,-8.1,PHO,1,2,.250,5,1,.000,2,65,2,3.1,3.7,-19,8.6
.000,1,1,0,.667,20.2,20,20190321,Deandre Ayton,0,.750,10.6,2,123,12,0,13.1,0.0,.750,0,3,3,1514.0,0,16.8,3.2,PHO,9,2,.751,5,1,.250,8,130,5,4.0,18.8,-19,28.2
.429,0,2,3,1.000,8.6,3,20190321,Josh Jackson,0,.143,12.3,1,131,7,0,28.7,0.0,.143,0,1,0,1424.0,.000,0.0,-20.9,PHO,1,3,.202,4,1,.143,2,42,2,0.0,5.0,-4,20.4
.500,0,1,3,0,4.8,7,20190321,De'Anthony Melton,1,.875,15.8,0,134,6,0,33.3,0.0,.500,0,0,0,1286.0,.333,13.2,0.1,PHO,3,1,.875,5,0,.000,3,122,3,0.0,8.3,-7,13.0
.500,0,2,2,0,14.3,7,20190321,Troy Daniels,1,.583,7.9,0,128,4,0,14.3,0.0,.750,0,0,2,1286.0,.500,0.0,-8.4,PHO,3,2,.583,0,0,.000,3,100,1,0.0,8.3,-4,15.2
.000,2,1,0,.750,14.7,10,20190321,Richaun Holmes,0,.500,7.6,6,113,4,2,0.0,4.9,.500,0,8,2,1253.0,0,13.5,8.7,PHO,2,0,.665,2,0,2.000,5,153,3,9.6,14.2,-4,16.7
.600,0,2,3,1.000,6.6,8,20190321,Jamal Crawford,1,.500,21.6,3,132,5,0,24.0,0.0,.400,0,3,0,928.0,.333,0.0,-6.7,PHO,2,2,.633,2,0,.600,1,105,1,0.0,3.8,-21,25.0
.000,0,0,0,0,38.2,2,20190321,Ray Spalding,0,.500,0.0,0,115,2,0,0.0,0.0,.500,0,0,0,481.0,0,0.0,-3.8,PHO,1,0,.500,0,0,.000,3,99,3,0.0,22.2,+6,11.6
0,0,0,0,0,0,0,20190321,Elie Okobo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,PHO,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190321,Jon Leuer,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190321,Kalin Lucas,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190321,Sviatoslav Mykhailiuk,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190321,Isaiah Whitehead,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190321,Jawun Evans,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,PHO,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190321,Tyler Johnson,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,PHO,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190321,George King,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,PHO,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190321,Kelly Oubre,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,PHO,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190321,T.J. Warren,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,PHO,0,0,0,0,0,0,0,0,0,0,0,0,0
