threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.000,0,2,0,1.000,32.3,12,20190324,Andre Drummond,0,.444,8.4,4,133,9,2,21.8,3.2,.444,0,4,5,2056.0,0,17.5,-3.9,DET,4,3,.558,1,1,.444,11,113,6,0.0,23.3,-14,19.1
.500,0,8,7,.900,27.9,24,20190324,Blake Griffin,3,.536,38.4,9,141,14,0,5.2,0.0,.429,0,10,1,1983.0,.429,3.6,11.0,DET,6,1,.652,1,1,.714,6,145,5,0.0,13.2,-14,27.9
.444,0,2,4,0,0.0,7,20190324,Reggie Jackson,1,.389,13.9,0,144,9,0,0.0,0.0,.333,0,0,0,1282.0,.250,0.0,-10.8,DET,3,0,.389,0,1,.000,0,93,0,0.0,0.0,-7,20.0
1.000,0,3,5,0,0.0,3,20190324,Wayne Ellington,1,.300,19.7,0,131,5,2,0.0,5.5,.200,0,0,0,1198.0,.200,0.0,-3.5,DET,1,0,.300,2,1,.000,0,95,0,0.0,0.0,-3,11.9
.200,0,0,1,1.000,0.0,6,20190324,Bruce Brown,0,.400,0.0,2,144,5,0,0.0,0.0,.400,0,2,0,1102.0,.000,0.0,-10.4,DET,2,0,.510,1,1,.400,0,111,0,0.0,0.0,-13,15.2
.333,0,1,4,1.000,13.2,20,20190324,Luke Kennard,3,.792,6.8,1,133,12,2,0.0,3.9,.667,0,1,1,1679.0,.750,4.3,11.8,DET,8,0,.804,1,0,.083,3,160,2,0.0,7.8,-3,21.1
.071,0,4,1,1.000,0.0,14,20190324,Ish Smith,0,.357,24.0,4,144,14,0,0.0,0.0,.357,0,4,1,1598.0,.000,4.5,-8.2,DET,5,0,.444,2,0,.286,1,112,0,0.0,2.7,0,28.1
.625,0,1,5,0,0.0,12,20190324,Langston Galloway,2,.750,6.2,0,144,8,0,0.0,0.0,.625,0,0,0,1554.0,.400,0.0,0.5,DET,5,0,.750,0,0,.000,0,148,0,0.0,0.0,+3,14.7
.667,0,0,4,1.000,39.4,12,20190324,Thon Maker,2,.833,0.0,2,139,6,0,12.7,0.0,.667,0,2,2,1124.0,.500,12.8,3.8,DET,4,1,.872,2,0,.333,6,151,4,0.0,23.3,+9,20.0
.000,0,4,0,1.000,26.9,4,20190324,Zaza Pachulia,0,.500,39.4,2,140,2,0,25.8,0.0,.500,0,2,0,824.0,0,0.0,2.3,DET,1,1,.694,3,0,1.000,2,135,2,0.0,10.6,+7,13.4
0,0,0,0,0,0,0,20190324,Khyri Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190324,Sviatoslav Mykhailiuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190324,Glenn Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
.353,0,2,6,0,6.5,24,20190324,Klay Thompson,4,.706,7.8,0,136,17,0,5.6,0.0,.588,0,0,0,2225.0,.667,0.0,-1.6,GSW,10,1,.706,2,1,.000,2,134,2,0.0,3.9,-4,24.4
.526,0,3,10,1.000,23.7,26,20190324,Stephen Curry,5,.605,12.0,3,128,19,1,16.4,1.6,.474,0,3,2,2126.0,.500,10.4,-2.0,GSW,9,4,.640,2,1,.158,9,116,7,0.0,18.5,+14,34.5
.333,0,11,2,.750,16.9,14,20190324,Kevin Durant,1,.917,38.0,3,130,6,1,20.5,1.6,.833,0,4,0,2125.0,.500,0.0,8.8,GSW,5,2,.902,4,1,.667,5,167,5,0.0,10.3,-7,13.9
.273,0,8,3,.750,6.9,14,20190324,Draymond Green,1,.500,28.1,3,136,11,0,19.0,0.0,.455,0,4,3,2093.0,.333,15.9,-4.6,GSW,5,3,.549,5,1,.364,5,125,2,0.0,10.4,+14,22.7
.000,3,3,0,0,25.1,8,20190324,Andrew Bogut,0,.800,15.8,0,122,5,0,0.0,0.0,.800,0,0,0,1437.0,0,0.0,8.7,GSW,4,0,.800,3,1,.000,5,175,5,11.3,15.2,0,10.5
.000,0,2,0,0,23.1,8,20190324,Shaun Livingston,0,1.000,18.2,0,132,4,0,0.0,0.0,1.000,0,0,1,937.0,0,11.8,10.4,GSW,4,0,1.000,0,0,.000,4,209,3,0.0,18.6,+7,12.9
.000,1,0,0,.750,9.0,11,20190324,Kevon Looney,0,1.000,0.0,3,131,4,0,0.0,0.0,1.000,0,4,1,798.0,0,13.9,6.8,GSW,4,0,.955,3,0,1.000,2,198,1,6.8,10.9,+10,21.8
1.000,0,1,1,1.000,9.1,2,20190324,Jonas Jerebko,0,.000,8.0,2,136,1,0,0.0,0.0,.000,0,2,0,787.0,.000,0.0,-3.3,GSW,0,0,.532,0,0,2.000,1,147,1,0.0,5.5,-7,7.2
.667,0,1,2,1.000,18.9,7,20190324,Quinn Cook,1,.833,9.9,2,133,3,0,0.0,0.0,.667,0,2,0,760.0,.500,0.0,5.3,GSW,2,0,.902,1,0,.667,2,191,2,0.0,11.5,-4,15.4
.000,1,0,0,0,11.3,4,20190324,Jordan Bell,0,.667,0.0,0,129,3,0,50.0,0.0,.667,0,0,0,639.0,0,0.0,-19.1,GSW,2,3,.667,2,0,.000,1,54,1,8.5,6.8,-6,28.4
1.000,0,0,1,0,15.2,3,20190324,Alfonzo McKinnie,1,1.500,0.0,0,118,1,1,0.0,7.0,1.000,0,0,0,473.0,1.000,0.0,13.7,GSW,1,0,1.500,1,0,.000,1,300,1,0.0,9.2,+18,6.4
0,0,0,0,0,0,0,20190324,Marcus Derrickson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,GSW,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190324,Damion Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,GSW,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190324,José Calderón,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190324,Jon Leuer,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190324,Kalin Lucas,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190324,Isaiah Whitehead,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190324,DeMarcus Cousins,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,GSW,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190324,Jacob Evans,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,GSW,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190324,Andre Iguodala,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,GSW,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20190324,Damian Jones,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,GSW,0,0,0,0,0,0,0,0,0,0,0,0,0
