threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.464,1,10,13,.667,20.1,25,20190410,Dwyane Wade,3,.411,53.6,2,106,28,0,9.3,0.0,.357,0,3,1,2173.0,.231,2.4,3.7,MIA,10,3,.426,1,1,.107,11,89,10,2.4,11.9,-17,36.1
.353,0,2,6,0,22.1,12,20190410,Udonis Haslem,0,.353,11.4,0,106,17,0,0.0,0.0,.353,0,0,2,1781.0,.000,5.8,-6.6,MIA,6,0,.353,2,1,.000,11,80,9,0.0,14.6,-9,23.2
.667,0,4,6,.500,10.4,8,20190410,Justise Winslow,1,.389,20.9,1,97,9,4,23.3,6.4,.333,0,2,1,1681.0,.167,3.1,-2.2,MIA,3,3,.405,3,1,.222,5,75,4,0.0,7.0,-3,18.6
.125,2,1,1,1.000,9.1,9,20190410,Kelly Olynyk,0,.500,6.7,1,110,8,0,26.2,0.0,.500,0,1,1,1440.0,.000,3.6,-6.4,MIA,4,3,.533,1,1,.125,4,80,3,7.1,6.6,-14,19.3
.000,0,0,0,0,8.1,0,20190410,Goran Dragić,0,.000,0.0,0,102,3,1,0.0,5.0,.000,0,0,1,536.0,0,9.6,-13.9,MIA,0,0,.000,1,1,.000,2,22,1,0.0,8.8,-3,13.6
.750,0,3,9,.667,8.1,15,20190410,Duncan Robinson,3,.542,12.8,2,108,12,2,13.1,2.5,.417,0,3,1,2160.0,.333,2.4,0.2,MIA,5,2,.563,2,0,.250,5,102,4,0.0,5.5,-10,17.2
.111,0,0,1,.600,7.0,13,20190410,Derrick Jones,0,.556,0.0,3,115,9,0,0.0,0.0,.556,0,5,1,1879.0,.000,2.7,-4.4,MIA,5,0,.580,1,0,.556,4,118,3,0.0,5.0,-9,14.5
.286,0,0,2,1.000,23.8,10,20190410,Bam Adebayo,1,.643,0.0,1,98,7,1,21.2,2.4,.571,0,1,0,1099.0,.500,0.0,-0.5,MIA,4,2,.672,0,0,.143,6,95,6,0.0,12.9,-10,20.9
.500,0,0,1,0,12.1,2,20190410,Yante Maten,0,.500,0.0,0,103,2,1,0.0,3.7,.500,0,0,0,720.0,.000,0.0,-3.2,MIA,1,0,.500,0,0,.000,2,97,2,0.0,6.6,+2,6.7
.500,1,1,1,0,17.0,0,20190410,Dion Waiters,0,.000,14.7,0,104,2,0,0.0,0.0,.000,0,0,0,514.0,.000,0.0,-7.5,MIA,0,0,.000,0,0,.000,2,24,2,10.0,9.2,-12,9.4
