blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.364,6.2,2.9,91,1,12,1.000,18.0,4,2,-13,90,1,2,20190414,2077.0,2,Bojan Bogdanović,11,4,0,.273,0,.364,0,0,-0.1,2.9,.470,IND,3,4,.364,1,0.0,1,.000,7.3,6.9
3.3,.333,12.9,0.0,90,2,5,.250,11.7,2,8,-14,77,0,7,20190414,1800.0,0,Myles Turner,6,1,0,.333,1,.333,1,0,-3.1,13.2,.322,IND,2,4,.667,1,2.8,4,.000,0.0,28.0
3.3,.375,7.1,1.7,92,1,8,0,16.9,3,1,-16,66,3,1,20190414,1762.0,1,Wesley Matthews,8,0,0,.750,1,.500,0,2,-2.3,1.7,.500,IND,6,0,.000,1,0.0,1,.333,27.3,4.1
3.8,.375,49.2,9.7,70,6,7,1.000,18.1,3,4,-5,85,2,3,20190414,1564.0,5,Thaddeus Young,8,1,0,.000,1,.375,1,0,12.9,7.6,.415,IND,0,1,.125,1,3.2,4,0,19.2,13.8
0.0,.273,43.6,0.0,98,5,6,0,25.5,3,1,-8,55,3,1,20190414,1487.0,0,Darren Collison,11,0,0,.182,0,.273,0,0,-12.9,2.0,.273,IND,2,0,.000,1,0.0,4,.000,21.4,4.8
0.0,.333,23.0,0.0,91,3,7,.500,19.5,3,9,-13,72,2,7,20190414,1650.0,0,Domantas Sabonis,9,1,0,.000,0,.333,2,0,-4.0,16.2,.354,IND,0,2,.222,0,6.1,3,0,16.8,30.5
0.0,.556,11.8,0.0,98,1,14,1.000,19.3,5,2,-6,136,0,1,20190414,1385.0,0,Cory Joseph,9,2,0,.444,0,.667,1,2,9.6,4.3,.709,IND,4,2,.222,0,3.6,2,.500,0.0,5.2
5.7,.273,14.2,0.0,84,1,8,.250,36.1,3,6,-3,59,1,6,20190414,1034.0,0,Tyreke Evans,11,1,0,.273,1,.318,0,1,-2.5,17.2,.313,IND,3,4,.364,0,0.0,1,.333,7.3,41.8
7.7,.143,31.0,0.0,92,2,2,.000,27.9,1,4,+6,53,0,1,20190414,767.0,0,Doug McDermott,7,0,0,.714,1,.143,3,0,-1.7,15.5,.127,IND,5,2,.286,0,19.8,0,.000,0.0,9.4
0.0,.000,0.0,0.0,93,0,2,1.000,17.9,0,3,+7,68,0,2,20190414,586.0,0,T.J. Leaf,3,2,0,.333,0,.000,1,0,-6.7,15.2,.258,IND,1,2,.667,0,8.6,0,.000,0.0,24.6
0.0,1.000,0.0,0.0,100,0,3,0,28.2,1,0,+5,300,0,0,20190414,96.0,0,Aaron Holiday,1,0,0,1.000,0,1.500,0,1,69.1,0.0,1.500,IND,1,0,.000,0,0.0,0,1.000,0.0,0.0
0.0,0,0.0,0.0,60,0,0,0,0.0,0,2,+5,0,0,2,20190414,96.0,0,Edmond Sumner,0,0,0,0,0,0,0,0,2.1,61.9,0,IND,0,0,0,0,0.0,0,0,0,100.0
0.0,0,0.0,0.0,100,0,0,0,28.2,0,0,+5,0,1,0,20190414,96.0,0,Kyle O'Quinn,0,0,0,0,0,0,0,0,-39.6,0.0,0,IND,0,0,0,0,0.0,0,0,100.0,0.0
0.0,.353,50.6,3.0,77,7,20,1.000,30.8,6,5,+19,102,3,5,20190414,2039.0,2,Kyrie Irving,17,6,0,.294,0,.412,0,2,8.5,7.3,.509,BOS,5,6,.353,1,0.0,4,.400,13.3,12.4
